strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-06-18,2021-08-20,2021-09-17
65.0,0.4375,0.265625,0.2265625,0.48046875,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.421875
70.0,0.4375,0.265625,0.2265625,0.48046875,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.3955078125
80.0,0.4375,0.265625,0.2265625,0.48046875,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.369140625
90.0,0.4375,0.265625,0.2265625,0.48046875,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.26171875
95.0,0.4375,0.265625,0.2265625,0.48046875,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.244140625
100.0,0.4375,0.265625,0.2265625,0.48046875,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.2236328125
102.0,0.4375,0.265625,0.2265625,0.447265625,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.3076171875
103.0,0.4375,0.265625,0.2265625,0.4140625,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.21484375
104.0,0.4375,0.265625,0.2265625,0.380859375,0.21484375,0.21875,0.21484375,0.220703125,0.2275390625,0.27001953125
105.0,0.4375,0.265625,0.2265625,0.34765625,0.21484375,0.21875,0.21484375,0.208984375,0.2275390625,0.2333984375
106.0,0.4375,0.265625,0.2265625,0.291015625,0.224609375,0.21875,0.21484375,0.197265625,0.2275390625,0.26708984375
107.0,0.4375,0.265625,0.2265625,0.234375,0.234375,0.21875,0.21484375,0.1953125,0.21419270833333334,0.2685546875
107.5,0.4375,0.265625,0.2265625,0.28125,0.244140625,0.21875,0.201171875,0.1953125,0.20084635416666666,0.2626953125
108.0,0.4375,0.265625,0.2265625,0.2109375,0.25390625,0.21875,0.1875,0.1953125,0.1875,0.2568359375
108.5,0.4375,0.265625,0.2265625,0.216796875,0.234375,0.21875,0.1875,0.19775390625,0.193359375,0.22705078125
109.0,0.4375,0.265625,0.2265625,0.22265625,0.2109375,0.21875,0.1875,0.2001953125,0.19921875,0.197265625
109.5,0.515625,0.265625,0.22265625,0.234375,0.228515625,0.21875,0.1865234375,0.19091796875,0.19189453125,0.190673828125
110.0,0.40625,0.265625,0.234375,0.24609375,0.169921875,0.21875,0.185546875,0.181640625,0.1845703125,0.18408203125
110.5,0.40625,0.251953125,0.19921875,0.1796875,0.220703125,0.21344866071428573,0.181640625,0.1845703125,0.21044921875,0.20556640625
111.0,0.359375,0.23828125,0.1875,0.27734375,0.2109375,0.20814732142857142,0.177734375,0.1875,0.236328125,0.22705078125
111.5,0.375,0.224609375,0.3515625,0.2265625,0.201171875,0.20284598214285715,0.1748046875,0.17919921875,0.21484375,0.231689453125
112.0,0.28125,0.2109375,0.220703125,0.17578125,0.19140625,0.19754464285714285,0.171875,0.1708984375,0.193359375,0.236328125
112.5,0.296875,0.1953125,0.16015625,0.2109375,0.205078125,0.19224330357142858,0.16796875,0.166015625,0.18896484375,0.22998046875
113.0,0.296875,0.1796875,0.203125,0.205078125,0.171875,0.1869419642857143,0.1640625,0.1611328125,0.1845703125,0.2236328125
113.5,0.3359375,0.166015625,0.16015625,0.18359375,0.203125,0.181640625,0.162109375,0.1650390625,0.1845703125,0.20166015625
114.0,0.25,0.15234375,0.14453125,0.162109375,0.181640625,0.17578125,0.16015625,0.1689453125,0.1845703125,0.1796875
114.5,0.234375,0.15234375,0.140625,0.14453125,0.169921875,0.17578125,0.158203125,0.166015625,0.18310546875,0.176025390625
