contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
NXTD210416C00000500,2021-04-07 16:08:03,20,0.5,0.7,0.8,0.8,call,2021-04-16,0.021917808219178082,
NXTD210416C00001000,2021-04-08 19:33:12,60,1.0,0.2,0.3,0.25,call,2021-04-16,0.021917808219178082,1.0
NXTD210416C00001500,2021-04-08 19:28:18,743,1.5,0.05,0.1,0.05,call,2021-04-16,0.021917808219178082,1.75
NXTD210416C00002000,2021-04-08 17:01:00,23,2.0,0.0,0.05,0.03,call,2021-04-16,0.021917808219178082,
NXTD210416C00002500,2021-04-08 18:42:19,44,2.5,0.0,0.05,0.03,call,2021-04-16,0.021917808219178082,
NXTD210416C00003000,2021-04-06 15:23:19,11,3.0,0.0,0.05,0.04,call,2021-04-16,0.021917808219178082,
NXTD210416C00003500,2021-04-06 14:57:24,1,3.5,0.0,0.1,0.05,call,2021-04-16,0.021917808219178082,
NXTD210416P00000500,2021-04-05 13:48:16,1,0.5,0.0,0.05,0.03,put,2021-04-16,0.021917808219178082,
NXTD210416P00001000,2021-04-07 18:06:38,10,1.0,0.0,0.05,0.03,put,2021-04-16,0.021917808219178082,1.5
NXTD210416P00001500,2021-04-08 18:38:03,36,1.5,0.25,0.4,0.3,put,2021-04-16,0.021917808219178082,1.75
NXTD210416P00002000,2021-04-08 14:19:46,1,2.0,0.7,0.85,0.8,put,2021-04-16,0.021917808219178082,
NXTD210416P00002500,2021-04-08 19:26:48,28,2.5,1.05,1.45,1.27,put,2021-04-16,0.021917808219178082,
NXTD210416P00003000,2021-04-05 15:01:01,1,3.0,1.7,1.85,1.64,put,2021-04-16,0.021917808219178082,
NXTD210521C00000500,2021-04-08 15:16:27,1,0.5,0.7,0.85,0.75,call,2021-05-21,0.1178082191780822,1.0
NXTD210521C00001000,2021-04-08 18:24:58,49,1.0,0.3,0.4,0.35,call,2021-05-21,0.1178082191780822,1.25
NXTD210521C00001500,2021-04-08 19:25:04,152,1.5,0.15,0.2,0.15,call,2021-05-21,0.1178082191780822,1.375
NXTD210521C00002000,2021-04-08 19:32:17,30,2.0,0.1,0.15,0.1,call,2021-05-21,0.1178082191780822,1.625
NXTD210521C00002500,2021-04-08 18:24:58,35,2.5,0.05,0.1,0.08,call,2021-05-21,0.1178082191780822,1.875
NXTD210521C00003000,2021-04-05 13:33:03,2,3.0,0.0,0.1,0.1,call,2021-05-21,0.1178082191780822,
NXTD210521C00003500,2021-04-07 15:59:11,2,3.5,0.0,0.15,0.05,call,2021-05-21,0.1178082191780822,
NXTD210521P00001000,2021-04-01 16:37:04,1,1.0,0.0,0.15,0.14,put,2021-05-21,0.1178082191780822,1.625
NXTD210521P00001500,2021-04-08 16:22:20,3,1.5,0.4,0.5,0.5,put,2021-05-21,0.1178082191780822,1.9375
NXTD210521P00002000,2021-04-08 16:28:25,4,2.0,0.8,0.95,0.9,put,2021-05-21,0.1178082191780822,1.9375
NXTD210521P00002500,2021-04-07 18:12:26,9,2.5,1.3,1.45,1.35,put,2021-05-21,0.1178082191780822,
NXTD210716C00000500,2021-04-07 17:08:20,10,0.5,0.65,0.95,0.85,call,2021-07-16,0.27123287671232876,
NXTD210716C00001000,2021-04-08 15:26:27,1,1.0,0.4,0.5,0.44,call,2021-07-16,0.27123287671232876,1.25
NXTD210716C00001500,2021-04-08 16:11:57,111,1.5,0.25,0.3,0.3,call,2021-07-16,0.27123287671232876,1.5
NXTD210716C00002000,2021-04-08 15:10:03,6,2.0,0.1,0.2,0.15,call,2021-07-16,0.27123287671232876,1.25
NXTD210716C00002500,2021-04-08 19:32:04,420,2.5,0.15,0.25,0.15,call,2021-07-16,0.27123287671232876,1.5625
NXTD210716C00003000,2021-04-05 17:03:35,1,3.0,0.1,0.15,0.2,call,2021-07-16,0.27123287671232876,1.96875
NXTD210716C00003500,2021-04-06 14:57:12,10,3.5,0.05,0.2,0.15,call,2021-07-16,0.27123287671232876,1.875
NXTD210716P00000500,2021-03-22 14:38:15,10,0.5,0.0,0.1,0.03,put,2021-07-16,0.27123287671232876,1.5
NXTD210716P00001000,2021-04-06 15:25:22,1,1.0,0.15,0.3,0.17,put,2021-07-16,0.27123287671232876,1.25
NXTD210716P00001500,2021-04-05 13:30:01,1,1.5,0.45,0.65,0.5,put,2021-07-16,0.27123287671232876,1.25
NXTD210716P00002000,2021-03-24 19:10:17,110,2.0,0.9,1.1,1.0,put,2021-07-16,0.27123287671232876,1.6875
NXTD210716P00002500,2021-04-05 18:18:55,10,2.5,1.4,1.5,1.37,put,2021-07-16,0.27123287671232876,1.5
