contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
TD210416C00035000,2020-12-07 20:43:31,,35.0,22.2,25.2,22.5,call,2021-04-16,0.021917808219178082,
TD210416C00040000,2021-01-06 20:44:13,22.0,40.0,16.5,20.4,18.45,call,2021-04-16,0.021917808219178082,
TD210416C00045000,2021-04-07 19:40:00,35.0,45.0,19.6,22.6,21.3,call,2021-04-16,0.021917808219178082,1.90625
TD210416C00047500,2021-04-07 19:22:20,35.0,47.5,16.9,19.3,18.8,call,2021-04-16,0.021917808219178082,1.671875
TD210416C00050000,2021-04-07 19:22:20,1.0,50.0,13.3,17.7,15.3,call,2021-04-16,0.021917808219178082,
TD210416C00052500,2021-04-07 18:46:54,900.0,52.5,10.5,15.0,14.3,call,2021-04-16,0.021917808219178082,1.5078125
TD210416C00055000,2021-04-07 19:30:53,8256.0,55.0,8.0,12.9,11.5,call,2021-04-16,0.021917808219178082,1.140625
TD210416C00057500,2021-04-07 19:30:53,7921.0,57.5,5.7,10.0,8.9,call,2021-04-16,0.021917808219178082,0.8984375
TD210416C00060000,2021-04-08 15:00:28,38.0,60.0,5.2,6.8,5.4,call,2021-04-16,0.021917808219178082,
TD210416C00062500,2021-04-07 18:46:54,1214.0,62.5,2.7,4.1,3.9,call,2021-04-16,0.021917808219178082,0.484375
TD210416C00065000,2021-04-08 18:43:06,348.0,65.0,0.9,1.1,0.85,call,2021-04-16,0.021917808219178082,0.09765625
TD210416C00067500,2021-04-08 19:59:08,27.0,67.5,0.05,0.15,0.08,call,2021-04-16,0.021917808219178082,0.1484375
TD210416C00070000,2021-04-07 19:55:03,2.0,70.0,0.0,0.1,0.06,call,2021-04-16,0.021917808219178082,0.265625
TD210416C00072500,2021-03-18 18:52:37,1.0,72.5,0.0,0.15,0.05,call,2021-04-16,0.021917808219178082,0.375
TD210416C00075000,2021-02-26 19:28:17,10.0,75.0,0.0,0.7,0.05,call,2021-04-16,0.021917808219178082,0.46875
