contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
TLRY210409C00015000,2021-04-09 17:54:03,1.0,15.0,4.7,4.85,5.0,call,2021-04-09,0.0,
TLRY210409C00016000,2021-04-08 13:39:30,2.0,16.0,3.65,4.05,4.0,call,2021-04-09,0.0,
TLRY210409C00017000,2021-04-09 19:36:28,54.0,17.0,2.72,2.85,2.81,call,2021-04-09,0.0,
TLRY210409C00018000,2021-04-09 19:40:42,271.0,18.0,1.72,1.84,1.77,call,2021-04-09,0.0,
TLRY210409C00019500,2021-04-09 19:58:10,1444.0,19.5,0.19,0.34,0.27,call,2021-04-09,0.0,
TLRY210409C00020000,2021-04-09 19:59:15,10783.0,20.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00020500,2021-04-09 19:51:53,11265.0,20.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00021000,2021-04-09 19:48:40,5383.0,21.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00021500,2021-04-09 19:53:38,716.0,21.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00022000,2021-04-09 19:03:52,1487.0,22.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00022500,2021-04-09 19:47:29,777.0,22.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00023000,2021-04-09 19:53:43,547.0,23.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00023500,2021-04-09 17:15:04,119.0,23.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00024000,2021-04-09 19:33:54,420.0,24.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00024500,2021-04-09 18:41:32,55.0,24.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00025000,2021-04-09 19:57:17,680.0,25.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00025500,2021-04-09 16:21:14,534.0,25.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00026000,2021-04-09 19:22:28,167.0,26.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00026500,2021-04-09 17:25:07,24.0,26.5,0.0,0.02,0.01,call,2021-04-09,0.0,
TLRY210409C00027000,2021-04-09 19:56:25,307.0,27.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00029500,2021-04-09 15:12:49,1.0,29.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00030000,2021-04-09 18:20:50,77.0,30.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00030500,2021-04-09 16:53:42,1.0,30.5,0.0,0.03,0.01,call,2021-04-09,0.0,
TLRY210409C00031000,2021-04-09 18:09:28,31.0,31.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00031500,2021-04-08 16:21:16,1.0,31.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00032000,2021-04-09 13:30:01,3.0,32.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00032500,2021-04-09 15:14:31,10.0,32.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00033000,2021-04-08 13:52:25,1.0,33.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00033500,2021-04-09 19:44:18,1.0,33.5,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00034000,2021-04-07 13:33:36,1.0,34.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00035000,2021-04-09 19:02:43,36.0,35.0,0.0,0.01,0.02,call,2021-04-09,0.0,
TLRY210409C00036000,2021-04-06 15:14:35,11.0,36.0,0.0,0.01,0.02,call,2021-04-09,0.0,
TLRY210409C00037000,2021-04-07 15:34:25,10.0,37.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00038000,2021-04-09 17:53:57,1.0,38.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00039000,2021-04-06 15:20:05,1.0,39.0,0.0,0.01,0.02,call,2021-04-09,0.0,
TLRY210409C00040000,2021-04-09 17:21:19,1.0,40.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00041000,2021-04-09 14:48:28,1.0,41.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00042000,2021-04-08 13:34:55,3.0,42.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409C00043000,2021-04-01 17:15:48,2.0,43.0,0.0,0.01,0.04,call,2021-04-09,0.0,
TLRY210409C00044000,2021-04-08 13:30:01,1.0,44.0,0.0,0.01,0.01,call,2021-04-09,0.0,
TLRY210409P00013000,2021-03-31 13:36:33,1.0,13.0,0.0,0.02,0.01,put,2021-04-09,0.0,
TLRY210409P00014000,2021-04-09 19:08:03,10.0,14.0,0.0,0.01,0.01,put,2021-04-09,0.0,
TLRY210409P00015000,2021-04-08 15:14:19,8.0,15.0,0.0,0.02,0.01,put,2021-04-09,0.0,
TLRY210409P00016000,2021-04-09 19:41:16,2.0,16.0,0.0,0.01,0.01,put,2021-04-09,0.0,
TLRY210409P00017000,2021-04-09 19:47:16,14.0,17.0,0.0,0.01,0.01,put,2021-04-09,0.0,
TLRY210409P00018000,2021-04-09 19:32:32,1069.0,18.0,0.0,0.01,0.01,put,2021-04-09,0.0,
TLRY210409P00019500,2021-04-09 19:58:44,1515.0,19.5,0.0,0.02,0.01,put,2021-04-09,0.0,
TLRY210409P00020000,2021-04-09 19:58:53,4100.0,20.0,0.22,0.45,0.25,put,2021-04-09,0.0,
TLRY210409P00020500,2021-04-09 19:58:44,536.0,20.5,0.66,0.79,0.73,put,2021-04-09,0.0,
TLRY210409P00021000,2021-04-09 19:58:31,347.0,21.0,1.18,1.33,1.25,put,2021-04-09,0.0,
TLRY210409P00021500,2021-04-09 19:51:23,412.0,21.5,1.65,1.79,1.73,put,2021-04-09,0.0,
TLRY210409P00022000,2021-04-09 19:55:29,226.0,22.0,2.16,2.29,2.28,put,2021-04-09,0.0,
TLRY210409P00022500,2021-04-09 19:49:28,210.0,22.5,2.72,2.84,2.75,put,2021-04-09,0.0,
TLRY210409P00023000,2021-04-09 19:53:54,228.0,23.0,3.15,3.3,3.2,put,2021-04-09,0.0,
TLRY210409P00023500,2021-04-09 16:09:05,77.0,23.5,3.6,3.95,3.77,put,2021-04-09,0.0,
TLRY210409P00024000,2021-04-09 19:31:21,229.0,24.0,4.15,4.35,4.27,put,2021-04-09,0.0,
TLRY210409P00024500,2021-04-09 19:59:09,38.0,24.5,4.65,4.85,4.66,put,2021-04-09,0.0,
TLRY210409P00025000,2021-04-09 19:53:54,135.0,25.0,5.15,5.3,5.2,put,2021-04-09,0.0,
TLRY210409P00025500,2021-04-09 17:38:58,13.0,25.5,5.65,5.85,5.6,put,2021-04-09,0.0,
TLRY210409P00026000,2021-04-09 19:03:41,40.0,26.0,6.15,6.35,6.27,put,2021-04-09,0.0,
TLRY210409P00028500,2021-04-09 19:17:16,2.0,28.5,8.6,9.1,8.84,put,2021-04-09,0.0,
TLRY210409P00029000,2021-04-09 19:22:43,42.0,29.0,9.15,9.35,9.3,put,2021-04-09,0.0,
TLRY210409P00029500,2021-04-09 19:01:29,5.0,29.5,9.6,9.95,9.74,put,2021-04-09,0.0,
TLRY210409P00030000,2021-04-09 19:08:51,35.0,30.0,10.15,10.4,10.26,put,2021-04-09,0.0,
TLRY210409P00030500,2021-04-09 13:43:22,1.0,30.5,10.6,10.95,10.8,put,2021-04-09,0.0,
TLRY210409P00031000,2021-04-09 15:37:08,6.0,31.0,11.15,11.45,10.7,put,2021-04-09,0.0,
TLRY210409P00031500,2021-04-01 13:30:12,1.0,31.5,11.6,12.15,8.5,put,2021-04-09,0.0,
TLRY210409P00032000,2021-04-09 19:57:39,3.0,32.0,12.1,12.5,12.29,put,2021-04-09,0.0,
TLRY210409P00032500,2021-04-08 15:57:44,1.0,32.5,12.45,13.1,12.74,put,2021-04-09,0.0,
TLRY210409P00033000,2021-04-09 16:47:06,21.0,33.0,13.1,13.6,12.65,put,2021-04-09,0.0,
TLRY210409P00033500,2021-04-08 17:29:07,2.0,33.5,13.6,14.0,13.72,put,2021-04-09,0.0,
TLRY210409P00034000,2021-04-06 13:30:01,6.0,34.0,14.1,14.55,12.23,put,2021-04-09,0.0,
TLRY210409P00035000,2021-04-09 19:10:02,8.0,35.0,15.1,15.35,15.3,put,2021-04-09,0.0,
TLRY210409P00036000,2021-04-07 19:31:41,10.0,36.0,16.05,16.45,16.33,put,2021-04-09,0.0,
TLRY210409P00037000,2021-04-08 15:38:25,1.0,37.0,17.1,17.4,17.07,put,2021-04-09,0.0,
TLRY210409P00038000,2021-04-08 19:20:12,5.0,38.0,17.95,18.45,18.2,put,2021-04-09,0.0,
TLRY210409P00039000,2021-04-09 16:07:17,3.0,39.0,19.0,19.7,18.72,put,2021-04-09,0.0,
TLRY210409P00040000,2021-04-09 16:39:46,2.0,40.0,20.1,20.6,19.65,put,2021-04-09,0.0,
TLRY210409P00042000,2021-04-09 19:47:16,11.0,42.0,22.1,22.5,22.3,put,2021-04-09,0.0,
TLRY210409P00043000,2021-04-06 16:15:58,1.0,43.0,23.1,23.45,21.65,put,2021-04-09,0.0,
TLRY210409P00044000,2021-04-09 19:35:18,2.0,44.0,24.1,24.45,24.3,put,2021-04-09,0.0,
TLRY210416C00019000,2021-04-09 19:59:20,229.0,19.0,1.51,1.59,1.57,call,2021-04-16,0.019178082191780823,1.0625
TLRY210416C00019500,2021-04-09 19:59:18,326.0,19.5,1.26,1.34,1.32,call,2021-04-16,0.019178082191780823,1.09375
