strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
17.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
20.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
22.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
25.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
27.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
30.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
32.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
35.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
37.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
40.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
42.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
45.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
47.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.28125,0.17578125
48.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.275,0.188671875
48.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.26875,0.2015625
49.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.2625,0.214453125
49.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.25625,0.22734375
50.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.25,0.240234375
50.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.2515625,0.240625
51.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.253125,0.241015625
51.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.2546875,0.24140625
52.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.25625,0.241796875
52.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.2578125,0.2421875
53.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.2546875,0.24375
53.5,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.2515625,0.2453125
54.0,0.28125,0.24609375,0.296875,0.140625,0.23046875,0.2578125,0.47265625,0.2484375,0.246875
54.5,0.234375,0.24609375,0.28125,0.140625,0.23046875,0.2578125,0.47265625,0.2453125,0.2484375
55.0,0.1875,0.24609375,0.265625,0.140625,0.23046875,0.2578125,0.47265625,0.2421875,0.25
55.5,0.140625,0.18359375,0.1171875,0.171875,0.23046875,0.25546875,0.47265625,0.243359375,0.25078125
56.0,0.28125,0.21875,0.1640625,0.28125,0.23046875,0.253125,0.47265625,0.24453125,0.2515625
56.5,0.234375,0.21484375,0.23828125,0.1796875,0.23046875,0.25078125,0.47265625,0.245703125,0.25234375
57.0,0.296875,0.29296875,0.24609375,0.228515625,0.23046875,0.2484375,0.47265625,0.246875,0.253125
57.5,0.296875,0.283203125,0.25,0.22265625,0.23046875,0.24609375,0.47265625,0.248046875,0.25390625
58.0,0.3046875,0.2734375,0.25390625,0.25,0.23046875,0.24296875,0.47265625,0.24609375,0.253125
58.5,0.296875,0.267578125,0.23828125,0.234375,0.23046875,0.23984375,0.47265625,0.244140625,0.25234375
59.0,0.3125,0.26171875,0.2421875,0.2421875,0.23046875,0.23671875,0.47265625,0.2421875,0.2515625
59.5,0.3125,0.271484375,0.25,0.25,0.23046875,0.23359375,0.47265625,0.240234375,0.25078125
60.0,0.328125,0.28125,0.2578125,0.2578125,0.23046875,0.23046875,0.47265625,0.23828125,0.25
60.5,0.33984375,0.27734375,0.2578125,0.265625,0.23046875,0.2333984375,0.47265625,0.23681640625,0.248046875
61.0,0.3515625,0.2734375,0.2578125,0.2734375,0.23046875,0.236328125,0.47265625,0.2353515625,0.24609375
62.0,0.34375,0.2734375,0.3020833333333333,0.2734375,0.23046875,0.2392578125,0.47265625,0.23388671875,0.244140625
62.5,0.40625,0.2734375,0.3463541666666667,0.2734375,0.23046875,0.2421875,0.47265625,0.232421875,0.2421875
65.0,0.25,0.2734375,0.390625,0.2734375,0.23046875,0.25,0.47265625,0.23046875,0.2392578125
70.0,0.25,0.2734375,0.390625,0.2734375,0.23046875,0.25,0.47265625,0.2734375,0.2421875
75.0,0.25,0.2734375,0.390625,0.2734375,0.23046875,0.25,0.47265625,0.2734375,0.2421875
80.0,0.25,0.2734375,0.390625,0.2734375,0.23046875,0.25,0.47265625,0.2734375,0.28125
