strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-07-16,2021-09-17
25.0,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.546875,0.578125,0.37109375
30.0,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.546875,0.578125,0.37109375
35.0,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.546875,0.578125,0.37109375
40.0,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.546875,0.578125,0.37109375
45.0,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.546875,0.578125,0.37109375
50.0,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.546875,0.5546875,0.37109375
52.5,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.578125,0.53125,0.37109375
55.0,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.5390625,0.43359375,0.37109375
57.5,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.4375,0.40234375,0.36328125
60.0,1.0,0.390625,0.3671875,0.609375,0.375,0.46875,0.46875,0.40625,0.3828125,0.35546875
62.5,1.0,0.390625,0.3671875,0.609375,0.375,0.431640625,0.40625,0.3828125,0.37109375,0.3447265625
65.0,0.9375,0.390625,0.3671875,0.609375,0.375,0.39453125,0.34375,0.36328125,0.34375,0.333984375
67.5,0.8125,0.390625,0.3671875,0.55078125,0.375,0.3828125,0.3421875,0.33984375,0.353515625,0.329833984375
68.0,0.75,0.390625,0.3671875,0.4921875,0.375,0.37109375,0.340625,0.3372395833333333,0.34375,0.32568359375
69.0,0.6875,0.390625,0.3671875,0.43359375,0.375,0.359375,0.3390625,0.3346354166666667,0.333984375,0.321533203125
70.0,0.71875,0.390625,0.3671875,0.375,0.375,0.34765625,0.3375,0.33203125,0.32421875,0.3173828125
71.0,0.625,0.390625,0.3671875,0.4296875,0.49609375,0.3450520833333333,0.3359375,0.3291015625,0.322265625,0.3177083333333333
72.0,0.609375,0.390625,0.3671875,0.359375,0.37890625,0.3424479166666667,0.334375,0.326171875,0.3203125,0.3180338541666667
72.5,0.6015625,0.390625,0.3671875,0.365234375,0.3515625,0.33984375,0.3328125,0.3232421875,0.318359375,0.318359375
73.0,0.59375,0.390625,0.3671875,0.37109375,0.32421875,0.330078125,0.33125,0.3203125,0.31640625,0.3151041666666667
74.0,0.578125,0.390625,0.375,0.35546875,0.357421875,0.3203125,0.3296875,0.3173828125,0.314453125,0.3118489583333333
75.0,0.5234375,0.390625,0.35546875,0.35546875,0.326171875,0.310546875,0.328125,0.314453125,0.3125,0.30859375
76.0,0.5,0.37109375,0.34375,0.345703125,0.318359375,0.30859375,0.3359375,0.3131510416666667,0.3098958333333333,0.30859375
77.0,0.484375,0.37890625,0.35546875,0.3359375,0.333984375,0.306640625,0.3314453125,0.3118489583333333,0.3072916666666667,0.30859375
77.5,0.4765625,0.384765625,0.3515625,0.326171875,0.3310546875,0.3046875,0.326953125,0.310546875,0.3046875,0.30859375
78.0,0.46875,0.390625,0.34765625,0.31640625,0.328125,0.3072916666666667,0.3224609375,0.3092447916666667,0.3020833333333333,0.3082682291666667
79.0,0.46875,0.40234375,0.3359375,0.32421875,0.388671875,0.3098958333333333,0.31796875,0.3079427083333333,0.2994791666666667,0.3079427083333333
80.0,0.4765625,0.41015625,0.35546875,0.326171875,0.341796875,0.3125,0.3134765625,0.306640625,0.296875,0.3076171875
81.0,0.546875,0.3359375,0.41015625,0.3765625,0.357421875,0.32421875,0.3134765625,0.3069661458333333,0.2972005208333333,0.306640625
82.0,0.60546875,0.38671875,0.359375,0.426953125,0.31640625,0.3359375,0.3134765625,0.3072916666666667,0.2975260416666667,0.3056640625
82.5,0.591796875,0.376953125,0.3271484375,0.47734375,0.3365885416666667,0.34765625,0.3134765625,0.3076171875,0.2978515625,0.3046875
83.0,0.578125,0.3671875,0.294921875,0.527734375,0.3567708333333333,0.3463541666666667,0.3134765625,0.3079427083333333,0.2981770833333333,0.3046875
84.0,0.484375,0.3671875,0.58984375,0.578125,0.376953125,0.3450520833333333,0.3134765625,0.3082682291666667,0.2985026041666667,0.3046875
85.0,0.70703125,0.21875,0.64453125,0.578125,0.517578125,0.34375,0.3134765625,0.30859375,0.298828125,0.3046875
86.0,1.3046875,0.3359375,0.64453125,0.578125,0.517578125,0.4231770833333333,0.3134765625,0.328125,0.2900390625,0.3046875
87.0,1.175,0.4125,0.64453125,0.578125,0.517578125,0.5026041666666666,0.3134765625,0.34765625,0.28125,0.3046875
87.5,1.0453125,0.4890625,0.64453125,0.578125,0.517578125,0.58203125,0.3134765625,0.3671875,0.2724609375,0.3046875
88.0,0.9156249999999999,0.565625,0.64453125,0.578125,0.517578125,0.5670572916666666,0.3134765625,0.38671875,0.263671875,0.3046875
89.0,0.7859375,0.6421875,0.64453125,0.578125,0.517578125,0.5520833333333334,0.3134765625,0.40625,0.2548828125,0.3046875
90.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.537109375,0.3134765625,0.42578125,0.24609375,0.3046875
91.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.5286458333333334,0.3134765625,0.4482421875,0.29052734375,0.3046875
92.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.5201822916666666,0.3134765625,0.470703125,0.3349609375,0.3046875
92.5,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.51171875,0.3134765625,0.4931640625,0.37939453125,0.3046875
95.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.4140625,0.3134765625,0.515625,0.423828125,0.3046875
100.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.47578125,0.3134765625,0.71923828125,0.62109375,0.3046875
105.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.5375,0.3134765625,0.9228515625,0.818359375,0.3046875
110.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.59921875,0.3134765625,0.9228515625,0.8330078125,0.3046875
115.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.6609375,0.3134765625,0.9228515625,0.8330078125,0.3046875
120.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.72265625,0.3134765625,0.9228515625,0.8330078125,0.3046875
125.0,0.65625,0.71875,0.64453125,0.578125,0.517578125,0.72265625,0.3134765625,0.9228515625,0.8330078125,0.3046875
