strike,2021-04-16,2021-05-21,2021-07-16
22.5,1.5,0.8125,0.32421875
25.0,1.5,0.8125,0.32421875
27.5,1.5,0.8125,0.32421875
30.0,1.5,0.8125,0.32421875
32.5,1.5,0.8125,0.32421875
35.0,1.5,0.8125,0.32421875
37.5,1.5,0.7734375,0.32421875
40.0,1.5,0.734375,0.32421875
42.5,1.5,0.6536458333333334,0.32421875
45.0,1.5,0.5729166666666666,0.32421875
47.5,1.5,0.4921875,0.32421875
50.0,1.5,0.4114583333333333,0.32421875
52.5,1.5,0.33072916666666663,0.2900390625
55.0,1.2395833333333333,0.25,0.255859375
57.5,0.9791666666666666,0.22802734375,0.2216796875
60.0,0.71875,0.2060546875,0.1875
62.5,0.484375,0.18408203125,0.18359375
65.0,0.25,0.162109375,0.1591796875
67.5,0.15625,0.13671875,0.1484375
70.0,0.3125,0.125,0.1455078125
72.5,0.46875,0.1484375,0.138671875
75.0,0.625,0.1484375,0.140625
