strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
7.0,1.21875,1.125,0.921875,1.21875,1.171875,1.28125,1.03125,1.140625,0.8515625
8.0,1.21875,1.125,0.921875,1.21875,1.171875,1.28125,1.03125,1.140625,0.8515625
9.0,1.21875,1.125,0.921875,1.21875,1.171875,1.28125,1.03125,1.140625,0.8515625
10.0,1.21875,1.125,0.921875,1.21875,1.171875,1.28125,1.03125,0.78125,0.9453125
11.0,1.21875,1.125,0.921875,1.21875,1.171875,1.28125,1.03125,0.953125,0.875
12.0,1.21875,1.125,0.921875,1.21875,1.171875,1.28125,1.03125,1.03125,0.91796875
13.0,1.21875,1.125,0.921875,1.21875,1.171875,1.28125,1.03125,0.90625,0.9375
14.0,1.21875,1.0,0.921875,1.21875,1.171875,1.28125,1.03125,0.9375,0.91796875
15.0,1.21875,1.03125,0.921875,1.21875,1.171875,1.28125,1.03125,0.9453125,0.921875
15.5,1.21875,1.03125,0.9375,1.21875,1.171875,1.28125,1.03125,0.96875,0.9296875
16.0,1.21875,1.03125,0.953125,1.21875,1.171875,1.28125,1.0390625,0.9921875,0.9375
16.5,1.21875,1.0390625,0.96875,1.21875,1.171875,1.28125,1.046875,1.0078125,0.951171875
17.0,1.21875,1.046875,0.984375,1.21875,1.171875,1.28125,1.0546875,1.0234375,0.96484375
17.5,1.21875,1.0729166666666667,1.03125,1.21875,1.171875,1.28125,1.0625,1.01953125,0.962890625
18.0,1.21875,1.0989583333333333,1.0234375,1.21875,1.171875,1.28125,1.06640625,1.015625,0.9609375
18.5,1.21875,1.125,1.0625,1.21875,1.171875,1.28125,1.0703125,1.05078125,0.9609375
19.0,1.28125,1.140625,1.0859375,1.21875,1.171875,1.28125,1.07421875,1.0859375,0.9609375
19.5,1.40625,1.171875,1.09375,1.21875,1.171875,1.28125,1.078125,1.07421875,0.970703125
20.0,1.4375,1.21875,1.09375,1.21875,1.171875,1.28125,1.1015625,1.0625,0.98046875
20.5,1.53125,1.25,1.15625,1.21875,1.171875,1.28125,1.0625,1.078125,0.982421875
21.0,1.5625,1.3125,1.140625,1.21875,1.171875,1.28125,1.15625,1.09375,0.984375
21.5,1.6875,1.34375,1.203125,1.21875,1.171875,1.28125,1.125,1.09375,0.9921875
22.0,1.75,1.34375,1.234375,1.21875,1.171875,1.28125,1.09375,1.09375,1.0
22.5,1.8125,1.359375,1.234375,1.21875,1.21875,1.28125,1.109375,1.1015625,1.0234375
23.0,1.875,1.40625,1.25,1.21875,1.234375,1.28125,1.125,1.109375,1.046875
23.5,1.875,1.4375,1.25,1.21875,1.25,1.28125,1.1953125,1.11328125,1.048828125
24.0,1.9375,1.53125,1.3125,1.25,1.265625,1.28125,1.203125,1.1171875,1.05078125
24.5,1.9375,1.5,1.328125,1.25,1.65625,1.28125,1.203125,1.1484375,1.037109375
25.0,1.9375,1.5625,1.34375,1.28125,1.28125,1.28125,1.234375,1.1796875,1.0234375
25.5,1.9375,1.625,1.390625,1.28125,1.328125,1.28125,1.40234375,1.17578125,1.025390625
26.0,1.9375,1.6458333333333333,1.40625,1.296875,1.28125,1.28125,1.5703125,1.171875,1.02734375
26.5,1.9375,1.6666666666666667,1.421875,1.359375,1.296875,1.28125,1.41015625,1.1785714285714286,1.037109375
27.0,1.9375,1.6875,1.4375,1.359375,1.3125,1.28125,1.25,1.1852678571428572,1.046875
27.5,1.9375,1.7083333333333333,1.453125,1.75,1.703125,1.30078125,1.2578125,1.1919642857142858,1.05078125
28.0,1.9375,1.7291666666666667,1.46875,1.375,1.359375,1.3203125,1.265625,1.1986607142857142,1.0546875
28.5,1.9375,1.75,1.5,1.46875,1.65625,1.328125,1.30078125,1.2053571428571428,1.0625
29.0,1.9375,1.75,1.53125,1.4375,1.703125,1.3359375,1.3359375,1.2120535714285714,1.0703125
29.5,1.9375,1.8125,1.53125,1.8125,1.40625,1.35546875,1.33203125,1.21875,1.078125
30.0,1.9375,1.84375,1.53125,1.4375,1.40625,1.375,1.328125,1.2254464285714286,1.0859375
30.5,1.9375,1.875,1.625,1.4375,1.40625,1.38671875,1.341796875,1.2321428571428572,1.09375
31.0,1.9375,1.875,1.625,1.4479166666666667,1.40625,1.3984375,1.35546875,1.2388392857142858,1.1015625
31.5,1.9375,1.875,1.625,1.4583333333333333,1.46875,1.40234375,1.369140625,1.2455357142857142,1.109375
32.0,1.9375,1.875,1.625,1.46875,1.53125,1.40625,1.3828125,1.2522321428571428,1.1171875
32.5,1.9375,1.875,1.640625,1.6953125,1.671875,1.4375,1.396484375,1.2589285714285714,1.125
33.0,1.9375,1.875,1.65625,1.921875,1.8125,1.46875,1.41015625,1.265625,1.1328125
34.0,1.9375,1.9375,1.6875,1.953125,1.5625,1.46875,1.423828125,1.296875,1.140625
35.0,1.9375,1.9375,1.6875,1.5625,1.5625,1.46875,1.4375,1.328125,1.078125
36.0,1.9375,1.9375,1.6875,1.5625,1.5625,1.484375,1.4375,1.34375,1.1328125
37.0,1.9375,1.9375,1.75,1.5625,1.5625,1.484375,1.4375,1.3671875,1.40625
38.0,1.9375,1.9375,1.75,1.5625,1.5625,1.515625,1.4375,1.375,1.1484375
39.0,1.9375,1.9375,1.78125,1.5625,1.5625,1.53125,1.4375,1.390625,1.4140625
40.0,1.9375,1.9375,1.8125,1.5625,1.5625,1.546875,1.4375,1.390625,1.14453125
41.0,1.9375,1.9375,1.84375,1.5625,1.5625,1.78125,1.4375,1.390625,1.1640625
42.0,1.9375,1.9375,1.875,1.5625,1.5625,1.578125,1.4375,1.421875,1.17578125
43.0,1.9375,1.9375,1.875,1.5625,1.5625,1.625,1.4375,1.40625,1.15234375
44.0,1.9375,1.9375,1.875,1.5625,1.5625,1.625,1.4375,1.40625,1.38671875
45.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.4375,1.1875
46.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.640625,1.19140625
47.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.609375,1.40625
48.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.625,1.484375
49.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.6875,1.21875
50.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.484375,1.25
55.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.5625,1.28125
60.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.59375,1.2734375
65.0,1.9375,1.9375,1.875,1.5625,1.5625,1.65625,1.4375,1.625,1.265625
