strike,2021-04-16,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
0.5,1.875,1.6875,1.125,1.25,1.0,1.125,1.0625,1.75
1.0,1.875,1.6875,1.125,1.25,1.0,1.125,1.0625,1.75
2.0,1.875,1.6875,1.125,1.25,1.0,1.125,1.0625,1.375
2.5,1.875,1.6875,1.125,1.25,1.0,1.125,1.0625,1.328125
3.0,1.875,1.6875,1.125,1.25,1.0,1.1875,1.0625,1.28125
3.5,1.875,1.6875,1.125,1.28125,1.09375,1.25,1.171875,1.328125
4.0,1.875,1.6875,1.125,1.28125,1.1875,1.21875,1.28125,1.375
4.5,1.875,1.6875,1.1875,1.25,1.28125,1.28125,1.40625,1.4296875
5.0,1.875,1.6875,1.3125,1.375,1.375,1.375,1.53125,1.484375
5.5,1.875,1.6875,1.4375,1.4375,1.484375,1.5625,1.53125,1.5234375
6.0,1.875,1.6875,1.53125,1.59375,1.59375,1.640625,1.53125,1.5625
6.5,1.875,1.6875,1.625,1.65625,1.640625,1.6875,1.59375,1.6015625
7.0,1.875,1.8125,1.78125,1.6875,1.6875,1.78125,1.65625,1.640625
7.5,1.875,1.875,1.84375,1.84375,1.765625,1.78125,1.6953125,1.6796875
8.0,1.875,1.9375,1.875,1.875,1.84375,1.8125,1.734375,1.71875
8.5,1.875,1.96875,1.9375,1.875,1.859375,1.90625,1.78125,1.7109375
9.0,1.875,1.96875,1.96875,1.9375,1.875,1.9375,1.828125,1.703125
9.5,1.875,1.96875,1.96875,1.9375,1.921875,1.875,1.8671875,1.71875
10.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.90625,1.734375
10.5,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.9375,1.7421875
11.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.75
11.5,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.78125
12.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.8125
12.5,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.8359375
13.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.859375
13.5,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.8671875
14.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.875
14.5,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.890625
15.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.90625
15.5,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.90625
16.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.90625
17.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.9375
18.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.984375
19.0,1.875,1.96875,1.96875,1.9375,1.96875,1.96875,1.96875,1.984375
