strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-07-16
5.0,1.0,1.015625,0.96875,0.9453125,0.8125,0.859375,0.5,0.9375
6.0,1.0,1.015625,0.96875,0.9453125,0.8125,0.859375,0.5,0.9375
7.0,1.0,1.015625,0.96875,0.9453125,0.8125,0.859375,0.5,0.9375
8.0,1.0,1.015625,0.96875,0.9453125,0.8125,0.859375,0.5,0.9375
9.0,1.0,1.015625,0.96875,0.9453125,0.8125,0.859375,0.5,0.859375
10.0,1.1,1.015625,0.96875,0.9453125,0.8125,0.859375,0.5,0.5625
11.0,1.2,1.015625,0.96875,0.9453125,0.8125,0.859375,0.5,0.625
11.5,1.3,1.015625,0.96875,0.9453125,0.8125,0.84375,0.5,0.7578125
12.0,1.4,1.015625,0.96875,0.9453125,0.8125,0.828125,0.5,0.890625
12.5,1.5,1.015625,0.96875,0.9453125,0.8125,0.8359375,0.546875,0.88671875
13.0,1.125,1.015625,0.96875,0.9453125,0.8125,0.84375,0.59375,0.8828125
13.5,0.75,1.015625,0.96875,0.9453125,0.8125,0.8984375,0.65625,0.88671875
14.0,0.8125,1.015625,0.96875,0.9453125,0.9140625,0.953125,0.8359375,0.890625
14.5,0.875,1.015625,0.96875,0.9453125,0.953125,0.9453125,0.78125,0.90625
15.0,0.96875,1.015625,0.96875,0.875,0.7734375,0.9375,0.9453125,0.921875
15.5,1.0625,1.015625,0.96875,0.953125,0.765625,0.9453125,0.9140625,0.9296875
16.0,1.09375,1.015625,0.96875,0.953125,0.9453125,0.953125,0.921875,0.9375
16.5,1.1875,1.03125,1.015625,1.0,0.9609375,0.96875,1.1953125,0.93359375
17.0,1.25,1.09375,1.0625,1.0,1.09375,0.984375,1.078125,0.9296875
17.5,1.4375,1.15625,1.09375,1.03125,0.859375,1.0078125,0.8671875,0.94921875
18.0,1.375,1.15625,1.078125,1.03125,0.8671875,1.03125,0.96875,0.96875
18.5,1.5,1.15625,1.15625,1.078125,1.0703125,1.03125,1.0546875,0.96875
19.0,1.625,1.21875,1.15625,1.125,1.15625,1.03125,0.9140625,0.96875
19.5,1.75,1.34375,1.1875,1.5625,1.109375,1.0625,1.015625,0.97265625
20.0,1.75,1.375,1.21875,1.15625,1.09375,1.09375,1.0390625,0.9765625
20.5,1.75,1.375,1.1875,1.125,1.140625,1.09375,0.9375,0.9921875
21.0,1.75,1.3125,1.25,1.25,1.140625,1.09375,0.984375,1.0078125
21.5,1.75,1.4375,1.3125,1.0625,1.125,1.109375,1.03125,1.00390625
22.0,1.75,1.5,1.4375,1.25,1.109375,1.125,1.078125,1.0
22.5,1.75,1.4375,1.40625,1.25,1.1015625,1.140625,1.078125,1.01171875
23.0,1.75,1.375,1.1875,1.28125,1.09375,1.15625,1.078125,1.0234375
23.5,1.75,1.5,1.5625,1.328125,1.28125,1.171875,1.078125,1.04296875
24.0,1.75,1.625,1.5,1.375,1.28125,1.1875,1.078125,1.0625
24.5,1.75,1.625,1.4375,1.375,1.28125,1.1953125,1.078125,1.0691964285714286
25.0,1.75,1.625,1.4375,1.375,1.28125,1.203125,1.078125,1.0758928571428572
26.0,1.75,1.625,1.65625,1.375,1.28125,1.21875,1.078125,1.0825892857142858
26.5,1.75,1.75,1.5,1.375,1.28125,1.25,1.078125,1.0892857142857142
27.0,1.75,1.75,1.5,1.375,1.28125,1.28125,1.078125,1.0959821428571428
28.0,1.75,1.75,1.5,1.375,1.28125,1.25,1.078125,1.1026785714285714
29.0,1.75,1.75,1.5,1.375,1.28125,1.265625,1.078125,1.109375
30.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.125
31.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.1484375
32.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.1328125
33.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.171875
34.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.15625
35.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.203125
36.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.171875
37.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.171875
38.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.734375
39.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.7109375
40.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.171875
41.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.234375
42.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.203125
43.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.515625
44.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.234375
45.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.28125
46.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.328125
47.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.296875
48.0,1.75,1.75,1.5,1.375,1.28125,1.34375,1.078125,1.28125
