contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
BAC210416C00022000,2021-04-01 18:45:46,52.0,22.0,17.35,17.55,17.55,call,2021-04-16,0.00821917808219178,
BAC210416C00023000,2021-03-03 20:17:04,80.0,23.0,15.95,17.0,13.9,call,2021-04-16,0.00821917808219178,
BAC210416C00024000,2021-02-11 14:32:03,1.0,24.0,13.5,14.25,9.1,call,2021-04-16,0.00821917808219178,
BAC210416C00025000,2021-04-13 14:23:16,1.0,25.0,14.35,14.5,14.5,call,2021-04-16,0.00821917808219178,
BAC210416C00026000,2021-04-09 19:03:52,1.0,26.0,13.35,13.5,13.72,call,2021-04-16,0.00821917808219178,
BAC210416C00027000,2021-04-08 13:59:19,1.0,27.0,12.35,12.45,12.58,call,2021-04-16,0.00821917808219178,
BAC210416C00028000,2021-04-13 18:52:01,29.0,28.0,11.35,11.5,11.4,call,2021-04-16,0.00821917808219178,
BAC210416C00029000,2021-04-12 15:38:28,91.0,29.0,10.35,10.5,11.0,call,2021-04-16,0.00821917808219178,
BAC210416C00030000,2021-04-13 19:37:13,2.0,30.0,9.35,9.45,9.45,call,2021-04-16,0.00821917808219178,1.9375
BAC210416C00031000,2021-04-13 19:34:14,20.0,31.0,8.4,8.5,8.45,call,2021-04-16,0.00821917808219178,1.75
BAC210416C00032000,2021-04-13 18:06:10,6.0,32.0,7.35,7.5,7.5,call,2021-04-16,0.00821917808219178,1.6875
BAC210416C00032500,2021-04-05 18:38:49,1.0,32.5,6.85,7.0,7.05,call,2021-04-16,0.00821917808219178,1.65625
BAC210416C00033000,2021-04-13 19:45:42,24.0,33.0,6.35,6.5,6.45,call,2021-04-16,0.00821917808219178,1.375
BAC210416C00033500,2021-04-01 15:47:38,1.0,33.5,5.75,6.0,5.89,call,2021-04-16,0.00821917808219178,1.125
BAC210416C00034000,2021-04-13 19:19:46,98.0,34.0,5.4,5.5,5.4,call,2021-04-16,0.00821917808219178,1.0625
BAC210416C00034500,2021-04-12 19:08:28,4.0,34.5,4.8,5.0,5.47,call,2021-04-16,0.00821917808219178,1.75
BAC210416C00035000,2021-04-13 19:49:22,1937.0,35.0,4.4,4.5,4.45,call,2021-04-16,0.00821917808219178,1.0
BAC210416C00035500,2021-04-13 13:52:35,5.0,35.5,3.9,4.0,4.15,call,2021-04-16,0.00821917808219178,1.1875
BAC210416C00036000,2021-04-13 19:45:11,197.0,36.0,3.4,3.5,3.48,call,2021-04-16,0.00821917808219178,0.84375
BAC210416C00036500,2021-04-13 15:23:52,19.0,36.5,2.94,3.05,2.98,call,2021-04-16,0.00821917808219178,0.75
BAC210416C00038000,2021-04-13 19:38:03,1253.0,38.0,1.6,1.64,1.64,call,2021-04-16,0.00821917808219178,0.59375
BAC210416C00038500,2021-04-13 19:49:50,328.0,38.5,1.23,1.26,1.25,call,2021-04-16,0.00821917808219178,0.5625
BAC210416C00039000,2021-04-13 19:52:34,8615.0,39.0,0.91,0.93,0.92,call,2021-04-16,0.00821917808219178,0.53125
BAC210416C00039500,2021-04-13 19:51:48,6523.0,39.5,0.64,0.66,0.65,call,2021-04-16,0.00821917808219178,0.515625
BAC210416C00040000,2021-04-13 19:52:10,25465.0,40.0,0.44,0.45,0.45,call,2021-04-16,0.00821917808219178,0.5234375
BAC210416C00040500,2021-04-13 19:49:37,4795.0,40.5,0.31,0.31,0.32,call,2021-04-16,0.00821917808219178,0.53125
BAC210416C00041000,2021-04-13 19:51:14,6231.0,41.0,0.2,0.21,0.21,call,2021-04-16,0.00821917808219178,0.546875
BAC210416C00041500,2021-04-13 19:46:13,2865.0,41.5,0.13,0.15,0.15,call,2021-04-16,0.00821917808219178,0.5625
BAC210416C00042000,2021-04-13 19:51:56,4536.0,42.0,0.09,0.1,0.1,call,2021-04-16,0.00821917808219178,0.578125
BAC210416C00042500,2021-04-13 19:27:55,264.0,42.5,0.05,0.07,0.06,call,2021-04-16,0.00821917808219178,0.5625
BAC210416C00043000,2021-04-13 19:52:49,415.0,43.0,0.04,0.05,0.05,call,2021-04-16,0.00821917808219178,0.625
BAC210416C00043500,2021-04-13 19:48:02,86.0,43.5,0.02,0.03,0.09,call,2021-04-16,0.00821917808219178,0.75
BAC210416C00044000,2021-04-13 19:16:23,235.0,44.0,0.02,0.03,0.03,call,2021-04-16,0.00821917808219178,0.6875
BAC210416C00045000,2021-04-13 19:05:49,83.0,45.0,0.01,0.02,0.01,call,2021-04-16,0.00821917808219178,0.5
BAC210416C00046000,2021-04-12 19:53:46,4.0,46.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.5
BAC210416C00047000,2021-04-06 18:17:04,5.0,47.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.5
BAC210416C00048000,2021-04-09 15:34:22,15.0,48.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
BAC210416C00049000,2021-04-09 13:43:17,10.0,49.0,0.0,0.03,0.02,call,2021-04-16,0.00821917808219178,1.125
BAC210416C00053000,2021-04-07 13:30:07,,53.0,0.0,0.03,0.01,call,2021-04-16,0.00821917808219178,1.0
BAC210416C00057000,2021-03-31 14:32:25,,57.0,0.0,0.03,0.02,call,2021-04-16,0.00821917808219178,1.75
BAC210416P00022000,2021-03-23 19:57:27,100.0,22.0,0.0,0.0,0.02,put,2021-04-16,0.00821917808219178,
BAC210416P00023000,2021-03-22 13:51:20,1.0,23.0,0.0,0.03,0.01,put,2021-04-16,0.00821917808219178,
BAC210416P00024000,2021-03-19 13:30:02,15.0,24.0,0.0,0.02,0.01,put,2021-04-16,0.00821917808219178,
BAC210416P00025000,2021-04-05 13:35:28,12.0,25.0,0.0,0.01,0.01,put,2021-04-16,0.00821917808219178,1.5
BAC210416P00026000,2021-04-05 14:03:27,3.0,26.0,0.0,0.01,0.01,put,2021-04-16,0.00821917808219178,1.5
BAC210416P00027000,2021-04-06 16:19:14,22.0,27.0,0.0,0.03,0.01,put,2021-04-16,0.00821917808219178,1.0
BAC210416P00028000,2021-04-08 19:23:19,5.0,28.0,0.0,0.01,0.01,put,2021-04-16,0.00821917808219178,1.0
BAC210416P00029000,2021-04-05 14:36:36,115.0,29.0,0.0,0.01,0.01,put,2021-04-16,0.00821917808219178,1.0
BAC210416P00030000,2021-04-13 18:58:43,75.0,30.0,0.0,0.01,0.01,put,2021-04-16,0.00821917808219178,1.0
BAC210416P00031000,2021-04-12 13:37:14,35.0,31.0,0.0,0.03,0.03,put,2021-04-16,0.00821917808219178,1.25
BAC210416P00032000,2021-04-13 18:19:59,5.0,32.0,0.0,0.01,0.02,put,2021-04-16,0.00821917808219178,1.0
BAC210416P00032500,2021-04-06 19:33:08,1.0,32.5,0.0,0.01,0.02,put,2021-04-16,0.00821917808219178,1.0
BAC210416P00033000,2021-04-13 17:33:46,51.0,33.0,0.0,0.01,0.01,put,2021-04-16,0.00821917808219178,0.5
