contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
IWM210416C00198000,2021-03-31 15:04:03,1.0,198.0,23.18,23.45,22.71,call,2021-04-16,0.00821917808219178,
IWM210416C00199000,2021-04-13 14:02:07,12.0,199.0,22.33,22.48,21.5,call,2021-04-16,0.00821917808219178,
IWM210416C00200000,2021-04-13 19:03:36,18.0,200.0,21.13,21.4,21.28,call,2021-04-16,0.00821917808219178,0.578125
IWM210416C00201000,2021-04-06 19:59:59,1.0,201.0,20.23,20.44,19.47,call,2021-04-16,0.00821917808219178,
IWM210416C00202000,2021-04-13 18:22:13,24.0,202.0,19.36,19.47,18.49,call,2021-04-16,0.00821917808219178,
IWM210416C00203000,2021-04-13 16:55:21,10.0,203.0,18.32,18.46,16.34,call,2021-04-16,0.00821917808219178,
IWM210416C00204000,2021-04-13 15:54:23,1.0,204.0,17.16,17.27,16.2,call,2021-04-16,0.00821917808219178,
IWM210416C00205000,2021-04-13 19:24:00,18.0,205.0,16.31,16.45,16.37,call,2021-04-16,0.00821917808219178,0.5078125
IWM210416C00206000,2021-04-13 16:52:50,34.0,206.0,15.13,15.3,13.3,call,2021-04-16,0.00821917808219178,
IWM210416C00207000,2021-04-13 16:38:16,40.0,207.0,14.13,14.23,12.88,call,2021-04-16,0.00821917808219178,
IWM210416C00208000,2021-04-12 13:58:12,2.0,208.0,13.16,13.46,14.01,call,2021-04-16,0.00821917808219178,0.61328125
IWM210416C00209000,2021-04-12 14:48:27,1.0,209.0,12.41,12.5,10.5,call,2021-04-16,0.00821917808219178,
IWM210416C00210000,2021-04-13 19:36:55,283.0,210.0,11.38,11.47,11.11,call,2021-04-16,0.00821917808219178,
IWM210416C00211000,2021-04-13 16:57:51,79.0,211.0,10.39,10.49,8.58,call,2021-04-16,0.00821917808219178,
IWM210416C00212000,2021-04-13 18:01:29,30.0,212.0,9.3,9.41,8.52,call,2021-04-16,0.00821917808219178,
IWM210416C00213000,2021-04-13 19:52:30,69.0,213.0,8.41,8.51,8.43,call,2021-04-16,0.00821917808219178,0.3125
IWM210416C00214000,2021-04-13 19:00:48,13.0,214.0,7.49,7.58,7.5,call,2021-04-16,0.00821917808219178,0.296875
IWM210416C00215000,2021-04-13 19:41:56,928.0,215.0,6.58,6.68,6.67,call,2021-04-16,0.00821917808219178,0.30859375
IWM210416C00216000,2021-04-13 19:16:42,226.0,216.0,5.71,5.8,6.15,call,2021-04-16,0.00821917808219178,0.35546875
IWM210416C00217000,2021-04-13 19:49:20,1586.0,217.0,5.07,5.26,5.24,call,2021-04-16,0.00821917808219178,0.330078125
IWM210416C00245000,2021-04-13 19:05:24,23.0,245.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.375
IWM210416C00246000,2021-04-13 17:48:32,3.0,246.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.375
IWM210416C00247000,2021-04-13 13:55:06,10.0,247.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.375
IWM210416C00248000,2021-04-12 16:03:37,1.0,248.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.5
IWM210416C00249000,2021-04-09 19:04:24,1.0,249.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.5
IWM210416C00250000,2021-04-12 18:56:00,14.0,250.0,0.0,0.01,0.02,call,2021-04-16,0.00821917808219178,0.5625
IWM210416C00255000,2021-04-12 18:56:00,1.0,255.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.5
IWM210416C00260000,2021-04-12 16:56:23,44.0,260.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.5
IWM210416C00265000,2021-04-05 19:55:07,21.0,265.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.5
IWM210416C00270000,2021-04-09 14:34:39,3.0,270.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.5
IWM210416C00275000,2021-03-31 17:08:37,12.0,275.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.75
IWM210416C00280000,2021-04-07 20:12:09,1.0,280.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,0.75
IWM210416C00285000,2021-03-25 13:40:28,1.0,285.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
IWM210416C00290000,2021-03-24 17:15:45,1.0,290.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
IWM210416C00295000,2021-03-29 14:47:19,1.0,295.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
IWM210416C00300000,2021-03-18 18:55:43,10.0,300.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
IWM210416C00305000,2021-03-15 18:24:48,1.0,305.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
IWM210416C00310000,2021-03-15 18:33:20,1.0,310.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
IWM210416C00315000,2021-02-18 20:55:49,,315.0,0.0,0.04,0.04,call,2021-04-16,0.00821917808219178,1.5
IWM210416C00320000,2021-03-15 14:21:20,100.0,320.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
IWM210416C00325000,2021-03-15 14:21:34,100.0,325.0,0.0,0.01,0.01,call,2021-04-16,0.00821917808219178,1.0
IWM210416P00196000,2021-04-13 16:44:58,1.0,196.0,0.0,0.02,0.01,put,2021-04-16,0.00821917808219178,0.5
IWM210416P00197000,2021-04-13 16:13:10,37.0,197.0,0.01,0.02,0.02,put,2021-04-16,0.00821917808219178,0.5
IWM210416P00198000,2021-04-13 19:05:49,68.0,198.0,0.0,0.02,0.02,put,2021-04-16,0.00821917808219178,0.5
IWM210416P00199000,2021-04-13 18:51:39,54.0,199.0,0.01,0.02,0.01,put,2021-04-16,0.00821917808219178,0.375
IWM210416P00200000,2021-04-13 19:34:20,9255.0,200.0,0.01,0.03,0.02,put,2021-04-16,0.00821917808219178,0.4375
IWM210416P00201000,2021-04-13 19:12:11,33.0,201.0,0.02,0.03,0.02,put,2021-04-16,0.00821917808219178,0.4375
IWM210416P00202000,2021-04-13 19:22:02,81.0,202.0,0.01,0.03,0.03,put,2021-04-16,0.00821917808219178,0.4375
IWM210416P00203000,2021-04-13 19:41:00,807.0,203.0,0.02,0.03,0.01,put,2021-04-16,0.00821917808219178,0.25
IWM210416P00204000,2021-04-13 19:28:56,416.0,204.0,0.02,0.04,0.03,put,2021-04-16,0.00821917808219178,0.40625
IWM210416P00205000,2021-04-13 19:24:54,556.0,205.0,0.03,0.04,0.03,put,2021-04-16,0.00821917808219178,0.375
IWM210416P00206000,2021-04-13 19:48:01,56.0,206.0,0.03,0.05,0.05,put,2021-04-16,0.00821917808219178,0.375
IWM210416P00207000,2021-04-13 19:24:57,247.0,207.0,0.04,0.06,0.04,put,2021-04-16,0.00821917808219178,0.34375
IWM210416P00208000,2021-04-13 19:33:09,2307.0,208.0,0.06,0.07,0.06,put,2021-04-16,0.00821917808219178,0.34375
IWM210416P00209000,2021-04-13 19:39:26,9932.0,209.0,0.08,0.09,0.08,put,2021-04-16,0.00821917808219178,0.34375
IWM210416P00210000,2021-04-13 19:46:40,4676.0,210.0,0.09,0.1,0.09,put,2021-04-16,0.00821917808219178,0.328125
IWM210416P00211000,2021-04-13 19:36:07,1051.0,211.0,0.13,0.14,0.15,put,2021-04-16,0.00821917808219178,0.328125
IWM210416P00212000,2021-04-13 19:47:40,5173.0,212.0,0.17,0.18,0.15,put,2021-04-16,0.00821917808219178,0.296875
IWM210416P00213000,2021-04-13 19:43:16,11274.0,213.0,0.22,0.23,0.22,put,2021-04-16,0.00821917808219178,0.3046875
IWM210416P00214000,2021-04-13 19:48:40,1374.0,214.0,0.33,0.33,0.29,put,2021-04-16,0.00821917808219178,0.2890625
IWM210416P00215000,2021-04-13 19:47:41,3902.0,215.0,0.42,0.44,0.37,put,2021-04-16,0.00821917808219178,0.27734375
IWM210416P00243000,2021-03-29 18:37:36,1.0,243.0,21.64,21.75,28.41,put,2021-04-16,0.00821917808219178,1.78515625
IWM210416P00244000,2021-04-07 15:16:55,2.0,244.0,22.73,22.93,21.68,put,2021-04-16,0.00821917808219178,
IWM210416P00245000,2021-04-09 19:04:29,150.0,245.0,23.61,23.82,23.28,put,2021-04-16,0.00821917808219178,
IWM210416P00246000,2021-04-06 19:23:24,2.0,246.0,24.6,24.72,21.78,put,2021-04-16,0.00821917808219178,
IWM210416P00247000,2021-04-06 15:59:31,2.0,247.0,25.55,25.82,21.42,put,2021-04-16,0.00821917808219178,
IWM210416P00248000,2021-03-25 13:33:12,1.0,248.0,26.74,26.87,37.68,put,2021-04-16,0.00821917808219178,
IWM210416P00249000,2021-03-26 18:32:21,1.0,249.0,27.57,27.73,31.68,put,2021-04-16,0.00821917808219178,1.583984375
IWM210416P00250000,2021-04-09 19:55:58,101.0,250.0,28.52,28.8,27.18,put,2021-04-16,0.00821917808219178,
IWM210416P00255000,2021-04-09 19:04:29,151.0,255.0,33.56,33.74,33.25,put,2021-04-16,0.00821917808219178,
IWM210416P00260000,2021-04-08 19:54:43,1.0,260.0,38.79,38.95,37.29,put,2021-04-16,0.00821917808219178,
IWM210416P00265000,2021-03-30 14:30:14,299.0,265.0,43.65,43.92,49.44,put,2021-04-16,0.00821917808219178,
IWM210416P00270000,2021-04-08 13:54:44,1.0,270.0,48.52,48.7,49.38,put,2021-04-16,0.00821917808219178,1.3125
IWM210416P00275000,2021-03-29 16:17:07,1.0,275.0,53.55,53.74,60.28,put,2021-04-16,0.00821917808219178,
IWM210416P00280000,2021-03-19 19:44:21,1.0,280.0,58.7,58.84,62.2,put,2021-04-16,0.00821917808219178,
IWM210416P00325000,2021-03-23 19:41:00,2.0,325.0,0.0,0.0,108.7,put,2021-04-16,0.00821917808219178,
IWM210423C00208000,2021-04-12 16:34:05,1.0,208.0,13.66,13.81,15.21,call,2021-04-23,0.0273972602739726,0.462890625
IWM210423C00209000,2021-04-09 17:22:43,1.0,209.0,12.91,13.03,13.77,call,2021-04-23,0.0273972602739726,0.40234375
