strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-06-30,2021-09-17,2021-09-30
18.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.75,0.33984375,0.5,0.65625
19.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.75,0.33984375,0.5,1.0234375
20.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.75,0.33984375,0.5,0.609375
21.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.75,0.33984375,0.5,0.9296875
22.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.75,0.33984375,0.5,0.53125
23.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.75,0.33984375,0.5,0.546875
24.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.6875,0.33984375,0.5,0.640625
25.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.71875,0.33984375,0.5,0.53125
26.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.625,0.33984375,0.5,0.515625
27.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.625,0.33984375,0.59375,0.484375
28.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.78125,0.359375,0.5625,0.33984375,0.4921875,0.46484375
29.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.8125,0.359375,0.5,0.33984375,0.484375,0.453125
30.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.6875,0.359375,0.5,0.33984375,0.4921875,0.4140625
31.0,1.5,0.296875,0.2578125,0.30859375,0.328125,0.625,0.359375,0.46875,0.33984375,0.46875,0.4609375
32.0,1.25,0.296875,0.2578125,0.30859375,0.328125,0.703125,0.359375,0.46875,0.33984375,0.46875,0.41796875
33.0,1.0,0.296875,0.2578125,0.30859375,0.328125,0.5625,0.359375,0.453125,0.33984375,0.375,0.44140625
34.0,1.75,0.296875,0.2578125,0.30859375,0.328125,0.53125,0.359375,0.4375,0.33984375,0.3828125,0.4296875
