strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30
115.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
125.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
150.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
160.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
161.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
162.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
163.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
164.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
165.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
166.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
167.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
168.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
169.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
170.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
171.0,1.015625,0.25390625,0.283203125,0.251953125,0.25,0.296875,0.30029296875,0.30078125,0.4501953125,0.1494140625,0.26708984375,0.43212890625,0.36328125
