strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
7.0,1.5,0.96875,0.9375,1.125,1.125,1.015625,1.015625,1.125,0.859375
8.0,1.5,0.96875,0.9375,1.125,1.125,1.015625,1.015625,1.03125,0.859375
9.0,1.5,0.96875,0.9375,1.125,1.125,1.015625,1.015625,1.125,0.859375
10.0,1.5,0.96875,0.9375,1.125,1.125,1.015625,1.015625,0.96875,0.9375
11.0,1.5,0.96875,0.9375,1.125,1.0625,1.015625,1.015625,0.921875,0.8984375
12.0,1.5,0.96875,0.9375,0.9375,0.984375,1.015625,1.015625,0.921875,0.859375
13.0,1.5,0.96875,0.9375,0.890625,1.0,1.015625,1.015625,0.9296875,0.9453125
14.0,1.5,0.96875,0.9375,0.96875,0.984375,1.015625,1.015625,0.9609375,0.8828125
15.0,1.5,0.9375,0.953125,1.0,0.96875,1.015625,1.015625,0.9453125,0.921875
15.5,1.5,0.953125,0.9609375,0.9739583333333334,0.953125,1.015625,1.015625,0.9453125,0.919921875
16.0,1.5,0.96875,0.96875,0.9479166666666666,0.984375,1.015625,1.015625,0.9453125,0.91796875
16.5,1.5,0.984375,0.9921875,0.921875,1.046875,1.015625,1.015625,0.984375,0.94140625
17.0,1.5,1.0,1.015625,1.046875,1.0234375,1.015625,1.015625,1.0234375,0.96484375
17.5,1.5,1.03125,1.0,0.921875,1.015625,1.015625,1.015625,1.03515625,0.9765625
18.0,1.5,1.0625,1.03125,1.0390625,1.125,1.015625,1.015625,1.046875,0.98828125
18.5,1.5,1.09375,0.9375,1.0,1.0,1.015625,1.015625,0.984375,0.984375
19.0,1.5,1.0625,0.71875,0.75,1.1015625,1.015625,1.015625,0.921875,0.98046875
19.5,1.5,0.6875,1.0625,0.9375,1.09375,1.015625,1.015625,0.98828125,0.990234375
20.0,1.4285714285714286,1.265625,1.140625,0.5625,1.015625,1.015625,1.015625,1.0546875,1.0
20.5,1.3571428571428572,1.5,1.03125,0.875,1.1171875,1.015625,1.015625,0.9765625,1.005859375
21.0,1.2857142857142858,1.125,1.0,0.78125,0.625,1.015625,1.015625,0.8984375,1.01171875
21.5,1.2142857142857144,1.171875,0.8125,1.015625,0.90625,1.015625,1.0859375,1.0,1.009765625
22.0,1.1428571428571428,1.21875,0.75,1.25,1.1875,1.015625,1.0703125,1.1015625,1.0078125
22.5,1.0714285714285714,1.265625,0.953125,1.1484375,0.953125,1.015625,1.09375,1.078125,0.896484375
23.0,1.0,1.3125,1.15625,1.046875,1.09375,1.015625,1.1171875,1.0546875,0.78515625
