strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-06-30,2021-09-17,2021-09-30
18.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,1.0546875
19.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,1.0546875
20.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,1.0546875
21.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,1.0546875
22.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,0.84375
23.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,0.8216145833333334
24.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,0.7994791666666666
25.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,0.77734375
26.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,0.7421875
27.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,0.70703125
28.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,0.671875
29.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,1.09765625,0.26171875,0.998046875,0.65625
30.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.71875,0.26171875,0.998046875,0.6123046875
31.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.984375,0.26171875,0.998046875,0.568359375
32.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6875,0.26171875,0.998046875,0.3125
33.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.109375,0.33984375,0.6484375,0.26171875,0.7060546875,0.5859375
34.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.140625,0.33984375,0.59765625,0.26171875,0.4140625,0.5651041666666666
35.0,0.875,0.28125,0.3046875,0.30078125,0.3046875,1.552734375,0.33984375,0.546875,0.26171875,0.388671875,0.5442708333333334
