contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
XLE210416C00031000,2021-04-09 13:50:00,1.0,31.0,16.95,18.55,17.73,call,2021-04-16,0.0027397260273972603,
XLE210416C00032000,2021-03-19 19:47:04,1.0,32.0,15.95,17.65,17.79,call,2021-04-16,0.0027397260273972603,
XLE210416C00033000,2021-03-18 14:27:47,1.0,33.0,14.95,16.6,18.31,call,2021-04-16,0.0027397260273972603,
XLE210416C00034000,2021-03-30 18:03:23,1.0,34.0,13.95,15.6,14.95,call,2021-04-16,0.0027397260273972603,
XLE210416C00035000,2021-04-15 15:15:57,1.0,35.0,12.8,14.7,13.8,call,2021-04-16,0.0027397260273972603,
XLE210416C00036000,2021-03-30 19:58:35,185.0,36.0,11.95,13.55,13.4,call,2021-04-16,0.0027397260273972603,
XLE210416C00037000,2021-03-19 17:36:00,2.0,37.0,10.85,12.65,12.85,call,2021-04-16,0.0027397260273972603,
XLE210416C00038000,2021-04-14 18:57:56,12.0,38.0,9.95,11.55,11.14,call,2021-04-16,0.0027397260273972603,
XLE210416C00039000,2021-04-14 16:08:01,2.0,39.0,8.6,10.9,10.78,call,2021-04-16,0.0027397260273972603,
XLE210416C00040000,2021-04-14 18:38:54,11.0,40.0,8.0,9.6,8.9,call,2021-04-16,0.0027397260273972603,
XLE210416C00041000,2021-04-14 17:04:28,1.0,41.0,6.95,8.55,8.45,call,2021-04-16,0.0027397260273972603,
XLE210416C00042000,2021-04-15 16:24:37,4.0,42.0,6.05,7.0,6.7,call,2021-04-16,0.0027397260273972603,
XLE210416C00043000,2021-04-14 16:52:34,37.0,43.0,5.0,7.15,6.5,call,2021-04-16,0.0027397260273972603,
XLE210416C00043500,2021-03-24 16:25:24,,43.5,3.8,6.7,6.4,call,2021-04-16,0.0027397260273972603,
XLE210416C00044000,2021-04-14 16:34:54,4.0,44.0,3.95,5.45,4.67,call,2021-04-16,0.0027397260273972603,
