strike,2021-05-21,2021-07-16,2021-08-20
20.0,0.640625,0.80859375,0.662109375
25.0,0.640625,0.80859375,0.662109375
30.0,0.640625,0.80859375,0.662109375
33.0,0.640625,0.80859375,0.662109375
34.0,0.640625,0.80859375,0.662109375
35.0,0.640625,0.80859375,0.662109375
36.0,0.640625,0.80859375,0.662109375
37.0,0.640625,0.80859375,0.662109375
38.0,0.640625,0.80859375,0.662109375
39.0,0.94921875,0.740234375,0.55078125
40.0,1.2578125,0.671875,0.50390625
41.0,0.74609375,0.560546875,0.615234375
42.0,0.560546875,0.44921875,0.6162109375
43.0,0.375,0.5110677083333334,0.6171875
44.0,0.6015625,0.5729166666666666,0.853515625
45.0,0.80078125,0.634765625,0.50390625
46.0,0.85546875,0.62109375,0.4296875
47.0,0.91015625,0.607421875,0.35546875
48.0,0.484375,0.5592447916666666,0.28125
49.0,0.703125,0.5110677083333334,0.5107421875
50.0,0.51171875,0.462890625,0.576171875
55.0,0.48828125,0.45703125,0.6123046875
60.0,0.49609375,0.529296875,0.4873046875
65.0,0.5078125,0.4453125,0.564453125
70.0,0.578125,0.4609375,0.513671875
75.0,0.8828125,0.4765625,0.521484375
80.0,0.84375,0.48828125,0.62109375
