strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
17.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
20.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
22.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
25.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
27.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
30.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
32.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
35.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
37.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
40.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.125
42.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.1875
45.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.25
47.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3515625,0.31640625
48.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.34296875,0.30703125
48.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.334375,0.29765625
49.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.32578125,0.28828125
49.5,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.3171875,0.27890625
50.0,0.734375,0.15625,0.26171875,0.1640625,0.4296875,0.24609375,0.30859375,0.26953125
50.5,0.734375,0.15625,0.26171875,0.1640625,0.4046875,0.24609375,0.301953125,0.264453125
51.0,0.734375,0.15625,0.26171875,0.1640625,0.3796875,0.24609375,0.2953125,0.259375
51.5,0.734375,0.15625,0.26171875,0.1640625,0.3546875,0.24609375,0.288671875,0.254296875
52.0,0.734375,0.15625,0.26171875,0.1640625,0.3296875,0.24609375,0.28203125,0.24921875
52.5,0.5703125,0.15625,0.26171875,0.1640625,0.3046875,0.24609375,0.275390625,0.244140625
53.0,0.40625,0.15625,0.26171875,0.1640625,0.296875,0.24609375,0.270703125,0.2439453125
53.5,0.3125,0.15625,0.26171875,0.1640625,0.2890625,0.2506510416666667,0.266015625,0.24375
54.0,0.39453125,0.15625,0.26171875,0.1640625,0.28125,0.2552083333333333,0.261328125,0.2435546875
54.5,0.4765625,0.15625,0.26171875,0.1640625,0.2734375,0.259765625,0.256640625,0.243359375
55.0,0.296875,0.3515625,0.26171875,0.2421875,0.265625,0.2643229166666667,0.251953125,0.2431640625
55.5,0.328125,0.125,0.23828125,0.23828125,0.259765625,0.2688802083333333,0.25234375,0.2435546875
56.0,0.25,0.24609375,0.25,0.234375,0.25390625,0.2734375,0.252734375,0.2439453125
56.5,0.2734375,0.26171875,0.18359375,0.23046875,0.248046875,0.173828125,0.253125,0.2443359375
57.0,0.25,0.328125,0.28125,0.2265625,0.2421875,0.07421875,0.253515625,0.2447265625
57.5,0.23828125,0.29296875,0.234375,0.23828125,0.236328125,0.220703125,0.25390625,0.2451171875
58.0,0.2265625,0.234375,0.23046875,0.23828125,0.234765625,0.2578125,0.248828125,0.2435546875
58.5,0.21875,0.2265625,0.234375,0.236328125,0.233203125,0.23828125,0.24375,0.2419921875
59.0,0.2109375,0.23046875,0.26953125,0.2431640625,0.231640625,0.236328125,0.238671875,0.2404296875
59.5,0.21484375,0.23046875,0.23046875,0.25,0.230078125,0.240234375,0.23359375,0.2388671875
60.0,0.21875,0.23046875,0.2265625,0.2265625,0.228515625,0.234375,0.228515625,0.2373046875
60.5,0.2265625,0.228515625,0.2421875,0.2265625,0.22802734375,0.23046875,0.22705078125,0.237548828125
61.0,0.234375,0.2265625,0.2578125,0.2265625,0.2275390625,0.22916666666666666,0.2255859375,0.23779296875
62.0,0.3125,0.28125,0.2578125,0.2265625,0.22705078125,0.22786458333333334,0.22412109375,0.238037109375
62.5,0.3515625,0.3359375,0.2578125,0.2265625,0.2265625,0.2265625,0.22265625,0.23828125
63.0,0.390625,0.390625,0.2578125,0.2265625,0.23046875,0.2265625,0.224609375,0.24267578125
65.0,0.4375,0.4453125,0.2578125,0.2265625,0.234375,0.2265625,0.2265625,0.2470703125
70.0,0.4375,0.4453125,0.2578125,0.2265625,0.234375,0.2265625,0.2578125,0.234375
75.0,0.4375,0.4453125,0.2578125,0.2265625,0.234375,0.2265625,0.2578125,0.23828125
80.0,0.4375,0.4453125,0.2578125,0.2265625,0.234375,0.2265625,0.2578125,0.27734375
