strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
17.5,0.9375,0.75,0.6171875,0.3203125,1.09375,0.28515625,1.25,0.5
20.0,0.9375,0.75,0.6171875,0.3203125,1.09375,0.28515625,1.3125,0.5
22.5,0.9375,0.75,0.6171875,0.3203125,1.09375,0.28515625,1.375,0.5
25.0,0.9375,0.75,0.6171875,0.3203125,1.09375,0.28515625,0.8125,0.5625
27.5,0.9375,0.75,0.6171875,0.3203125,1.09375,0.28515625,1.09375,0.671875
30.0,0.9375,0.75,0.6171875,0.3203125,0.9791666666666666,0.28515625,0.71875,0.515625
32.5,0.9375,0.75,0.6171875,0.3203125,0.8645833333333334,0.28515625,0.65625,0.66796875
35.0,0.9375,0.75,0.6171875,0.3203125,0.75,0.28515625,0.5,0.4453125
37.5,0.9375,0.75,0.6171875,0.3203125,0.640625,0.28515625,0.53125,0.41015625
40.0,0.9375,0.75,0.6171875,0.3203125,0.53125,0.28515625,0.4375,0.3984375
42.5,0.9375,0.75,0.6171875,0.3203125,0.484375,0.28515625,0.421875,0.35546875
45.0,0.9375,0.75,0.6171875,0.3203125,0.453125,0.28515625,0.390625,0.328125
47.5,0.9375,0.625,0.6171875,0.3203125,0.34375,0.28515625,0.328125,0.30859375
48.0,0.9375,0.5,0.6171875,0.3203125,0.3390625,0.28515625,0.32265625,0.305078125
48.5,0.9375,0.765625,0.5260416666666666,0.3203125,0.334375,0.28515625,0.3171875,0.3015625
49.0,0.5,0.484375,0.43489583333333337,0.3203125,0.3296875,0.28515625,0.31171875,0.298046875
49.5,0.5625,0.640625,0.34375,0.3203125,0.325,0.28515625,0.30625,0.29453125
50.0,0.5625,0.375,0.453125,0.3203125,0.3203125,0.28515625,0.30078125,0.291015625
50.5,0.6875,0.421875,0.4609375,0.359375,0.3109375,0.28515625,0.2953125,0.28828125
51.0,0.4375,0.5234375,0.4609375,0.3984375,0.3015625,0.28515625,0.28984375,0.285546875
51.5,0.4375,0.65625,0.4296875,0.4375,0.2921875,0.28515625,0.284375,0.2828125
52.0,0.40625,0.46875,0.4296875,0.296875,0.2828125,0.337890625,0.27890625,0.280078125
52.5,0.53125,0.484375,0.515625,0.2734375,0.2734375,0.390625,0.2734375,0.27734375
53.0,0.34375,0.390625,0.42578125,0.37890625,0.26796875,0.3505859375,0.270703125,0.275390625
53.5,0.3125,0.421875,0.39453125,0.37109375,0.2625,0.310546875,0.26796875,0.2734375
54.0,0.296875,0.265625,0.3515625,0.36328125,0.25703125,0.4140625,0.265234375,0.271484375
54.5,0.3125,0.421875,0.33984375,0.3046875,0.2515625,0.390625,0.2625,0.26953125
55.0,0.25,0.25,0.359375,0.24609375,0.24609375,0.3544921875,0.259765625,0.267578125
55.5,0.34375,0.24609375,0.41015625,0.302734375,0.2421875,0.318359375,0.25625,0.267578125
56.0,0.2578125,0.23046875,0.23828125,0.359375,0.23828125,0.2822265625,0.252734375,0.267578125
56.5,0.234375,0.25390625,0.224609375,0.23828125,0.234375,0.24609375,0.24921875,0.267578125
57.0,0.21875,0.22265625,0.2109375,0.2591145833333333,0.23046875,0.2610677083333333,0.245703125,0.267578125
57.5,0.2109375,0.22265625,0.20703125,0.2799479166666667,0.2265625,0.2760416666666667,0.2421875,0.267578125
58.0,0.203125,0.26171875,0.2109375,0.30078125,0.22265625,0.291015625,0.246484375,0.2625
58.5,0.21484375,0.21875,0.2109375,0.30078125,0.21875,0.27734375,0.25078125,0.257421875
59.0,0.2265625,0.2690972222222222,0.2109375,0.30078125,0.21484375,0.27734375,0.255078125,0.25234375
59.5,0.2265625,0.3194444444444444,0.2109375,0.30078125,0.2109375,0.27734375,0.259375,0.247265625
60.0,0.2265625,0.3697916666666667,0.2109375,0.30078125,0.20703125,0.27734375,0.263671875,0.2421875
60.5,0.2265625,0.4201388888888889,0.2109375,0.30078125,0.32421875,0.27734375,0.26220703125,0.3134765625
61.0,0.2265625,0.4704861111111111,0.2109375,0.30078125,0.44140625,0.27734375,0.2607421875,0.384765625
62.0,0.2265625,0.5208333333333334,0.2109375,0.30078125,0.55859375,0.27734375,0.25927734375,0.4560546875
62.5,0.2265625,0.5711805555555556,0.2109375,0.30078125,0.67578125,0.27734375,0.2578125,0.52734375
63.0,0.2265625,0.6215277777777778,0.2109375,0.30078125,0.537109375,0.27734375,0.28515625,0.4423828125
65.0,0.2265625,0.671875,0.2109375,0.30078125,0.3984375,0.27734375,0.3125,0.357421875
70.0,0.2265625,0.671875,0.2109375,0.30078125,0.3984375,0.27734375,0.8984375,0.380859375
75.0,0.2265625,0.671875,0.2109375,0.30078125,0.3984375,0.27734375,0.8984375,0.380859375
80.0,0.2265625,0.671875,0.2109375,0.30078125,0.3984375,0.27734375,0.8984375,0.380859375
