strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-06-30,2021-09-17,2021-09-30
18.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,1.1484375
19.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,1.1484375
20.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,1.1484375
21.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,1.1484375
22.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,0.9453125
23.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,0.9166666666666666
24.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,0.8880208333333334
25.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,0.859375
26.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,0.822265625
27.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,0.78515625
28.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.9375,0.34375,1.046875,0.74609375
29.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,1.21875,0.34375,1.046875,0.73046875
30.0,0.28125,0.2890625,0.28515625,0.35546875,1.015625,0.328125,0.90234375,0.34375,1.046875,0.3984375
31.0,0.28125,0.2890625,0.28515625,0.35546875,1.0989583333333333,0.328125,1.1015625,0.34375,1.046875,0.640625
32.0,0.28125,0.2890625,0.28515625,0.35546875,1.1822916666666667,0.328125,0.578125,0.34375,1.046875,0.4609375
33.0,0.28125,0.2890625,0.28515625,0.35546875,1.265625,0.328125,0.78125,0.34375,0.765625,0.646484375
34.0,0.28125,0.2890625,0.28515625,0.35546875,1.28515625,0.328125,0.46875,0.34375,0.484375,0.4404296875
35.0,0.28125,0.2890625,0.28515625,0.35546875,0.640625,0.328125,0.671875,0.34375,0.375,0.234375
36.0,0.28125,0.2890625,0.28515625,0.35546875,1.09765625,0.328125,0.8046875,0.34375,0.2734375,0.564453125
37.0,0.28125,0.2890625,0.28515625,0.35546875,1.5546875,0.328125,0.64453125,0.34375,0.28125,0.2578125
38.0,0.28125,0.2890625,0.28515625,0.35546875,0.9296875,0.328125,0.484375,0.34375,0.3515625,0.44140625
