strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-06-30,2021-09-17,2021-09-30
18.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.75,0.33203125,0.515625,0.671875
19.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.75,0.33203125,0.515625,1.0390625
20.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.75,0.33203125,0.515625,0.625
21.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.75,0.33203125,0.515625,0.9453125
22.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.75,0.33203125,0.515625,0.546875
23.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.75,0.33203125,0.515625,0.546875
24.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.75,0.33203125,0.515625,0.65625
25.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.6875,0.33203125,0.515625,0.53125
26.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.625,0.33203125,0.515625,0.53125
27.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.640625,0.33203125,0.6015625,0.49609375
28.0,0.2734375,0.2890625,0.30078125,0.453125,0.8125,0.3671875,0.5625,0.33203125,0.5078125,0.46875
29.0,0.2734375,0.2890625,0.30078125,0.453125,0.875,0.3671875,0.5,0.33203125,0.4921875,0.453125
30.0,0.2734375,0.2890625,0.30078125,0.453125,0.71875,0.3671875,0.53125,0.33203125,0.4453125,0.40625
31.0,0.2734375,0.2890625,0.30078125,0.453125,0.65625,0.3671875,0.46875,0.33203125,0.4765625,0.46875
32.0,0.2734375,0.2890625,0.30078125,0.453125,0.625,0.3671875,0.46875,0.33203125,0.3984375,0.390625
33.0,0.2734375,0.2890625,0.30078125,0.453125,0.59375,0.3671875,0.40625,0.33203125,0.390625,0.3828125
34.0,0.2734375,0.2890625,0.30078125,0.453125,0.5625,0.3671875,0.46875,0.33203125,0.390625,0.44140625
35.0,0.2734375,0.2890625,0.30078125,0.453125,0.5625,0.3671875,0.421875,0.33203125,0.375,0.373046875
36.0,0.2734375,0.2890625,0.30078125,0.453125,0.53125,0.3671875,0.4140625,0.33203125,0.37109375,0.359375
37.0,0.2734375,0.2890625,0.30078125,0.453125,0.5,0.3671875,0.390625,0.33203125,0.34765625,0.369140625
38.0,0.2734375,0.2890625,0.30078125,0.453125,0.453125,0.3671875,0.3671875,0.33203125,0.33984375,0.3580729166666667
39.0,0.2734375,0.2890625,0.30078125,0.453125,0.4375,0.3671875,0.3515625,0.33203125,0.3359375,0.3470052083333333
40.0,0.2734375,0.2890625,0.30078125,0.453125,0.390625,0.3671875,0.3515625,0.33203125,0.333984375,0.3359375
41.0,0.2734375,0.2890625,0.30078125,0.453125,0.359375,0.3645833333333333,0.3359375,0.33203125,0.330078125,0.33984375
42.0,0.2734375,0.2890625,0.30078125,0.453125,0.3515625,0.3619791666666667,0.3046875,0.33203125,0.326171875,0.328125
42.5,0.2734375,0.2890625,0.30078125,0.453125,0.34375,0.359375,0.3036024305555556,0.3232421875,0.3212890625,0.3330078125
43.0,0.2734375,0.2890625,0.30078125,0.453125,0.3359375,0.3203125,0.3025173611111111,0.314453125,0.31640625,0.337890625
43.5,0.2734375,0.2890625,0.30078125,0.453125,0.330078125,0.3203125,0.3014322916666667,0.3134765625,0.318359375,0.3349609375
44.0,0.2734375,0.2890625,0.30078125,0.453125,0.32421875,0.31640625,0.3003472222222222,0.3125,0.3203125,0.33203125
44.5,0.2734375,0.2890625,0.30078125,0.453125,0.314453125,0.34375,0.2992621527777778,0.306640625,0.318359375,0.328125
45.0,0.2734375,0.2890625,0.30078125,0.30859375,0.3046875,0.3046875,0.2981770833333333,0.30078125,0.31640625,0.32421875
45.5,0.2734375,0.2890625,0.30078125,0.30078125,0.3046875,0.30078125,0.2970920138888889,0.302734375,0.3154296875,0.322265625
46.0,0.2734375,0.2890625,0.30078125,0.296875,0.3046875,0.30078125,0.2960069444444444,0.3046875,0.314453125,0.3203125
46.5,0.2734375,0.2890625,0.30078125,0.27734375,0.3017578125,0.296875,0.294921875,0.3095703125,0.3134765625,0.328125
47.0,0.2734375,0.2890625,0.2890625,0.29296875,0.298828125,0.296875,0.2938368055555556,0.314453125,0.3125,0.3359375
47.5,0.2734375,0.2890625,0.28515625,0.28515625,0.296142578125,0.2890625,0.2927517361111111,0.31640625,0.3115234375,0.33349609375
48.0,0.2578125,0.2890625,0.28515625,0.2890625,0.29345703125,0.28515625,0.2916666666666667,0.318359375,0.310546875,0.3310546875
48.5,0.2578125,0.2890625,0.3046875,0.29296875,0.290771484375,0.30078125,0.2905815972222222,0.31640625,0.3095703125,0.33056640625
49.0,0.2578125,0.2890625,0.2734375,0.27734375,0.2880859375,0.29296875,0.2894965277777778,0.314453125,0.30859375,0.330078125
49.5,0.296875,0.2890625,0.2734375,0.29296875,0.285400390625,0.279296875,0.2884114583333333,0.31640625,0.3076171875,0.3271484375
50.0,0.265625,0.2890625,0.296875,0.296875,0.28271484375,0.265625,0.2873263888888889,0.318359375,0.306640625,0.32421875
50.5,0.1875,0.2890625,0.2421875,0.1640625,0.280029296875,0.2747395833333333,0.2862413194444444,0.337890625,0.3056640625,0.3349609375
51.0,0.28125,0.2421875,0.21875,0.296875,0.27734375,0.2838541666666667,0.28515625,0.357421875,0.3046875,0.345703125
51.5,0.25,0.25,0.2578125,0.4296875,0.28125,0.29296875,0.2763671875,0.35986328125,0.3095703125,0.337890625
52.0,0.28125,0.25,0.2578125,0.416015625,0.28515625,0.2822265625,0.267578125,0.3623046875,0.314453125,0.330078125
52.5,0.359375,0.25,0.3515625,0.40234375,0.2919921875,0.271484375,0.267578125,0.36474609375,0.3037109375,0.36572265625
53.0,0.5,0.296875,0.44140625,0.388671875,0.298828125,0.2607421875,0.267578125,0.3671875,0.29296875,0.4013671875
53.5,0.640625,0.5546875,0.44140625,0.375,0.3056640625,0.25,0.2626953125,0.37890625,0.2734375,0.39111328125
54.0,0.75,0.609375,0.44140625,0.375,0.3125,0.2760416666666667,0.2578125,0.390625,0.25390625,0.380859375
54.5,0.859375,0.6640625,0.44140625,0.375,0.32421875,0.3020833333333333,0.267578125,0.349609375,0.3037109375,0.34521484375
55.0,0.96875,0.71875,0.44140625,0.375,0.3359375,0.328125,0.27734375,0.30859375,0.353515625,0.3095703125
55.5,0.96875,0.65625,0.44140625,0.375,0.34765625,0.3541666666666667,0.2890625,0.271484375,0.34765625,0.33056640625
56.0,0.96875,0.59375,0.44140625,0.375,0.359375,0.38020833333333337,0.30078125,0.234375,0.341796875,0.3515625
56.5,0.96875,0.59375,0.44140625,0.375,0.37109375,0.40625,0.3203125,0.28125,0.3095703125,0.3193359375
57.0,0.96875,0.59375,0.44140625,0.375,0.3828125,0.40625,0.33984375,0.328125,0.27734375,0.287109375
57.5,0.96875,0.59375,0.44140625,0.375,0.39453125,0.40625,0.359375,0.375,0.248046875,0.306640625
58.0,0.96875,0.59375,0.44140625,0.375,0.40625,0.40625,0.37890625,0.421875,0.21875,0.326171875
58.5,0.96875,0.59375,0.44140625,0.375,0.41796875,0.40625,0.3984375,0.42578125,0.2509765625,0.345703125
59.0,0.96875,0.59375,0.44140625,0.375,0.4296875,0.40625,0.41796875,0.4296875,0.283203125,0.365234375
59.5,0.96875,0.59375,0.44140625,0.375,0.44140625,0.40625,0.41183035714285715,0.43359375,0.3095703125,0.36328125
60.0,0.96875,0.59375,0.44140625,0.375,0.453125,0.40625,0.4056919642857143,0.4375,0.3359375,0.361328125
61.0,0.96875,0.59375,0.44140625,0.375,0.537109375,0.40625,0.39955357142857145,0.45859375,0.2734375,0.388671875
62.0,0.96875,0.59375,0.44140625,0.375,0.62109375,0.40625,0.39341517857142855,0.4796875,0.34765625,0.330078125
63.0,0.96875,0.59375,0.44140625,0.375,0.705078125,0.40625,0.3872767857142857,0.50078125,0.27734375,0.400390625
64.0,0.96875,0.59375,0.44140625,0.375,0.7890625,0.40625,0.38113839285714285,0.521875,0.26171875,0.3564453125
65.0,0.96875,0.59375,0.44140625,0.375,0.7779017857142857,0.40625,0.375,0.54296875,0.3125,0.3125
