,AAPL,APHA,BAC,C,DT,GE,HEXO,IWM,JPM,MS,MSFT,NXTD,PLUG,TD,TLRY,TSLA,UAMY,USB,UVXY,XLE,XLV
AAPL,1.0,0.12086994246503777,0.09587434134080138,0.11503825847251604,0.45481856712101953,-0.007291918275994877,0.1329751381683299,0.363541088298767,0.0797275265264606,0.20108152163766005,0.7113465479628985,0.17700021353653625,0.30981694847108976,0.19259351514423292,0.10671511217685963,0.5005815059977736,0.11136706824017607,0.06004817690226971,-0.47973581681613797,0.10341848076707551,0.4177568709222104
APHA,0.12086994246503777,1.0,0.19891545970891097,0.22329763132853472,0.15836357370045304,0.22015943038042013,0.6258274619043797,0.3347700260652841,0.2019541002565918,0.245204482074648,0.10831259402995116,0.10497067916678261,0.2690428038791866,0.21808677760929746,0.7758902724371286,0.24024275415727514,0.26628813928164846,0.1747852100861995,-0.22640173573361103,0.25893156131715334,0.201803907971538
BAC,0.09587434134080138,0.19891545970891097,1.0,0.8996088316934273,0.012975551469867876,0.6406180883552773,0.23324948331763293,0.7163608125231239,0.9331449282591293,0.8140707364204427,0.1240619265466565,0.0837123483571634,0.22551885147335804,0.778133641294662,0.20680206946129068,0.1243072821673151,0.03644332100670839,0.9208969168931053,-0.43077934401722556,0.7501938134547179,0.3911763504869088
C,0.11503825847251604,0.22329763132853472,0.8996088316934273,1.0,0.03965263881416333,0.6417804012698978,0.2556940543458667,0.7267461984462649,0.8672887884124513,0.8047474944869608,0.15451417306928028,0.1085368240083995,0.28396318708797846,0.8048515796478476,0.21037807013015927,0.13668613294877063,0.04340710041437674,0.8507040577409838,-0.4546070422210692,0.745221763463369,0.3651016204638054
DT,0.45481856712101953,0.15836357370045304,0.012975551469867876,0.03965263881416333,1.0,-0.11438851980998965,0.12551486847096957,0.3380146510098996,-0.0009185894046109861,0.10089324195724932,0.566827262373251,0.25380865903812233,0.30612305950610286,0.12314001764247719,0.152159810391624,0.3887687824224606,0.10802653348871061,0.005448018993248646,-0.4603726964552139,0.10248432445295505,0.36619472814764875
GE,-0.007291918275994877,0.22015943038042013,0.6406180883552773,0.6417804012698978,-0.11438851980998965,1.0,0.2830087594538822,0.577584527157613,0.6317409234580519,0.6352180335139249,-0.01628357136061205,0.08527386361356667,0.16412345803398953,0.5950234412531774,0.18019352853857376,0.05101219830792972,0.005927948631734775,0.6213203658521114,-0.3487519484183413,0.6314834390754689,0.29861526930118176
HEXO,0.1329751381683299,0.6258274619043797,0.23324948331763293,0.2556940543458667,0.12551486847096957,0.2830087594538822,1.0,0.3431713804013783,0.21706842766257073,0.23718830110393962,0.09400327956353632,0.1005182348357025,0.2463896212106134,0.2672333215879126,0.5969879719532198,0.14363943303895305,0.16675141854885953,0.21742131118009903,-0.23796604759352114,0.22950321739504595,0.1636882313719308
IWM,0.363541088298767,0.3347700260652841,0.7163608125231239,0.7267461984462649,0.3380146510098996,0.577584527157613,0.3431713804013783,1.0,0.6873658370526666,0.7181094471822819,0.3912455078237781,0.23421235145772315,0.4843320826319566,0.7416666377430138,0.28810875232206035,0.3837976340401293,0.13629532350949622,0.7035887249735119,-0.6737858014748236,0.7385985435340005,0.5965867858637576
JPM,0.0797275265264606,0.2019541002565918,0.9331449282591293,0.8672887884124513,-0.0009185894046109861,0.6317409234580519,0.21706842766257073,0.6873658370526666,1.0,0.8252700717100655,0.11683796610445801,0.06176016039222885,0.2450155442919888,0.7650000235017939,0.20346966271890488,0.11938733151253174,0.05381840941519254,0.9117962005993024,-0.4174814939798589,0.7325558291332764,0.4026242260452087
MS,0.20108152163766005,0.245204482074648,0.8140707364204427,0.8047474944869608,0.10089324195724932,0.6352180335139249,0.23718830110393962,0.7181094471822819,0.8252700717100655,1.0,0.19449131399309857,0.12254736498051394,0.26986110681802994,0.7658192129471191,0.20841000153292993,0.20689447381740622,0.04420399794995178,0.7839547542792964,-0.4683045284407216,0.6877901959334075,0.4303874686373375
