strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-07-16,2021-10-15
5.0,1.75,0.78125,1.171875,1.015625,0.90625,0.9375,0.859375,1.46875,0.96875
6.0,1.75,0.78125,1.171875,1.015625,0.90625,0.9375,0.859375,1.09375,0.96875
7.0,1.75,0.78125,1.171875,1.015625,0.90625,0.9375,0.859375,1.0,0.96875
8.0,1.75,0.78125,1.171875,1.015625,0.90625,0.9375,0.859375,0.96875,0.96875
9.0,1.75,0.78125,1.171875,1.015625,0.90625,0.9375,0.859375,0.8125,0.96875
10.0,1.75,0.78125,1.171875,1.015625,0.90625,0.9375,0.859375,0.875,0.96875
11.0,1.75,0.78125,1.171875,1.015625,0.90625,0.9375,0.890625,0.96875,0.96875
12.0,1.75,0.78125,1.171875,1.015625,0.875,0.9375,0.90625,0.9140625,0.96875
12.5,1.75,0.78125,1.171875,1.015625,0.87890625,1.0078125,0.84375,0.87109375,0.96875
13.0,1.75,0.78125,1.171875,1.015625,0.8828125,1.015625,0.78125,0.828125,0.96875
13.5,1.75,0.78125,1.171875,1.015625,0.92578125,0.9765625,0.8671875,0.8984375,1.005859375
14.0,1.75,0.78125,1.171875,1.015625,0.96875,1.203125,0.953125,0.96875,1.04296875
14.5,1.75,0.78125,1.171875,1.3125,1.0234375,0.984375,1.0,0.99609375,1.001953125
15.0,1.75,0.78125,1.171875,1.1328125,1.078125,1.046875,1.046875,1.0234375,0.9609375
15.5,1.75,0.78125,1.0,0.703125,1.0546875,1.1640625,1.046875,0.98828125,0.890625
16.0,1.75,1.1875,1.078125,1.28125,1.03125,1.21875,1.046875,0.953125,0.8203125
16.5,1.75,1.03125,0.703125,1.265625,1.078125,1.125,1.05078125,0.99609375,0.869140625
17.0,1.75,0.5,1.359375,1.25,1.125,1.1796875,1.0546875,1.0390625,0.91796875
17.5,1.75,1.375,1.5,1.421875,1.15625,1.234375,1.05859375,0.97265625,0.888671875
18.0,1.0,1.5625,1.40625,1.015625,1.1875,0.375,1.0625,0.90625,0.859375
18.5,1.0,1.75,1.5,1.421875,1.2265625,1.1953125,1.06640625,1.05078125,0.9140625
19.0,1.0,1.78125,1.40625,1.046875,1.265625,1.1953125,1.0703125,1.1953125,0.96875
19.5,1.0,1.78125,1.171875,0.7734375,1.3671875,1.1953125,1.07421875,1.15234375,1.033203125
20.0,1.0,1.78125,1.28125,0.5,1.46875,1.1953125,1.078125,1.109375,1.09765625
20.5,1.0,1.78125,1.28125,0.625,1.328125,1.1953125,1.078125,1.185546875,1.029296875
21.0,1.0,1.78125,1.28125,0.75,1.1875,1.1953125,1.078125,1.26171875,0.9609375
21.5,1.0,1.78125,1.28125,0.75,1.40625,1.1953125,1.078125,1.337890625,0.99609375
22.0,1.0,1.78125,1.28125,0.75,1.625,1.1953125,1.078125,1.4140625,1.03125
22.5,1.0,1.78125,1.28125,0.75,1.5703125,1.1953125,1.078125,1.33984375,0.765625
23.0,1.0,1.78125,1.28125,0.75,1.515625,1.1953125,1.078125,1.265625,0.5
23.5,1.0,1.78125,1.28125,0.75,1.5,1.1953125,1.078125,1.234375,0.61328125
24.0,1.0,1.78125,1.28125,0.75,1.484375,1.1953125,1.078125,1.203125,0.7265625
