strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-07-16,2021-09-17,2021-10-15
40.0,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.79296875,1.22265625,0.1953125,0.38671875
45.0,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.79296875,1.22265625,0.1953125,0.38671875
50.0,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.79296875,1.22265625,0.1953125,0.38671875
52.5,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.79296875,0.9619140625,0.1953125,0.38671875
55.0,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.79296875,0.701171875,0.1953125,0.38671875
57.5,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.79296875,0.755859375,0.1953125,0.38671875
60.0,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.79296875,0.6555989583333334,0.1953125,0.38671875
62.5,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.79296875,0.5553385416666666,0.1953125,0.3470052083333333
65.0,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.2890625,0.455078125,0.1953125,0.3072916666666667
67.5,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.296875,0.23046875,0.1953125,0.267578125
70.0,0.34375,0.25,0.5703125,0.125,0.2734375,0.26171875,0.25,0.26953125,0.1953125,0.162109375
71.0,0.34375,0.25,0.5013020833333334,0.125,0.2662760416666667,0.26171875,0.1875,0.2646484375,0.18229166666666666,0.193359375
72.0,0.34375,0.25,0.43229166666666663,0.26106770833333337,0.2591145833333333,0.26171875,0.125,0.259765625,0.16927083333333334,0.224609375
72.5,0.34375,0.25,0.36328125,0.3971354166666667,0.251953125,0.26171875,0.0625,0.2548828125,0.15625,0.255859375
73.0,0.34375,0.25,0.2942708333333333,0.533203125,0.24479166666666666,0.26171875,0.12434895833333334,0.25,0.18912760416666666,0.23665364583333334
74.0,0.34375,0.25,0.22526041666666663,0.45751953125,0.23763020833333334,0.375,0.18619791666666669,0.2451171875,0.22200520833333331,0.21744791666666666
75.0,0.34375,0.25,0.15625,0.3818359375,0.23046875,0.25,0.248046875,0.240234375,0.2548828125,0.1982421875
76.0,0.34375,0.25,0.201171875,0.30615234375,0.22916666666666666,0.361328125,0.24348958333333334,0.24267578125,0.2535807291666667,0.21826171875
77.0,0.34375,0.25,0.24609375,0.23046875,0.22786458333333334,0.173828125,0.23893229166666666,0.2451171875,0.2522786458333333,0.23828125
77.5,0.2890625,0.2421875,0.232421875,0.23828125,0.2265625,0.2041015625,0.234375,0.24755859375,0.2509765625,0.25830078125
78.0,0.234375,0.234375,0.21875,0.24609375,0.232421875,0.234375,0.23860677083333334,0.25,0.2522786458333333,0.2613932291666667
79.0,0.28515625,0.2265625,0.2265625,0.23046875,0.23828125,0.236328125,0.24283854166666666,0.25244140625,0.2535807291666667,0.2644856770833333
80.0,0.296875,0.24609375,0.2421875,0.234375,0.244140625,0.234375,0.2470703125,0.2548828125,0.2548828125,0.267578125
81.0,0.28515625,0.248046875,0.25,0.228515625,0.24283854166666666,0.234375,0.24609375,0.25634765625,0.2529296875,0.2643229166666667
82.0,0.2890625,0.25390625,0.251953125,0.244140625,0.24153645833333334,0.234375,0.2451171875,0.2578125,0.2509765625,0.2610677083333333
82.5,0.296875,0.255859375,0.2470703125,0.2431640625,0.240234375,0.2236328125,0.244140625,0.25927734375,0.2490234375,0.2578125
83.0,0.3046875,0.2578125,0.2421875,0.2421875,0.24088541666666666,0.212890625,0.24479166666666666,0.2607421875,0.2516276041666667,0.2568359375
84.0,0.328125,0.265625,0.25390625,0.2578125,0.24153645833333334,0.244140625,0.24544270833333334,0.26220703125,0.2542317708333333,0.255859375
85.0,0.34375,0.26953125,0.2578125,0.265625,0.2421875,0.2421875,0.24609375,0.263671875,0.2568359375,0.2548828125
86.0,0.390625,0.28125,0.25,0.26171875,0.24609375,0.244140625,0.25,0.2649739583333333,0.2568359375,0.2550455729166667
87.0,0.4375,0.296875,0.28125,0.2552083333333333,0.25,0.25,0.25390625,0.2662760416666667,0.2568359375,0.2552083333333333
87.5,0.453125,0.296875,0.27734375,0.24869791666666666,0.25390625,0.255859375,0.2578125,0.267578125,0.2568359375,0.25537109375
88.0,0.46875,0.296875,0.2734375,0.2421875,0.2578125,0.26171875,0.2565104166666667,0.2688802083333333,0.2561848958333333,0.2555338541666667
89.0,0.5,0.3125,0.29296875,0.25,0.26171875,0.267578125,0.2552083333333333,0.2701822916666667,0.2555338541666667,0.2556966145833333
90.0,0.5,0.34375,0.3125,0.2578125,0.265625,0.27734375,0.25390625,0.271484375,0.2548828125,0.255859375
91.0,0.5,0.34375,0.371875,0.2578125,0.2604166666666667,0.2998046875,0.2587890625,0.2724609375,0.255126953125,0.25732421875
92.0,0.625,0.69921875,0.43125,0.2578125,0.2552083333333333,0.322265625,0.263671875,0.2734375,0.25537109375,0.2587890625
92.5,0.65625,0.599609375,0.490625,0.2578125,0.25,0.3447265625,0.2685546875,0.2744140625,0.255615234375,0.26025390625
