strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-07-16,2021-10-15
5.0,1.375,1.125,1.0,0.9375,0.890625,0.875,1.46875,1.78125,1.234375
6.0,1.375,1.125,1.0,0.9375,0.890625,0.875,1.36875,1.90625,1.234375
7.0,1.375,1.125,1.0,0.9375,0.890625,0.875,1.26875,1.296875,1.234375
8.0,1.375,1.125,1.0,0.9375,0.890625,0.875,1.16875,0.84375,1.234375
9.0,1.375,1.125,1.0,0.9375,0.890625,0.875,1.06875,0.859375,1.234375
10.0,1.375,1.125,1.0,0.9375,0.890625,0.875,0.96875,0.90625,1.234375
11.0,1.375,1.125,1.0,0.9375,0.890625,0.875,1.34375,0.8359375,1.234375
12.0,1.375,1.125,1.0,0.9375,0.921875,0.875,1.046875,0.8359375,0.89453125
12.5,1.375,1.125,1.0,0.9375,0.90625,0.875,0.9609375,0.87890625,0.904296875
13.0,1.375,1.125,1.0,0.9375,0.890625,0.921875,0.875,0.921875,0.9140625
13.5,1.375,1.125,1.0,0.9375,0.9140625,0.921875,0.8984375,0.921875,0.904296875
14.0,1.375,1.125,1.0,0.9375,0.9375,0.921875,0.921875,0.921875,0.89453125
14.5,1.375,1.125,1.0,0.921875,0.9609375,0.96875,0.93359375,0.92578125,0.900390625
15.0,1.375,1.125,1.0,0.921875,0.984375,1.0,0.9453125,0.9296875,0.90625
15.5,1.375,1.125,1.078125,1.015625,1.015625,0.96875,0.96484375,0.9375,0.92578125
16.0,1.375,1.125,1.078125,1.09375,1.046875,1.0078125,0.984375,0.9453125,0.9453125
16.5,1.5,1.1875,1.0625,1.015625,1.0390625,1.0078125,0.99609375,0.953125,0.94921875
17.0,1.5,1.21875,1.15625,1.1875,1.03125,1.015625,1.0078125,0.9609375,0.953125
17.5,1.75,1.34375,1.4375,1.328125,1.1015625,1.234375,1.01171875,0.97265625,0.921875
18.0,1.75,1.3125,1.25,1.375,1.171875,1.265625,1.015625,0.984375,0.890625
18.5,1.375,1.3125,1.3125,1.40625,1.140625,1.140625,1.0546875,0.99609375,0.916015625
19.0,1.0,1.375,1.375,1.25,1.109375,1.21875,1.09375,1.0078125,0.94140625
19.5,1.0,1.5625,1.34375,1.1875,1.1484375,1.375,1.0859375,1.01953125,0.982421875
20.0,1.0,1.5625,1.375,1.328125,1.1875,1.171875,1.078125,1.03125,1.0234375
20.5,1.0,1.625,1.5,1.34375,1.234375,1.28125,1.0953125,1.0859375,1.005859375
21.0,1.0,1.6875,1.3125,1.53125,1.28125,1.34375,1.1125,1.140625,0.98828125
21.5,1.0,1.625,1.78125,1.3125,1.3125,1.453125,1.1296875,1.10546875,1.029296875
22.0,1.0,1.625,1.5625,1.3125,1.34375,1.25,1.146875,1.0703125,1.0703125
22.5,1.0,1.875,1.8125,1.5625,1.328125,1.25,1.1640625,1.078125,1.01171875
23.0,1.0,1.875,1.8125,1.8125,1.3125,1.25,1.18125,1.0859375,0.953125
