strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
7.0,1.5,1.21875,1.5,1.0625,1.359375,1.953125,1.21875,0.9921875
8.0,1.5,1.21875,1.5,1.0625,1.359375,1.953125,1.03125,0.9921875
9.0,1.5,1.21875,1.5,1.0625,1.359375,1.953125,1.90625,0.9921875
10.0,1.5,1.21875,1.3046875,1.0625,1.359375,1.953125,1.125,0.7734375
11.0,1.5,1.21875,1.109375,1.0625,1.359375,1.953125,0.90625,1.140625
12.0,1.5,1.21875,0.9140625,1.0625,1.359375,1.3125,0.875,1.1328125
13.0,1.5,1.21875,0.71875,1.125,1.359375,1.7109375,0.953125,0.984375
13.5,1.4375,1.21875,0.8828125,0.9765625,1.359375,1.62109375,0.98828125,1.11328125
14.0,1.375,1.21875,1.046875,0.828125,1.359375,1.53125,1.0234375,1.2421875
14.5,1.390625,1.140625,1.03125,0.9010416666666666,1.359375,1.0,1.01953125,1.072265625
15.0,1.40625,1.0625,1.015625,0.9739583333333334,1.359375,1.015625,1.015625,0.90234375
15.5,1.375,1.1015625,1.03125,1.046875,1.359375,1.0625,1.03125,0.931640625
16.0,1.34375,1.140625,1.046875,1.1015625,1.359375,1.03125,1.046875,0.9609375
16.5,1.359375,1.140625,1.0625,1.1015625,1.359375,1.03125,1.03125,0.947265625
17.0,1.375,1.140625,1.109375,1.125,1.359375,1.0625,1.015625,0.93359375
17.5,1.4375,1.21875,1.109375,1.03125,1.359375,1.125,1.04296875,0.939453125
18.0,1.5,1.21875,1.171875,1.125,1.359375,1.1484375,1.0703125,0.9453125
18.5,1.5625,1.1875,1.125,1.203125,1.359375,1.296875,1.0703125,0.94921875
19.0,1.625,1.265625,1.140625,1.203125,1.359375,1.09375,1.0703125,0.953125
19.5,1.75,1.3125,1.171875,1.25,1.359375,1.140625,1.09375,0.970703125
20.0,1.75,1.3125,1.1875,1.25,1.359375,1.125,1.1171875,0.98828125
20.5,1.875,1.3125,1.203125,1.203125,1.359375,1.203125,1.10546875,1.001953125
21.0,1.875,1.375,1.1875,1.28125,1.359375,1.171875,1.09375,1.015625
21.5,1.9375,1.4375,1.234375,1.3125,1.359375,1.2578125,1.125,1.0234375
22.0,1.90625,1.46875,1.25,1.3125,1.359375,1.30078125,1.15625,1.03125
22.5,1.875,1.4375,1.3125,1.5625,1.359375,1.34375,1.1640625,1.03515625
23.0,1.875,1.5,1.328125,1.3125,1.359375,1.25,1.171875,1.0390625
23.5,1.875,1.53125,1.3125,1.359375,1.359375,1.25,1.16796875,1.033203125
24.0,1.875,1.625,1.375,1.375,1.359375,1.265625,1.1640625,1.02734375
24.5,1.875,1.625,1.375,1.5625,1.359375,1.265625,1.203125,1.041015625
25.0,1.875,1.625,1.40625,1.421875,1.359375,1.296875,1.2421875,1.0546875
25.5,1.875,1.675,1.375,1.625,1.359375,1.40625,1.2265625,1.0546875
26.0,1.875,1.725,1.40625,1.484375,1.359375,1.359375,1.2109375,1.0546875
26.5,1.875,1.775,1.4375,1.65625,1.375,1.359375,1.22265625,1.064453125
27.0,1.875,1.825,1.46875,1.53125,1.390625,1.578125,1.234375,1.07421875
27.5,1.875,1.875,1.5625,1.71875,1.4140625,1.5546875,1.24609375,1.087109375
28.0,1.875,1.875,1.8125,1.59375,1.4375,1.53125,1.2578125,1.1
28.5,1.875,1.875,1.84375,1.625,1.453125,1.52734375,1.26953125,1.112890625
29.0,1.875,1.875,1.8125,1.5625,1.46875,1.5234375,1.28125,1.12578125
29.5,1.875,1.875,1.625,1.8125,1.46875,1.50390625,1.29296875,1.138671875
30.0,1.875,1.9375,1.625,1.7395833333333333,1.46875,1.484375,1.3046875,1.1515625
30.5,1.875,1.9375,1.625,1.6666666666666667,1.546875,1.515625,1.31640625,1.164453125
31.0,1.875,1.9375,1.625,1.59375,1.625,1.546875,1.328125,1.17734375
31.5,1.875,1.9375,1.625,1.78125,1.578125,1.5078125,1.33984375,1.190234375
32.0,1.875,1.9375,1.625,1.96875,1.53125,1.46875,1.3515625,1.203125
32.5,1.875,1.9375,1.625,1.921875,1.578125,1.578125,1.36328125,1.21875
33.0,1.875,1.9375,1.625,1.875,1.625,1.6875,1.375,1.234375
34.0,1.875,1.9375,1.6875,1.6875,1.59375,1.8203125,1.421875,1.171875
35.0,1.875,1.9375,1.75,1.75,1.625,1.625,1.40625,1.1484375
36.0,1.875,1.9375,1.9375,1.796875,1.65625,1.6875,1.515625,1.25
37.0,1.875,1.9375,1.90625,1.84375,1.671875,1.6796875,1.578125,1.2109375
38.0,1.875,1.9375,1.875,1.875,1.59375,1.671875,1.40625,1.171875
39.0,1.875,1.9375,1.875,1.875,1.90625,1.671875,1.453125,1.31640625
40.0,1.875,1.9375,1.875,1.875,1.6875,1.671875,1.4375,1.19921875
41.0,1.875,1.9375,1.875,1.875,1.71875,1.671875,1.46875,1.2890625
42.0,1.875,1.9375,1.875,1.875,1.8515625,1.671875,1.5625,1.3671875
43.0,1.875,1.9375,1.875,1.875,1.984375,1.671875,1.5,1.375
44.0,1.875,1.9375,1.875,1.875,1.875,1.671875,1.53125,1.2890625
45.0,1.875,1.9375,1.875,1.875,1.75,1.671875,1.515625,1.26171875
46.0,1.875,1.9375,1.875,1.875,1.75,1.671875,1.640625,1.2578125
47.0,1.875,1.9375,1.875,1.875,1.75,1.671875,1.625,1.26953125
48.0,1.875,1.9375,1.875,1.875,1.75,1.671875,1.671875,1.265625
49.0,1.875,1.9375,1.875,1.875,1.75,1.671875,1.625,1.3671875
50.0,1.875,1.9375,1.875,1.875,1.75,1.671875,1.59375,1.2890625
55.0,1.875,1.9375,1.875,1.875,1.75,1.671875,1.65625,1.296875
60.0,1.875,1.9375,1.875,1.875,1.75,1.671875,1.6875,1.375
