,AAPL,APHA,BAC,C,DT,GE,HEXO,IWM,JPM,MS,MSFT,NXTD,PLUG,TD,TLRY,TSLA,UAMY,USB,UVXY,XLE,XLV
AAPL,0.12504139902383046,0.043432432509098874,0.014704220592725402,0.020943480756478627,0.08873964326647354,-0.0005457093867570777,0.054714008389531374,0.037143394592801866,0.01083544537490501,0.025964982950077972,0.07200987487796315,0.11150200143036341,0.11217767735731045,0.019190396690651142,0.05641856985069326,0.13159907804987028,0.05960237374660975,0.010541763859048717,-0.17975205831916524,0.017466899171043947,0.025412831199227142
APHA,0.043432432509098874,1.0164350138389011,0.08190559802710377,0.10797727964628308,0.09235103114404526,0.10902825041311703,0.721528963843602,0.09646185308654671,0.07211576741144064,0.0912067903985713,0.030321510500172028,0.19360974454538038,0.2761374195143347,0.059889270744070466,1.1198056137714203,0.17818507893031282,0.40462399027308976,0.07668465754006502,-0.23858243270784907,0.11579252848227609,0.03390153572735306
BAC,0.014704220592725402,0.08190559802710377,0.15738217432047896,0.16419723660864,0.005938347230049814,0.11950048719020748,0.10849479065301866,0.07918788819761362,0.12683353019889929,0.11756498750326731,0.013183815847836467,0.06045200698722712,0.09338077651781122,0.08184479626142024,0.12213332621662686,0.03654260766224893,0.027345752929408385,0.1527551195740247,-0.17847682157322417,0.12615190401587123,0.025131318271032346
C,0.020943480756478627,0.10797727964628308,0.16419723660864,0.21372899995888026,0.013727533488092096,0.1393452233370813,0.13921528342340836,0.0937864796772897,0.13658016180443022,0.13617718027366627,0.019723825191356008,0.09125019398719417,0.1388380054225235,0.09880554440983877,0.14500848838515173,0.047500217791311264,0.037554250353090034,0.16342178605918928,-0.22215854064271465,0.14551858683007793,0.02710390244442465
DT,0.08873964326647354,0.09235103114404526,0.005938347230049814,0.013727533488092096,0.2959638728859551,-0.0268409692966246,0.081160774836638,0.054005239767670465,0.002795872387419575,0.021946801318518994,0.08926312637198577,0.24669201721591344,0.17355289474924895,0.019402880400789076,0.12095108373073504,0.15814647320106923,0.09034035311242736,0.0040687750069134075,-0.27494136553245585,0.027565150557204505,0.03423877821432389
GE,-0.0005457093867570777,0.10902825041311703,0.11950048719020748,0.1393452233370813,-0.0268409692966246,0.23191649006768789,0.1590756233946,0.07676418524974862,0.10148089169819949,0.1108258172595922,-0.0039845776407396215,0.0742145374236932,0.08150566281695071,0.0751129438857594,0.12954769289559562,0.017229570963150576,0.010230860324715582,0.12237918860626744,-0.17202899246843795,0.12762789784689826,0.02279864215439823
HEXO,0.054714008389531374,0.721528963843602,0.10849479065301866,0.13921528342340836,0.081160774836638,0.1590756233946,1.2972760280762454,0.1114608614770201,0.08806125143348296,0.09940058958821538,0.030548301579853786,0.20662725284204148,0.287519304866915,0.08247888818078641,0.9723227997595977,0.12084674964544415,0.286566285291469,0.10706734160463094,-0.28965587533081627,0.11603706643729425,0.03131778526535979
IWM,0.037143394592801866,0.09646185308654671,0.07918788819761362,0.0937864796772897,0.054005239767670465,0.07676418524974862,0.1114608614770201,0.07918526752651613,0.06582725430566112,0.07273063398011384,0.031440045186197946,0.11798319753655102,0.14225543960116144,0.05538644802474672,0.11797193287997466,0.08110183384749425,0.061365915182537825,0.08220503018902386,-0.2019124306376163,0.08875736979030159,0.02794823041106038
JPM,0.01083544537490501,0.07211576741144064,0.12683353019889929,0.13658016180443022,0.002795872387419575,0.10148089169819949,0.08806125143348296,0.06582725430566112,0.11810558958730773,0.10387042374647092,0.010593122004280952,0.038946086841601446,0.08908838500822722,0.06979881200842358,0.10506800266148333,0.0307136314783941,0.033853943137625804,0.13091706517729204,-0.1497109857335845,0.10612595176820226,0.022394351492209502
MS,0.025964982950077972,0.0912067903985713,0.11756498750326731,0.13617718027366627,0.021946801318518994,0.1108258172595922,0.09940058958821538,0.07273063398011384,0.10387042374647092,0.12991176275780253,0.01945208441473226,0.0796919321153389,0.09806245405362979,0.07386844188866278,0.11074607340993353,0.05422188347435006,0.026043839983452135,0.12003311647608209,-0.17635371545510184,0.10799497273657098,0.025832991227900993
