strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-07-16,2021-08-20,2021-09-17
27.0,0.25,0.25,0.2421875,0.0625,0.28125,0.19921875,0.2421875,0.28125,0.26953125,0.24609375
28.0,0.25,0.25,0.2421875,0.0625,0.28125,0.19921875,0.2421875,0.28125,0.26953125,0.24609375
29.0,0.25,0.25,0.2421875,0.0625,0.28125,0.19921875,0.2421875,0.28125,0.26953125,0.24609375
30.0,0.25,0.25,0.2421875,0.0625,0.28125,0.19921875,0.2421875,0.28125,0.26953125,0.24609375
31.0,0.25,0.25,0.2421875,0.0625,0.28125,0.19921875,0.2421875,0.28125,0.26953125,0.24609375
32.0,0.25,0.25,0.2421875,0.0625,0.28125,0.19921875,0.2421875,0.28125,0.26953125,0.24609375
33.0,0.25,0.25,0.2421875,0.0625,0.28125,0.19921875,0.2421875,0.28125,0.26953125,0.30078125
34.0,0.25,0.25,0.2421875,0.0625,0.28125,0.19921875,0.2421875,0.20703125,0.1875,0.140625
35.0,0.25,0.25,0.2421875,0.0625,0.265625,0.19921875,0.265625,0.24609375,0.26171875,0.18359375
36.0,0.25,0.25,0.2421875,0.0625,0.265625,0.19921875,0.25390625,0.26953125,0.2578125,0.24609375
36.5,0.25,0.25,0.2421875,0.0625,0.2578125,0.19921875,0.25390625,0.2646484375,0.2568359375,0.2490234375
37.0,0.25,0.25,0.2421875,0.0625,0.25,0.19921875,0.25390625,0.259765625,0.255859375,0.251953125
37.5,0.25,0.25,0.2421875,0.2109375,0.251953125,0.265625,0.251953125,0.259765625,0.255859375,0.255859375
38.0,0.25,0.25,0.265625,0.25,0.25390625,0.25390625,0.25,0.259765625,0.255859375,0.259765625
38.5,0.25,0.2421875,0.2578125,0.25,0.251953125,0.2578125,0.2509765625,0.2548828125,0.255859375,0.2578125
39.0,0.265625,0.25,0.265625,0.25,0.25,0.25390625,0.251953125,0.25,0.255859375,0.255859375
39.5,0.296875,0.25,0.25390625,0.25390625,0.25390625,0.25390625,0.25,0.251953125,0.2548828125,0.25390625
40.0,0.3125,0.265625,0.2578125,0.2578125,0.2578125,0.25390625,0.248046875,0.25390625,0.25390625,0.251953125
40.5,0.375,0.265625,0.265625,0.2578125,0.2578125,0.25,0.2490234375,0.25390625,0.2490234375,0.25
41.0,0.4375,0.28125,0.2734375,0.265625,0.2578125,0.2578125,0.25,0.25390625,0.244140625,0.248046875
41.5,0.5,0.28125,0.2734375,0.265625,0.26171875,0.25,0.25,0.25390625,0.2490234375,0.25390625
42.0,0.5,0.28125,0.28125,0.265625,0.265625,0.265625,0.25,0.25390625,0.25390625,0.259765625
42.5,0.5,0.3125,0.28125,0.2734375,0.265625,0.26171875,0.25390625,0.2578125,0.2529296875,0.2548828125
43.0,0.5,0.375,0.28125,0.265625,0.265625,0.265625,0.2578125,0.26171875,0.251953125,0.25
43.5,0.75,0.40625,0.3125,0.296875,0.2734375,0.2734375,0.255859375,0.26171875,0.2568359375,0.25390625
44.0,0.5,0.375,0.3125,0.296875,0.28125,0.265625,0.25390625,0.26171875,0.26171875,0.2578125
44.5,0.5,0.25,0.3125,0.328125,0.2890625,0.3828125,0.259765625,0.2578125,0.259765625,0.255859375
45.0,0.5,0.25,0.25,0.375,0.296875,0.265625,0.265625,0.25390625,0.2578125,0.25390625
45.5,0.8125,0.375,0.3125,0.40625,0.3046875,0.328125,0.265625,0.26171875,0.255859375,0.25390625
46.0,1.125,0.5,0.375,0.4375,0.3125,0.390625,0.265625,0.26953125,0.25390625,0.25390625
47.0,1.0,0.5,0.5,0.4375,0.3125,0.3125,0.28125,0.2890625,0.26171875,0.255859375
48.0,1.25,0.625,0.5,0.4375,0.375,0.2916666666666667,0.3046875,0.265625,0.2578125,0.2578125
49.0,1.625,0.625,0.5,0.4375,0.375,0.2708333333333333,0.28125,0.28125,0.3125,0.2578125
50.0,1.5,0.5,0.5,0.4375,0.25,0.25,0.296875,0.28125,0.265625,0.265625
55.0,1.5,0.5,0.5,0.4375,0.5,0.25,0.25,0.3125,0.2890625,0.28125
56.0,1.5,0.5,0.5,0.4375,0.5,0.25,0.25,0.3125,0.2890625,0.28125
57.0,1.5,0.5,0.5,0.4375,0.5,0.25,0.25,0.3125,0.2890625,0.28125
