strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-07-16,2021-09-17
35.0,0.234375,0.2578125,0.2265625,0.23046875,1.75390625,0.203125,0.90625,0.78125,0.521484375
40.0,0.234375,0.2578125,0.2265625,0.23046875,1.75390625,0.203125,0.90625,0.78125,0.521484375
42.5,0.234375,0.2578125,0.2265625,0.23046875,1.75390625,0.203125,0.90625,0.78125,0.521484375
45.0,0.234375,0.2578125,0.2265625,0.23046875,1.75390625,0.203125,0.90625,0.78125,0.521484375
47.5,0.234375,0.2578125,0.2265625,0.23046875,1.54296875,0.203125,0.90625,0.78125,0.521484375
50.0,0.234375,0.2578125,0.2265625,0.23046875,1.33203125,0.203125,0.8326822916666666,0.66796875,0.521484375
52.5,0.234375,0.2578125,0.2265625,0.23046875,1.12109375,0.203125,0.7591145833333334,0.6419270833333334,0.521484375
55.0,0.234375,0.2578125,0.2265625,0.23046875,0.91015625,0.203125,0.685546875,0.6158854166666666,0.21875
57.5,0.234375,0.2578125,0.2265625,0.23046875,0.7897135416666666,0.203125,0.6119791666666667,0.58984375,0.171875
58.0,0.234375,0.2578125,0.2265625,0.23046875,0.6692708333333334,0.203125,0.5384114583333334,0.46875,0.197265625
59.0,0.234375,0.2578125,0.2265625,0.23046875,0.548828125,0.203125,0.46484375,0.34765625,0.22265625
60.0,0.234375,0.2578125,0.2265625,0.23046875,0.4283854166666667,0.203125,0.39127604166666674,0.2265625,0.248046875
62.0,0.234375,0.2578125,0.2265625,0.23046875,0.30794270833333337,0.203125,0.31770833333333337,0.228515625,0.205078125
62.5,0.234375,0.2578125,0.2265625,0.23046875,0.1875,0.203125,0.244140625,0.23046875,0.162109375
63.0,0.234375,0.2578125,0.2265625,0.23046875,0.19921875,0.203125,0.2421875,0.23502604166666666,0.19303385416666666
64.0,0.234375,0.2578125,0.2265625,0.23046875,0.2109375,0.203125,0.240234375,0.23958333333333334,0.22395833333333334
65.0,0.234375,0.2578125,0.2265625,0.23046875,0.22265625,0.203125,0.23828125,0.244140625,0.2548828125
65.5,0.234375,0.2578125,0.2265625,0.23046875,0.21640625,0.203125,0.238671875,0.24765625,0.2537109375
66.0,0.234375,0.2578125,0.2265625,0.23046875,0.21015625,0.203125,0.2390625,0.251171875,0.2525390625
66.5,0.234375,0.2578125,0.2265625,0.23046875,0.20390625,0.203125,0.239453125,0.2546875,0.2513671875
67.0,0.234375,0.2578125,0.2265625,0.23046875,0.19765625,0.203125,0.23984375,0.258203125,0.2501953125
67.5,0.234375,0.2578125,0.2265625,0.23046875,0.19140625,0.203125,0.240234375,0.26171875,0.2490234375
68.0,0.234375,0.2578125,0.2265625,0.23046875,0.198828125,0.203125,0.24140625,0.26171875,0.2509765625
68.5,0.234375,0.2578125,0.2265625,0.23046875,0.20625,0.203125,0.242578125,0.26171875,0.2529296875
69.0,0.234375,0.2578125,0.2265625,0.23046875,0.213671875,0.203125,0.24375,0.26171875,0.2548828125
69.5,0.234375,0.2578125,0.2265625,0.23046875,0.22109375,0.203125,0.244921875,0.26171875,0.2568359375
70.0,0.2578125,0.2578125,0.2265625,0.23046875,0.228515625,0.203125,0.24609375,0.26171875,0.2587890625
70.5,0.25,0.2578125,0.2265625,0.23046875,0.23125,0.203125,0.246875,0.261328125,0.258203125
71.0,0.25,0.2578125,0.232421875,0.23046875,0.233984375,0.2109375,0.24765625,0.2609375,0.2576171875
71.5,0.28125,0.2578125,0.234375,0.23046875,0.23671875,0.234375,0.2484375,0.260546875,0.25703125
72.0,0.265625,0.2578125,0.2421875,0.2421875,0.239453125,0.240234375,0.24921875,0.26015625,0.2564453125
72.5,0.296875,0.2578125,0.23828125,0.20703125,0.2421875,0.24609375,0.25,0.259765625,0.255859375
73.0,0.3125,0.2578125,0.25,0.244140625,0.24453125,0.248046875,0.2515625,0.260546875,0.25703125
73.5,0.34375,0.265625,0.25,0.248046875,0.246875,0.248046875,0.253125,0.261328125,0.258203125
74.0,0.375,0.265625,0.25390625,0.25,0.24921875,0.240234375,0.2546875,0.262109375,0.259375
74.5,0.4375,0.265625,0.25,0.24609375,0.2515625,0.2265625,0.25625,0.262890625,0.260546875
75.0,0.375,0.28125,0.2578125,0.2578125,0.25390625,0.25,0.2578125,0.263671875,0.26171875
75.5,0.4375,0.28125,0.265625,0.26171875,0.25625,0.25,0.259765625,0.264453125,0.262109375
76.0,0.25,0.28125,0.2734375,0.25390625,0.25859375,0.24609375,0.26171875,0.265234375,0.2625
76.5,0.375,0.296875,0.28125,0.265625,0.2609375,0.25390625,0.263671875,0.266015625,0.262890625
77.0,0.5,0.28125,0.265625,0.265625,0.26328125,0.26171875,0.265625,0.266796875,0.26328125
77.5,0.5,0.328125,0.2734375,0.27734375,0.265625,0.2578125,0.267578125,0.267578125,0.263671875
78.0,0.5,0.34375,0.28125,0.2890625,0.26953125,0.265625,0.26806640625,0.2705078125,0.263671875
78.5,0.5,0.34375,0.3125,0.3359375,0.2734375,0.26953125,0.2685546875,0.2734375,0.263671875
79.0,0.5,0.3125,0.34375,0.2734375,0.27734375,0.31640625,0.26904296875,0.2763671875,0.263671875
80.0,0.5,0.375,0.3125,0.34375,0.28125,0.28515625,0.26953125,0.279296875,0.263671875
81.0,0.5,0.375,0.34765625,0.36328125,0.2864583333333333,0.3014322916666667,0.2721354166666667,0.2799479166666667,0.2662760416666667
82.0,0.875,0.40625,0.3828125,0.3828125,0.2916666666666667,0.3177083333333333,0.2747395833333333,0.2805989583333333,0.2688802083333333
82.5,0.96875,0.4375,0.41796875,0.40234375,0.296875,0.333984375,0.27734375,0.28125,0.271484375
83.0,1.0625,0.46875,0.453125,0.421875,0.3020833333333333,0.3502604166666667,0.28125,0.28515625,0.2711588541666667
84.0,1.1875,0.5,0.48828125,0.44140625,0.3072916666666667,0.36653645833333337,0.28515625,0.2890625,0.2708333333333333
85.0,1.3125,0.53125,0.5234375,0.4609375,0.3125,0.3828125,0.2890625,0.29296875,0.2705078125
86.0,1.25,0.515625,0.52734375,0.49609375,0.34375,0.3828125,0.30078125,0.298828125,0.27783203125
90.0,1.5,0.5,0.53125,0.53125,0.375,0.3828125,0.3125,0.3046875,0.28515625
95.0,1.0,0.75,0.625,0.5,0.25,0.3828125,0.34375,0.3203125,0.28515625
100.0,1.875,0.875,0.625,0.5,0.5625,0.3828125,0.375,0.3359375,0.3046875
105.0,1.875,0.875,0.625,0.5,0.5,0.3828125,0.375,0.375,0.3125
110.0,1.875,0.875,0.625,0.5,0.5,0.3828125,0.375,0.25,0.3203125
