strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-07-16,2021-09-17
35.0,1.875,0.37109375,0.3984375,0.328125,0.8125,0.3046875,0.53125,0.625,0.40234375
40.0,1.875,0.37109375,0.3984375,0.328125,0.8125,0.3046875,0.53125,0.6796875,0.40234375
42.5,1.875,0.37109375,0.3984375,0.328125,0.859375,0.3046875,0.53125,0.59375,0.40234375
45.0,1.875,0.37109375,0.3984375,0.328125,0.625,0.3046875,0.53125,0.546875,0.40234375
47.5,1.875,0.37109375,0.3984375,0.328125,0.640625,0.3046875,0.53125,0.4765625,0.40234375
50.0,1.875,0.37109375,0.3984375,0.328125,0.578125,0.3046875,0.4921875,0.44140625,0.40234375
52.5,1.65625,0.37109375,0.3984375,0.328125,0.5234375,0.3046875,0.4453125,0.419921875,0.38671875
55.0,1.4375,0.37109375,0.3984375,0.328125,0.46875,0.3046875,0.40625,0.3984375,0.37109375
57.5,1.21875,0.37109375,0.3984375,0.328125,0.421875,0.3046875,0.3828125,0.3671875,0.359375
58.0,1.0,0.37109375,0.3984375,0.328125,0.40625,0.3046875,0.37109375,0.3606770833333333,0.353515625
59.0,1.1875,0.37109375,0.3984375,0.328125,0.390625,0.3046875,0.359375,0.3541666666666667,0.34765625
60.0,1.125,0.37109375,0.3984375,0.328125,0.375,0.3046875,0.34765625,0.34765625,0.341796875
62.0,0.8125,0.37109375,0.3984375,0.328125,0.361328125,0.3046875,0.33984375,0.337890625,0.34033203125
62.5,0.78125,0.37109375,0.3984375,0.328125,0.34765625,0.3046875,0.33203125,0.328125,0.3388671875
63.0,0.75,0.37109375,0.3984375,0.328125,0.33984375,0.3046875,0.3255208333333333,0.3235677083333333,0.3359375
64.0,0.75,0.37109375,0.3984375,0.328125,0.33203125,0.3046875,0.3190104166666667,0.3190104166666667,0.3330078125
65.0,0.625,0.37109375,0.3984375,0.328125,0.32421875,0.3046875,0.3125,0.314453125,0.330078125
