contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
PLUG210423C00024000,2021-04-21 19:59:21,313.0,24.0,3.0,3.2,3.15,call,2021-04-23,0.005479452054794521,0.5
PLUG210423C00025000,2021-04-21 19:57:17,11860.0,25.0,2.26,2.3,2.22,call,2021-04-23,0.005479452054794521,0.875
PLUG210423C00026000,2021-04-21 19:58:11,11864.0,26.0,1.46,1.49,1.45,call,2021-04-23,0.005479452054794521,0.9375
PLUG210423C00026500,2021-04-21 19:59:42,3240.0,26.5,1.11,1.14,1.1,call,2021-04-23,0.005479452054794521,0.921875
PLUG210423C00027000,2021-04-21 19:59:54,9290.0,27.0,0.82,0.85,0.87,call,2021-04-23,0.005479452054794521,1.0
PLUG210423C00027500,2021-04-21 19:59:24,2649.0,27.5,0.62,0.66,0.64,call,2021-04-23,0.005479452054794521,1.0
PLUG210423C00028000,2021-04-21 19:59:18,3054.0,28.0,0.46,0.47,0.47,call,2021-04-23,0.005479452054794521,1.03125
PLUG210423C00029000,2021-04-21 19:59:50,3265.0,29.0,0.24,0.25,0.25,call,2021-04-23,0.005479452054794521,1.0625
PLUG210423C00030000,2021-04-21 19:59:53,4799.0,30.0,0.13,0.14,0.16,call,2021-04-23,0.005479452054794521,1.1875
PLUG210423C00031000,2021-04-21 19:59:57,1090.0,31.0,0.08,0.1,0.1,call,2021-04-23,0.005479452054794521,1.3125
PLUG210423C00032000,2021-04-21 19:59:31,188.0,32.0,0.04,0.05,0.05,call,2021-04-23,0.005479452054794521,1.3125
PLUG210423C00032500,2021-04-21 18:47:54,92.0,32.5,0.03,0.04,0.03,call,2021-04-23,0.005479452054794521,1.25
PLUG210423C00033000,2021-04-21 19:59:48,1765.0,33.0,0.02,0.03,0.03,call,2021-04-23,0.005479452054794521,1.375
PLUG210423C00034000,2021-04-21 19:57:34,132.0,34.0,0.01,0.02,0.02,call,2021-04-23,0.005479452054794521,1.5
PLUG210423C00035000,2021-04-21 19:59:05,2514.0,35.0,0.01,0.02,0.01,call,2021-04-23,0.005479452054794521,1.0
PLUG210423C00036000,2021-04-21 19:36:09,218.0,36.0,0.01,0.02,0.02,call,2021-04-23,0.005479452054794521,1.75
PLUG210423C00036500,2021-04-21 19:58:01,14.0,36.5,0.01,0.02,0.01,call,2021-04-23,0.005479452054794521,1.0
PLUG210423C00037000,2021-04-21 19:51:46,56.0,37.0,0.01,0.03,0.02,call,2021-04-23,0.005479452054794521,1.875
PLUG210423C00037500,2021-04-21 18:50:14,19.0,37.5,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,1.0
PLUG210423C00038000,2021-04-21 19:18:34,124.0,38.0,0.0,0.02,0.01,call,2021-04-23,0.005479452054794521,1.5
PLUG210423C00043500,2021-04-20 13:51:41,5.0,43.5,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00044000,2021-04-21 17:44:55,25.0,44.0,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00044500,2021-04-21 18:44:52,1.0,44.5,0.0,0.03,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00045000,2021-04-21 14:53:12,2.0,45.0,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00045500,2021-04-21 19:18:58,1.0,45.5,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00046000,2021-04-16 17:38:49,12.0,46.0,0.0,0.01,0.02,call,2021-04-23,0.005479452054794521,
PLUG210423C00046500,2021-04-19 17:58:02,300.0,46.5,0.0,0.03,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00047000,2021-04-19 16:50:54,3.0,47.0,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00047500,2021-04-14 13:39:38,1.0,47.5,0.0,0.01,0.02,call,2021-04-23,0.005479452054794521,
PLUG210423C00048000,2021-04-15 19:42:37,1.0,48.0,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00048500,2021-04-14 13:37:39,7.0,48.5,0.0,0.03,0.02,call,2021-04-23,0.005479452054794521,
PLUG210423C00049000,2021-04-19 14:30:23,12.0,49.0,0.0,0.03,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00049500,2021-04-16 18:55:50,6.0,49.5,0.0,0.34,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00050000,2021-04-21 16:03:51,1.0,50.0,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00051000,2021-04-20 14:02:23,4.0,51.0,0.0,0.03,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00052000,2021-04-21 18:12:47,2.0,52.0,0.0,0.01,0.03,call,2021-04-23,0.005479452054794521,
PLUG210423C00055000,2021-04-21 17:03:44,1.0,55.0,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00060000,2021-04-16 15:59:35,10.0,60.0,0.0,0.03,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00065000,2021-04-15 17:20:31,12.0,65.0,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423C00070000,2021-04-13 17:04:55,2.0,70.0,0.0,0.01,0.01,call,2021-04-23,0.005479452054794521,
PLUG210423P00021500,2021-04-21 17:52:11,195.0,21.5,0.0,0.04,0.02,put,2021-04-23,0.005479452054794521,1.5
PLUG210423P00022000,2021-04-21 19:52:55,160.0,22.0,0.03,0.04,0.03,put,2021-04-23,0.005479452054794521,1.5
PLUG210423P00022500,2021-04-21 19:38:46,982.0,22.5,0.04,0.05,0.05,put,2021-04-23,0.005479452054794521,1.5
PLUG210423P00023000,2021-04-21 19:57:54,1470.0,23.0,0.05,0.07,0.05,put,2021-04-23,0.005479452054794521,1.375
PLUG210423P00023500,2021-04-21 19:00:20,404.0,23.5,0.07,0.1,0.08,put,2021-04-23,0.005479452054794521,1.375
PLUG210423P00024000,2021-04-21 19:59:24,2583.0,24.0,0.09,0.1,0.1,put,2021-04-23,0.005479452054794521,1.25
PLUG210423P00025000,2021-04-21 19:59:50,4937.0,25.0,0.18,0.19,0.19,put,2021-04-23,0.005479452054794521,1.125
PLUG210423P00026000,2021-04-21 19:58:14,3560.0,26.0,0.37,0.39,0.38,put,2021-04-23,0.005479452054794521,1.0625
PLUG210423P00026500,2021-04-21 19:58:51,2077.0,26.5,0.52,0.55,0.53,put,2021-04-23,0.005479452054794521,1.015625
PLUG210423P00027000,2021-04-21 19:59:41,1771.0,27.0,0.74,0.76,0.76,put,2021-04-23,0.005479452054794521,1.03125
PLUG210423P00027500,2021-04-21 19:57:36,145.0,27.5,1.02,1.06,1.04,put,2021-04-23,0.005479452054794521,1.03125
PLUG210423P00028000,2021-04-21 19:54:25,153.0,28.0,1.31,1.4,1.4,put,2021-04-23,0.005479452054794521,1.125
PLUG210423P00029000,2021-04-21 19:54:20,336.0,29.0,2.13,2.18,2.21,put,2021-04-23,0.005479452054794521,1.21875
PLUG210423P00030000,2021-04-21 19:53:44,177.0,30.0,3.0,3.1,3.17,put,2021-04-23,0.005479452054794521,1.5
PLUG210423P00031000,2021-04-21 19:40:02,12.0,31.0,3.9,4.2,4.5,put,2021-04-23,0.005479452054794521,
PLUG210423P00032000,2021-04-21 19:32:00,25.0,32.0,4.75,5.1,5.22,put,2021-04-23,0.005479452054794521,
PLUG210423P00032500,2021-04-21 19:37:52,22.0,32.5,5.35,5.7,5.7,put,2021-04-23,0.005479452054794521,
PLUG210423P00033000,2021-04-21 18:15:48,10.0,33.0,5.75,6.35,6.8,put,2021-04-23,0.005479452054794521,
PLUG210423P00034000,2021-04-21 19:59:05,24.0,34.0,6.8,7.0,6.95,put,2021-04-23,0.005479452054794521,1.875
PLUG210423P00035000,2021-04-21 19:49:03,34.0,35.0,7.85,8.1,8.22,put,2021-04-23,0.005479452054794521,
PLUG210423P00041000,2021-04-21 18:10:44,38.0,41.0,13.85,14.8,14.5,put,2021-04-23,0.005479452054794521,
PLUG210423P00041500,2021-04-21 15:50:23,3.0,41.5,14.05,15.25,15.76,put,2021-04-23,0.005479452054794521,
PLUG210423P00042000,2021-04-20 15:31:03,6.0,42.0,14.25,16.65,17.0,put,2021-04-23,0.005479452054794521,
PLUG210423P00042500,2021-04-15 18:59:15,2.0,42.5,15.2,16.1,17.45,put,2021-04-23,0.005479452054794521,
PLUG210423P00043000,2021-04-21 19:19:39,13.0,43.0,15.8,16.35,16.22,put,2021-04-23,0.005479452054794521,
PLUG210423P00043500,2021-04-20 16:47:50,10.0,43.5,16.3,17.1,18.06,put,2021-04-23,0.005479452054794521,
PLUG210423P00044000,2021-04-19 17:45:09,10.0,44.0,16.75,18.3,17.51,put,2021-04-23,0.005479452054794521,
PLUG210423P00044500,2021-04-21 19:37:52,1.0,44.5,17.1,18.25,17.95,put,2021-04-23,0.005479452054794521,
PLUG210423P00045000,2021-04-21 19:26:32,15.0,45.0,17.75,18.55,18.15,put,2021-04-23,0.005479452054794521,
PLUG210423P00045500,2021-04-12 17:35:20,13.0,45.5,17.75,19.8,16.6,put,2021-04-23,0.005479452054794521,
PLUG210423P00046000,2021-04-20 18:51:50,21.0,46.0,18.55,19.55,20.68,put,2021-04-23,0.005479452054794521,
PLUG210423P00046500,2021-03-17 13:53:11,8.0,46.5,19.75,19.95,11.4,put,2021-04-23,0.005479452054794521,
PLUG210423P00047000,2021-04-21 19:55:47,2.0,47.0,19.3,21.25,19.35,put,2021-04-23,0.005479452054794521,
PLUG210423P00047500,2021-04-16 19:01:44,9.0,47.5,20.2,21.0,20.19,put,2021-04-23,0.005479452054794521,
PLUG210423P00048000,2021-04-21 17:54:09,9.0,48.0,20.65,21.55,21.8,put,2021-04-23,0.005479452054794521,
PLUG210423P00048500,2021-04-15 16:21:11,5.0,48.5,21.15,22.3,23.02,put,2021-04-23,0.005479452054794521,
PLUG210423P00049000,2021-04-16 14:31:57,1.0,49.0,21.75,22.75,23.8,put,2021-04-23,0.005479452054794521,
PLUG210423P00049500,2021-04-16 18:20:45,10.0,49.5,22.1,23.15,22.6,put,2021-04-23,0.005479452054794521,
PLUG210423P00050000,2021-04-21 19:39:27,21.0,50.0,22.85,23.75,23.4,put,2021-04-23,0.005479452054794521,
PLUG210423P00051000,2021-04-12 13:58:11,4.0,51.0,23.75,24.6,21.1,put,2021-04-23,0.005479452054794521,
PLUG210423P00052000,2021-04-20 19:27:56,3.0,52.0,24.65,25.7,26.85,put,2021-04-23,0.005479452054794521,
PLUG210423P00055000,2021-04-21 19:20:14,4.0,55.0,27.45,29.65,28.23,put,2021-04-23,0.005479452054794521,
PLUG210423P00060000,2021-04-14 14:01:59,2.0,60.0,32.7,33.85,35.05,put,2021-04-23,0.005479452054794521,
PLUG210423P00065000,2021-04-15 16:47:51,1.0,65.0,37.85,38.6,40.2,put,2021-04-23,0.005479452054794521,
PLUG210423P00070000,2021-04-07 13:30:52,1.0,70.0,42.75,43.75,35.85,put,2021-04-23,0.005479452054794521,
PLUG210430C00025000,2021-04-21 19:59:16,3274.0,25.0,2.73,2.8,2.76,call,2021-04-30,0.024657534246575342,0.875
PLUG210430C00026000,2021-04-21 19:57:12,1829.0,26.0,2.11,2.14,2.08,call,2021-04-30,0.024657534246575342,0.859375
PLUG210430C00026500,2021-04-21 19:54:04,795.0,26.5,1.8,1.83,1.76,call,2021-04-30,0.024657534246575342,0.828125
PLUG210430C00027000,2021-04-21 19:59:38,1450.0,27.0,1.58,1.6,1.57,call,2021-04-30,0.024657534246575342,0.890625
PLUG210430C00027500,2021-04-21 19:58:33,849.0,27.5,1.32,1.35,1.34,call,2021-04-30,0.024657534246575342,0.875
PLUG210430C00028000,2021-04-21 19:56:20,1162.0,28.0,1.13,1.15,1.11,call,2021-04-30,0.024657534246575342,0.859375
PLUG210430C00029000,2021-04-21 19:57:54,1309.0,29.0,0.81,0.83,0.81,call,2021-04-30,0.024657534246575342,0.8984375
PLUG210430C00030000,2021-04-21 19:59:21,2244.0,30.0,0.57,0.59,0.6,call,2021-04-30,0.024657534246575342,0.90625
PLUG210430C00031000,2021-04-21 19:58:32,461.0,31.0,0.41,0.42,0.42,call,2021-04-30,0.024657534246575342,0.9375
PLUG210430C00032000,2021-04-21 19:59:49,281.0,32.0,0.29,0.3,0.3,call,2021-04-30,0.024657534246575342,0.9375
PLUG210430C00032500,2021-04-21 19:58:33,97.0,32.5,0.24,0.26,0.25,call,2021-04-30,0.024657534246575342,0.953125
PLUG210430C00033000,2021-04-21 19:54:13,350.0,33.0,0.2,0.22,0.2,call,2021-04-30,0.024657534246575342,0.96875
PLUG210430C00033500,2021-04-21 19:40:44,27.0,33.5,0.18,0.19,0.15,call,2021-04-30,0.024657534246575342,0.9375
PLUG210430C00034000,2021-04-21 19:57:40,98.0,34.0,0.15,0.16,0.17,call,2021-04-30,0.024657534246575342,1.03125
PLUG210430C00035000,2021-04-21 19:54:23,269.0,35.0,0.12,0.13,0.12,call,2021-04-30,0.024657534246575342,1.03125
PLUG210430C00036000,2021-04-21 19:48:33,25.0,36.0,0.09,0.1,0.08,call,2021-04-30,0.024657534246575342,1.03125
PLUG210430C00037000,2021-04-21 19:59:11,97.0,37.0,0.01,0.08,0.08,call,2021-04-30,0.024657534246575342,1.125
PLUG210430C00037500,2021-04-21 19:59:11,515.0,37.5,0.06,0.07,0.07,call,2021-04-30,0.024657534246575342,1.125
PLUG210430C00038000,2021-04-21 19:58:25,17.0,38.0,0.06,0.07,0.07,call,2021-04-30,0.024657534246575342,1.1875
