strike,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
0.5,1.75,1.0,1.5,0.75,1.5,1.15625,1.9375
1.0,1.75,1.0,1.5,0.75,1.5,1.15625,1.9375
2.0,1.75,1.0,1.5,0.75,1.5,1.15625,1.21875
2.5,1.75,1.0,1.5,0.75,1.3958333333333333,1.15625,1.328125
3.0,1.75,1.0,1.21875,0.75,1.2916666666666667,1.15625,1.4375
3.5,1.75,1.0,0.9375,0.96875,1.1875,1.265625,1.46875
4.0,1.75,1.0,1.125,1.1875,1.25,1.375,1.5
4.5,1.75,1.125,1.28125,1.3125,1.40625,1.46875,1.546875
5.0,1.75,1.34375,1.4375,1.4375,1.46875,1.5625,1.59375
5.5,1.75,1.5,1.53125,1.5625,1.625,1.640625,1.65625
6.0,1.75,1.6875,1.625,1.6875,1.71875,1.71875,1.71875
6.5,1.75,1.75,1.8125,1.78125,1.875,1.78125,1.7421875
7.0,1.9375,1.875,1.875,1.875,1.875,1.84375,1.765625
7.5,1.9375,1.96875,1.875,1.921875,1.875,1.875,1.7890625
8.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.8125
8.5,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.8359375
9.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.859375
9.5,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.8828125
10.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.90625
10.5,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.9166666666666667
11.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.9270833333333333
11.5,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.9375
12.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.9479166666666667
12.5,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.9583333333333333
13.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
13.5,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
14.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
14.5,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
15.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
15.5,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
16.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
17.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
18.0,1.9375,1.96875,1.875,1.96875,1.875,1.90625,1.96875
