strike,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30
18.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,1.30859375
19.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,1.30859375
20.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,1.30859375
21.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,1.30859375
22.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,1.09375
23.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,1.0611979166666667
24.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,1.0286458333333333
25.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,0.99609375
26.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.70703125,0.40625,0.412109375,1.1328125,0.955078125
27.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.4775390625,0.40625,0.412109375,1.1328125,0.9140625
28.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.1953125,1.248046875,0.40625,0.412109375,1.1328125,0.87109375
29.0,0.25,0.3359375,0.3125,0.3046875,0.90625,0.3125,1.44140625,1.0185546875,0.40625,0.412109375,1.1328125,0.84765625
30.0,0.25,0.3359375,0.3125,0.3046875,1.02099609375,0.3125,1.3671875,0.7890625,0.40625,0.412109375,1.1328125,0.796875
31.0,0.25,0.3359375,0.3125,0.3046875,1.1357421875,0.3125,1.29296875,1.8515625,0.40625,0.412109375,1.1328125,0.74609375
32.0,0.25,0.3359375,0.3125,0.3046875,1.25048828125,0.3125,1.140625,1.1015625,0.40625,0.412109375,1.1328125,0.5703125
33.0,0.25,0.3359375,0.3125,0.3046875,1.365234375,0.3125,0.98828125,1.70703125,0.40625,0.412109375,0.39453125,0.716796875
34.0,0.25,0.3359375,0.3125,0.3046875,1.47998046875,0.3125,0.7421875,0.953125,0.40625,0.412109375,0.595703125,0.6875
35.0,0.25,0.3359375,0.3125,0.3046875,1.5947265625,0.3125,0.8671875,0.6328125,0.40625,0.412109375,0.48046875,0.658203125
36.0,0.25,0.3359375,0.3125,0.3046875,1.70947265625,0.3125,0.9375,0.7421875,0.40625,0.412109375,0.40625,0.62890625
37.0,0.25,0.3359375,0.3125,0.3046875,1.82421875,0.3125,0.5625,0.69921875,0.40625,0.412109375,0.39453125,0.44140625
38.0,0.25,0.3359375,0.3125,0.3046875,1.375,0.3125,0.4609375,0.65625,0.40625,0.412109375,0.3671875,0.25390625
39.0,0.25,0.3359375,0.3125,0.3046875,0.92578125,0.3125,0.5546875,0.56640625,0.40625,0.412109375,0.47265625,0.509765625
