contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
APHA210430C00016000,2021-04-26 19:55:45,700.0,16.0,0.14,0.15,0.15,call,2021-04-30,0.010958904109589041,0.875
APHA210430C00016500,2021-04-26 19:59:32,632.0,16.5,0.08,0.11,0.1,call,2021-04-30,0.010958904109589041,0.9375
APHA210430C00017000,2021-04-26 19:24:15,589.0,17.0,0.06,0.07,0.06,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00017500,2021-04-26 19:48:50,247.0,17.5,0.03,0.05,0.04,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00018000,2021-04-26 19:53:50,193.0,18.0,0.03,0.04,0.04,call,2021-04-30,0.010958904109589041,1.125
APHA210430C00018500,2021-04-26 16:38:10,89.0,18.5,0.02,0.03,0.04,call,2021-04-30,0.010958904109589041,1.25
APHA210430C00019000,2021-04-26 18:59:21,28.0,19.0,0.01,0.02,0.01,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00019500,2021-04-23 19:48:49,1.0,19.5,0.01,0.03,0.01,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00020000,2021-04-26 19:39:06,260.0,20.0,0.01,0.02,0.02,call,2021-04-30,0.010958904109589041,1.5
APHA210430C00020500,2021-04-26 19:54:38,51.0,20.5,0.01,0.02,0.01,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00021000,2021-04-26 19:29:27,81.0,21.0,0.0,0.03,0.02,call,2021-04-30,0.010958904109589041,1.625
APHA210430C00021500,2021-04-26 13:30:00,1.0,21.5,0.0,0.02,0.01,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00022000,2021-04-26 19:02:37,41.0,22.0,0.0,0.03,0.03,call,2021-04-30,0.010958904109589041,1.875
APHA210430C00022500,2021-04-22 14:34:50,4.0,22.5,0.0,0.11,0.01,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00023000,2021-04-26 19:17:40,2.0,23.0,0.0,0.01,0.01,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00023500,2021-04-23 19:12:14,250.0,23.5,0.0,0.19,0.01,call,2021-04-30,0.010958904109589041,1.0
APHA210430C00024500,2021-04-23 19:12:38,270.0,24.5,0.0,0.1,0.01,call,2021-04-30,0.010958904109589041,
APHA210430C00025000,2021-04-26 19:49:43,6.0,25.0,0.01,0.03,0.03,call,2021-04-30,0.010958904109589041,
APHA210430C00026000,2021-04-23 17:37:53,9.0,26.0,0.0,0.12,0.05,call,2021-04-30,0.010958904109589041,
APHA210430C00026500,2021-04-26 18:35:48,1.0,26.5,0.0,0.01,0.01,call,2021-04-30,0.010958904109589041,
APHA210430P00015000,2021-04-26 19:57:59,103.0,15.0,0.61,0.65,0.66,put,2021-04-30,0.010958904109589041,0.875
APHA210430P00015500,2021-04-26 18:25:43,41.0,15.5,0.94,1.05,1.0,put,2021-04-30,0.010958904109589041,0.90625
APHA210430P00016000,2021-04-26 15:41:13,10.0,16.0,1.35,1.5,1.65,put,2021-04-30,0.010958904109589041,1.4375
APHA210430P00016500,2021-04-26 17:19:49,2.0,16.5,1.76,2.02,1.85,put,2021-04-30,0.010958904109589041,1.0
