contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
MS210430C00077000,2021-04-26 19:42:47,55.0,77.0,4.4,4.6,4.78,call,2021-04-30,0.010958904109589041,0.4765625
MS210430C00078000,2021-04-26 16:39:35,43.0,78.0,3.45,3.6,3.95,call,2021-04-30,0.010958904109589041,0.484375
MS210430C00079000,2021-04-26 19:46:26,123.0,79.0,2.51,2.88,2.7,call,2021-04-30,0.010958904109589041,0.28125
MS210430C00080000,2021-04-26 19:38:18,473.0,80.0,1.65,1.78,1.92,call,2021-04-30,0.010958904109589041,0.28515625
MS210430C00081000,2021-04-26 19:59:30,791.0,81.0,1.0,1.09,1.05,call,2021-04-30,0.010958904109589041,0.21875
MS210430C00082000,2021-04-26 19:59:30,1061.0,82.0,0.52,0.6,0.57,call,2021-04-30,0.010958904109589041,0.2265625
MS210430C00083000,2021-04-26 19:40:39,1079.0,83.0,0.25,0.29,0.32,call,2021-04-30,0.010958904109589041,0.25
MS210430C00084000,2021-04-26 19:52:59,210.0,84.0,0.12,0.16,0.12,call,2021-04-30,0.010958904109589041,0.234375
MS210430C00085000,2021-04-26 19:26:27,744.0,85.0,0.05,0.08,0.05,call,2021-04-30,0.010958904109589041,0.25
MS210430C00086000,2021-04-26 18:13:27,18.0,86.0,0.03,0.05,0.03,call,2021-04-30,0.010958904109589041,0.28125
MS210430C00087000,2021-04-23 19:53:02,29.0,87.0,0.01,0.03,0.06,call,2021-04-30,0.010958904109589041,0.375
MS210430C00088000,2021-04-23 19:34:23,1.0,88.0,0.01,0.03,0.03,call,2021-04-30,0.010958904109589041,0.375
MS210430C00089000,2021-04-26 17:05:46,20.0,89.0,0.0,0.03,0.02,call,2021-04-30,0.010958904109589041,0.375
MS210430C00090000,2021-04-20 15:21:39,4.0,90.0,0.0,0.01,0.03,call,2021-04-30,0.010958904109589041,0.46875
MS210430C00091000,2021-04-19 17:20:55,2.0,91.0,0.0,0.08,0.03,call,2021-04-30,0.010958904109589041,0.5
MS210430C00092000,2021-04-12 13:42:37,1.0,92.0,0.0,0.07,0.67,call,2021-04-30,0.010958904109589041,1.046875
MS210430C00095000,2021-04-21 18:12:58,1.0,95.0,0.0,0.07,0.03,call,2021-04-30,0.010958904109589041,0.6875
MS210430C00100000,2021-04-23 15:10:21,15.0,100.0,0.0,0.03,0.02,call,2021-04-30,0.010958904109589041,0.875
MS210430C00105000,2021-03-24 19:58:06,,105.0,0.0,0.48,1.11,call,2021-04-30,0.010958904109589041,
