strike,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-18,2021-09-17
11.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,1.3125,1.078125
12.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,1.3125,1.078125
13.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,1.3125,1.078125
14.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,1.3125,1.078125
15.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,1.3125,1.078125
16.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,1.18359375,1.04296875
17.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,1.0546875,1.0078125
18.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,1.1796875,0.97265625
19.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,0.9140625,0.9375
20.0,1.9375,1.375,1.59375,0.8984375,0.890625,0.609375,0.8515625,0.90234375
21.0,1.9375,1.3489583333333333,1.8203125,0.8984375,0.890625,0.609375,1.03515625,0.8891059027777778
21.5,1.9375,1.3229166666666667,1.71484375,0.8984375,0.890625,0.609375,1.005859375,0.8758680555555556
22.0,1.9375,1.296875,1.609375,0.8984375,0.890625,0.609375,0.9765625,0.8626302083333334
22.5,1.9375,1.5078125,1.515625,0.8984375,0.890625,0.609375,1.0234375,0.8493923611111112
23.0,1.9375,1.71875,1.421875,0.8984375,0.890625,0.609375,1.0703125,0.8361545138888888
23.5,1.9375,1.3125,1.515625,0.8984375,0.890625,0.609375,1.03515625,0.8229166666666666
24.0,1.9375,1.640625,1.484375,0.8984375,0.890625,0.9140625,1.0,0.8096788194444444
24.5,1.71875,1.34375,1.16796875,0.8984375,0.890625,0.8046875,0.921875,0.7964409722222222
25.0,1.5,1.046875,0.8515625,0.8984375,0.890625,0.9765625,0.84375,0.783203125
25.5,1.28125,1.0,0.8828125,0.8984375,0.890625,0.765625,0.822265625,0.7841796875
26.0,1.0625,0.953125,0.9140625,0.8984375,0.890625,0.8203125,0.80078125,0.78515625
26.5,1.0,1.03125,0.890625,0.8984375,0.890625,0.953125,0.810546875,0.7861328125
27.0,0.8125,0.953125,0.96875,0.8984375,0.890625,0.90234375,0.8203125,0.787109375
27.5,0.84375,0.9453125,0.9453125,0.8984375,0.890625,0.86328125,0.8203125,0.7880859375
28.0,0.84375,0.953125,0.9765625,0.8984375,0.890625,0.82421875,0.8203125,0.7890625
28.5,0.875,0.9609375,0.95703125,0.90625,0.890625,0.83203125,0.822265625,0.7900390625
29.0,0.90625,0.96875,0.9375,0.8828125,0.890625,0.8359375,0.82421875,0.791015625
29.5,0.9296875,0.9765625,0.9453125,0.875,0.890625,0.93359375,0.81640625,0.7919921875
30.0,0.953125,0.984375,0.9296875,0.8828125,0.85546875,0.81640625,0.80859375,0.79296875
30.5,0.984375,1.0078125,0.953125,0.9140625,0.875,0.9765625,0.8126502403846154,0.793359375
31.0,1.015625,1.015625,0.9609375,0.90625,0.875,0.828125,0.8167067307692307,0.79375
31.5,1.0390625,1.0,1.015625,0.921875,0.94921875,0.890625,0.8207632211538461,0.794140625
32.0,1.0625,1.015625,0.9921875,0.90625,0.9140625,0.890625,0.8248197115384616,0.79453125
32.5,1.125,1.03125,0.96875,0.9296875,0.90625,0.8880208333333334,0.8288762019230769,0.794921875
33.0,1.1875,1.046875,0.96875,0.9140625,1.046875,0.8854166666666666,0.8329326923076923,0.7953125
33.5,1.1875,1.046875,1.0078125,0.91796875,0.90625,0.8828125,0.8369891826923077,0.795703125
34.0,1.25,1.0625,1.0,0.921875,0.9140625,0.8802083333333334,0.8410456730769231,0.79609375
34.5,1.28125,1.109375,1.03125,0.93359375,0.921875,0.8776041666666666,0.8451021634615384,0.796484375
35.0,1.3125,1.0625,1.046875,0.9453125,0.8984375,0.875,0.8491586538461539,0.796875
35.5,1.375,1.125,1.078125,0.95703125,1.0234375,0.88203125,0.8532151442307693,0.796875
36.0,1.4375,1.125,1.03125,0.96875,0.96875,0.8890625,0.8572716346153846,0.796875
36.5,1.53125,1.15625,1.09375,0.9755859375,0.9375,0.89609375,0.861328125,0.796875
37.0,1.625,1.1875,1.078125,0.982421875,0.9296875,0.903125,0.8653846153846154,0.796875
37.5,1.6875,1.21875,1.125,0.9892578125,0.9375,0.91015625,0.8694411057692307,0.796875
38.0,1.625,1.1875,1.109375,0.99609375,0.9375,0.9171875,0.8734975961538461,0.796875
38.5,1.6125,1.25,1.078125,1.0029296875,0.94140625,0.92421875,0.8775540865384616,0.796875
39.0,1.6,1.28125,1.109375,1.009765625,0.9453125,0.93125,0.8816105769230769,0.796875
39.5,1.5875,1.25,1.1328125,1.0166015625,0.94921875,0.93828125,0.8856670673076923,0.796875
40.0,1.575,1.25,1.125,1.0234375,0.953125,0.9453125,0.8897235576923077,0.796875
40.5,1.5625,1.375,1.2265625,1.03046875,0.9609375,0.9453125,0.8937800480769231,0.8
41.0,1.55,1.34375,1.25,1.0375,0.96875,0.9453125,0.8978365384615384,0.803125
41.5,1.5375,1.34375,1.25,1.04453125,0.9765625,0.9453125,0.9018930288461539,0.80625
42.0,1.525,1.375,1.25,1.0515625,0.984375,0.9453125,0.9059495192307693,0.809375
42.5,1.5125,1.3854166666666667,1.25,1.05859375,0.9921875,0.9453125,0.9100060096153846,0.8125
43.0,1.5,1.3958333333333333,1.25,1.065625,1.0,0.9453125,0.9140625,0.815625
43.5,1.5,1.40625,1.25,1.07265625,1.0078125,0.9453125,0.921875,0.81875
44.0,1.5,1.4166666666666667,1.25,1.0796875,1.015625,0.9453125,0.9296875,0.821875
44.5,1.5,1.4270833333333333,1.25,1.08671875,1.0234375,0.9453125,0.9296875,0.825
45.0,1.5,1.4375,1.25,1.09375,1.03125,0.9453125,0.9296875,0.828125
45.5,1.5,1.453125,1.2578125,1.1015625,1.03125,0.9453125,0.94140625,0.82861328125
