strike,2021-05-21,2021-06-18,2021-07-16,2021-10-15
35.0,0.9375,0.3203125,0.67578125,0.48828125
37.5,0.9375,0.3203125,0.67578125,0.48828125
40.0,0.9375,0.3203125,0.67578125,0.48828125
42.5,0.84375,0.3203125,0.6796875,0.47265625
45.0,0.75,0.3203125,0.546875,0.44140625
47.5,0.65625,0.3203125,0.484375,0.35546875
50.0,0.5625,0.3203125,0.4609375,0.28125
52.5,0.515625,0.3203125,0.3203125,0.29296875
55.0,0.46875,0.3203125,0.296875,0.26171875
57.5,0.5078125,0.3046875,0.2890625,0.244140625
60.0,0.3125,0.28515625,0.294921875,0.220703125
62.5,0.2734375,0.203125,0.20703125,0.337890625
65.0,0.18359375,0.18359375,0.18359375,0.203125
67.5,0.150390625,0.16015625,0.2744140625,0.23779296875
70.0,0.1484375,0.15625,0.4384765625,0.2724609375
72.5,0.1484375,0.15625,0.4384765625,0.24658203125
75.0,0.1484375,0.15625,0.4384765625,0.220703125
80.0,0.1484375,0.15625,0.4384765625,0.220703125
85.0,0.1484375,0.15625,0.4384765625,0.220703125
