strike,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-18,2021-09-17
0.5,1.0,1.0625,1.0,1.0,1.0,1.0,1.0,1.375
1.0,1.0,1.0625,1.0,1.0,1.0,1.0,1.0,1.375
1.5,1.0,1.0625,1.0,1.0,1.0,1.0,1.125,1.28125
2.0,1.0,1.0625,1.0,1.0,1.5,1.0,1.25,1.1875
2.5,1.0,1.0625,1.0,1.0,1.25,1.0,1.15625,1.265625
3.0,1.0,1.0625,1.125,1.0,1.0,0.875,1.0625,1.34375
3.5,1.0,1.0625,0.75,0.875,1.0,1.03125,1.15625,1.390625
4.0,1.0,1.0625,1.0,1.0625,1.125,1.0625,1.25,1.4375
4.5,1.0,1.0625,1.1875,1.1875,1.3125,1.25,1.359375,1.5
5.0,1.0,1.375,1.25,1.375,1.34375,1.3125,1.46875,1.5625
5.5,1.0,1.375,1.4375,1.46875,1.46875,1.34375,1.578125,1.5859375
6.0,1.0,1.625,1.125,1.5625,1.4375,1.375,1.6875,1.609375
6.5,1.0,1.25,1.8125,1.6875,1.8125,1.6875,1.6875,1.6484375
7.0,1.0,1.0,1.78125,1.75,1.75,1.375,1.6875,1.6875
7.5,1.0,1.0,1.75,1.8125,1.53125,1.5625,1.765625,1.6875
8.0,1.0,1.0,1.375,1.8125,1.8125,1.59375,1.84375,1.6875
8.5,1.0,1.0,1.0,1.9375,1.96875,1.8125,1.90625,1.671875
9.0,1.0,1.0,1.0,1.875,1.484375,1.5625,1.96875,1.65625
9.5,1.0,1.0,1.0,1.7875,1.0,1.8125,1.953125,1.7109375
10.0,1.0,1.0,1.0,1.7,1.5,1.9375,1.9375,1.765625
10.5,1.0,1.0,1.0,1.6125,1.5,1.9375,1.953125,1.84375
11.0,1.0,1.0,1.0,1.525,1.5,1.9375,1.96875,1.921875
11.5,1.0,1.0,1.0,1.4375,1.5,1.9375,1.953125,1.875
12.0,1.0,1.0,1.0,1.35,1.5,1.9375,1.9375,1.828125
12.5,1.0,1.0,1.0,1.2625000000000002,1.5,1.9375,1.9453125,1.8046875
13.0,1.0,1.0,1.0,1.175,1.5,1.9375,1.953125,1.78125
13.5,1.0,1.0,1.0,1.0875,1.5,1.9375,1.9609375,1.796875
14.0,1.0,1.0,1.0,1.0,1.5,1.9375,1.96875,1.8125
14.5,1.0,1.0,1.0,1.0,1.5,1.9375,1.953125,1.7890625
15.0,1.0,1.0,1.0,1.0,1.5,1.9375,1.9375,1.765625
15.5,1.0,1.0,1.0,1.0,1.5,1.9375,1.9375,1.7421875
16.0,1.0,1.0,1.0,1.0,1.5,1.9375,1.9375,1.71875
17.0,1.0,1.0,1.0,1.0,1.5,1.9375,1.9375,1.71875
