strike,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30
19.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,1.03125,1.25,0.4375,0.3828125,0.578125,1.140625
20.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,1.03125,1.25,0.4375,0.3828125,0.578125,0.6875
21.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,1.03125,1.16875,0.4375,0.3828125,0.578125,0.828125
22.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,1.03125,1.0875,0.4375,0.3828125,0.578125,0.609375
23.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,1.03125,1.00625,0.4375,0.3828125,0.578125,0.609375
24.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.875,0.925,0.4375,0.3828125,0.578125,0.7265625
25.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.875,0.84375,0.4375,0.3828125,0.578125,0.59375
26.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.5,0.8125,0.4375,0.3828125,0.578125,0.59375
27.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.75,1.3984375,0.4375,0.3828125,0.6796875,0.6640625
28.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.75,0.75,0.4375,0.3828125,0.578125,0.46875
29.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.625,0.671875,0.4375,0.3828125,0.453125,0.453125
30.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.75,0.6875,0.4375,0.3828125,0.4375,0.4765625
31.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.796875,1.00390625,0.4375,0.3828125,0.546875,0.53125
32.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.5625,0.71875,0.4375,0.3828125,0.4609375,0.4453125
33.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.65625,0.640625,0.4375,0.3828125,0.453125,0.4140625
34.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.59375,0.6015625,0.4375,0.3828125,0.40625,0.509765625
35.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.53125,0.546875,0.4375,0.3828125,0.39453125,0.578125
36.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.53125,0.546875,0.428125,0.3828125,0.40625,0.40625
37.0,0.375,0.375,0.6875,0.3359375,0.3671875,0.375,0.484375,0.5,0.41875,0.3828125,0.39453125,0.451171875
38.0,0.375,0.375,0.625,0.3359375,0.3671875,0.375,0.4375,0.4296875,0.409375,0.3828125,0.380859375,0.44140625
39.0,0.375,0.375,0.5625,0.3359375,0.3671875,0.375,0.453125,0.4140625,0.4,0.3828125,0.3671875,0.443359375
40.0,0.375,0.375,0.53125,0.3359375,0.3671875,0.375,0.40625,0.3984375,0.390625,0.3828125,0.3671875,0.4453125
41.0,0.375,0.375,0.5,0.3359375,0.3671875,0.375,0.3984375,0.390625,0.390625,0.3828125,0.3671875,0.447265625
42.0,0.375,0.375,0.484375,0.3359375,0.3671875,0.375,0.390625,0.3984375,0.3671875,0.36328125,0.365234375,0.44921875
43.0,0.375,0.375,0.4375,0.3359375,0.3671875,0.375,0.3860294117647059,0.36328125,0.36328125,0.3671875,0.345703125,0.337890625
43.5,0.375,0.375,0.421875,0.3359375,0.3671875,0.369140625,0.38143382352941174,0.365234375,0.369140625,0.3544921875,0.34375,0.349609375
44.0,0.375,0.375,0.40625,0.3359375,0.3671875,0.36328125,0.37683823529411764,0.3671875,0.375,0.341796875,0.341796875,0.361328125
44.5,0.375,0.375,0.375,0.3359375,0.4140625,0.357421875,0.37224264705882354,0.365234375,0.36328125,0.337890625,0.33984375,0.357421875
45.0,0.375,0.375,0.390625,0.3359375,0.34375,0.3515625,0.36764705882352944,0.36328125,0.3515625,0.333984375,0.337890625,0.353515625
45.5,0.375,0.375,0.3828125,0.3359375,0.34375,0.3515625,0.3630514705882353,0.3515625,0.345703125,0.3505859375,0.3370768229166667,0.359375
46.0,0.375,0.375,0.359375,0.3359375,0.3359375,0.3515625,0.3584558823529412,0.33984375,0.33984375,0.3671875,0.3362630208333333,0.365234375
46.5,0.375,0.34375,0.34375,0.3359375,0.33203125,0.337890625,0.3538602941176471,0.341796875,0.33984375,0.353515625,0.33544921875,0.35498046875
47.0,0.375,0.359375,0.34375,0.3359375,0.32421875,0.32421875,0.3492647058823529,0.34375,0.33984375,0.33984375,0.3346354166666667,0.3447265625
47.5,0.375,0.3515625,0.34375,0.33984375,0.3203125,0.37109375,0.3446691176470588,0.345703125,0.328125,0.3525390625,0.3338216145833333,0.34423828125
48.0,0.40625,0.34375,0.328125,0.3046875,0.296875,0.31640625,0.3400735294117647,0.34765625,0.31640625,0.365234375,0.3330078125,0.34375
48.5,0.375,0.3203125,0.31640625,0.32421875,0.3203125,0.32421875,0.33547794117647056,0.3466796875,0.322265625,0.3447265625,0.3321940104166667,0.34619140625
49.0,0.375,0.3203125,0.328125,0.32421875,0.3125,0.3046875,0.33088235294117646,0.345703125,0.328125,0.32421875,0.3313802083333333,0.3486328125
49.5,0.328125,0.3046875,0.33426339285714285,0.3046875,0.333984375,0.30859375,0.32628676470588236,0.34375,0.330078125,0.326171875,0.33056640625,0.35302734375
50.0,0.328125,0.3046875,0.3404017857142857,0.30859375,0.298828125,0.314453125,0.3216911764705882,0.341796875,0.33203125,0.328125,0.3297526041666667,0.357421875
50.5,0.3203125,0.3046875,0.34654017857142855,0.30859375,0.302734375,0.30859375,0.3170955882352941,0.349609375,0.33984375,0.341796875,0.3289388020833333,0.3515625
51.0,0.328125,0.3125,0.35267857142857145,0.31640625,0.306640625,0.3125,0.3125,0.357421875,0.34765625,0.35546875,0.328125,0.345703125
51.5,0.265625,0.359375,0.3588169642857143,0.296875,0.28515625,0.31640625,0.3046875,0.3603515625,0.375,0.33984375,0.349609375,0.4287109375
52.0,0.328125,0.296875,0.36495535714285715,0.2890625,0.40625,0.3203125,0.296875,0.36328125,0.40234375,0.32421875,0.37109375,0.51171875
52.5,0.375,0.5234375,0.37109375,0.296875,0.6640625,0.3203125,0.3125,0.4814453125,0.3671875,0.345703125,0.4189453125,0.5390625
53.0,0.6484375,0.2734375,0.37723214285714285,0.38671875,0.5403645833333334,0.3203125,0.328125,0.599609375,0.33203125,0.3671875,0.466796875,0.56640625
53.5,0.91796875,0.796875,0.3833705357142857,0.90234375,0.41666666666666663,0.3203125,0.30859375,0.6689453125,0.3330078125,0.388671875,0.3994140625,0.4609375
54.0,1.1875,0.328125,0.38950892857142855,0.9127604166666666,0.29296875,0.3203125,0.2890625,0.73828125,0.333984375,0.41015625,0.33203125,0.35546875
54.5,1.19140625,0.296875,0.3956473214285714,0.9231770833333334,0.3372395833333333,0.3203125,0.29296875,0.5986328125,0.3408203125,0.431640625,0.3349609375,0.45703125
