contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
GE210507C00010500,2021-05-05 16:22:57,3.0,10.5,2.68,2.84,2.76,call,2021-05-07,0.0027397260273972603,
GE210507C00011000,2021-05-04 19:59:13,1.0,11.0,2.19,2.36,2.05,call,2021-05-07,0.0027397260273972603,
GE210507C00011500,2021-05-06 17:32:45,2.0,11.5,1.69,1.83,1.63,call,2021-05-07,0.0027397260273972603,
GE210507C00012000,2021-05-06 19:59:54,228.0,12.0,1.2,1.23,1.22,call,2021-05-07,0.0027397260273972603,1.0
GE210507C00012500,2021-05-06 19:59:54,1317.0,12.5,0.71,0.73,0.72,call,2021-05-07,0.0027397260273972603,0.5
GE210507C00013000,2021-05-06 19:59:27,5547.0,13.0,0.22,0.24,0.23,call,2021-05-07,0.0027397260273972603,0.3125
GE210507C00013500,2021-05-06 19:59:20,9326.0,13.5,0.0,0.01,0.01,call,2021-05-07,0.0027397260273972603,0.25
GE210507C00014000,2021-05-06 18:27:55,140.0,14.0,0.0,0.01,0.01,call,2021-05-07,0.0027397260273972603,0.5
GE210507C00014500,2021-05-06 19:56:23,9.0,14.5,0.0,0.0,0.01,call,2021-05-07,0.0027397260273972603,1.0
GE210507C00015000,2021-05-05 17:23:42,16.0,15.0,0.0,0.01,0.01,call,2021-05-07,0.0027397260273972603,1.0
GE210507C00015500,2021-05-06 19:50:55,14.0,15.5,0.0,0.01,0.01,call,2021-05-07,0.0027397260273972603,1.0
GE210507C00016000,2021-05-03 16:53:43,2.0,16.0,0.0,0.01,0.01,call,2021-05-07,0.0027397260273972603,1.0
GE210507C00016500,2021-05-06 18:24:02,50.0,16.5,0.0,0.0,0.02,call,2021-05-07,0.0027397260273972603,
GE210507C00017000,2021-05-05 18:56:48,2.0,17.0,0.0,0.01,0.01,call,2021-05-07,0.0027397260273972603,
