strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-07-16,2021-08-20,2021-09-17,2021-10-15,2021-11-19
21.0,0.5,1.0,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.4375,0.46875,0.3515625
22.0,0.5,1.0,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.4375,0.46875,0.3515625
23.0,0.5,1.0,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.4375,0.46875,0.3515625
24.0,0.5,1.0,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.4375,0.46875,0.3515625
25.0,0.5,1.125,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.4375,0.4505208333333333,0.3515625
26.0,0.5,1.0,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.4375,0.4322916666666667,0.3515625
27.0,0.5,0.75,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.421875,0.4140625,0.3515625
28.0,0.5,0.5,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.390625,0.3984375,0.3515625
29.0,0.5,0.875,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.40625,0.390625,0.3515625
30.0,0.5,0.75,0.34375,0.375,0.359375,0.578125,0.4375,0.3515625,0.375,0.39453125,0.3515625
31.0,0.5,0.6875,0.34375,0.375,0.359375,0.46875,0.40625,0.3515625,0.3671875,0.359375,0.3515625
32.0,0.5,0.625,0.34375,0.375,0.359375,0.4375,0.375,0.3515625,0.35546875,0.34765625,0.3359375
33.0,0.5,0.625,0.34375,0.375,0.359375,0.40625,0.375,0.34765625,0.3359375,0.328125,0.328125
33.5,0.5,0.5625,0.34375,0.375,0.359375,0.390625,0.36328125,0.337890625,0.33203125,0.328125,0.326171875
34.0,0.5,0.5,0.34375,0.375,0.359375,0.375,0.3515625,0.328125,0.328125,0.328125,0.32421875
34.5,0.5,0.5625,0.34375,0.375,0.359375,0.359375,0.341796875,0.322265625,0.326171875,0.326171875,0.3203125
35.0,0.5,0.5,0.34375,0.375,0.359375,0.34375,0.33203125,0.31640625,0.32421875,0.32421875,0.31640625
35.5,0.5,0.4375,0.34375,0.40625,0.40625,0.3359375,0.326171875,0.314453125,0.3203125,0.318359375,0.3154296875
36.0,0.5,0.46875,0.34375,0.359375,0.328125,0.328125,0.3203125,0.3125,0.31640625,0.3125,0.314453125
36.5,0.5,0.421875,0.34375,0.34375,0.359375,0.31640625,0.314453125,0.30859375,0.310546875,0.3076171875,0.310546875
37.0,0.5,0.4010416666666667,0.34375,0.328125,0.328125,0.3046875,0.30859375,0.3046875,0.3046875,0.302734375,0.306640625
37.5,0.4375,0.3802083333333333,0.328125,0.3203125,0.3125,0.298828125,0.3046875,0.306640625,0.306640625,0.3037109375,0.310546875
38.0,0.4375,0.359375,0.328125,0.3046875,0.3359375,0.29296875,0.30078125,0.30859375,0.30859375,0.3046875,0.314453125
38.5,0.375,0.3385416666666667,0.296875,0.296875,0.2890625,0.2890625,0.2958984375,0.30078125,0.3046875,0.310546875,0.3076171875
39.0,0.34375,0.31770833333333337,0.296875,0.296875,0.28515625,0.28515625,0.291015625,0.29296875,0.30078125,0.31640625,0.30078125
39.5,0.3125,0.296875,0.28125,0.27734375,0.2890625,0.279296875,0.2900390625,0.2880859375,0.294921875,0.310546875,0.294921875
40.0,0.296875,0.2890625,0.2734375,0.2734375,0.2734375,0.2734375,0.2890625,0.283203125,0.2890625,0.3046875,0.2890625
40.5,0.265625,0.265625,0.2578125,0.2734375,0.2734375,0.271484375,0.28515625,0.28125,0.291015625,0.302734375,0.294921875
41.0,0.25,0.2578125,0.26171875,0.2734375,0.2734375,0.26953125,0.28125,0.279296875,0.29296875,0.30078125,0.30078125
41.5,0.234375,0.25,0.25,0.26171875,0.2578125,0.267578125,0.28125,0.283203125,0.29296875,0.318359375,0.298828125
42.0,0.21875,0.25,0.25390625,0.265625,0.26953125,0.265625,0.28125,0.287109375,0.29296875,0.3359375,0.296875
42.5,0.2109375,0.2421875,0.25,0.271484375,0.359375,0.263671875,0.2783203125,0.2822265625,0.291015625,0.33056640625,0.2998046875
43.0,0.234375,0.234375,0.2421875,0.27734375,0.40625,0.26171875,0.275390625,0.27734375,0.2890625,0.3251953125,0.302734375
43.5,0.21875,0.3671875,0.2578125,0.515625,0.40625,0.265625,0.3310546875,0.2783203125,0.3818359375,0.31982421875,0.330078125
44.0,0.4375,0.2734375,0.2916666666666667,0.75390625,0.40625,0.26953125,0.38671875,0.279296875,0.474609375,0.314453125,0.357421875
44.5,0.74609375,0.26171875,0.3255208333333333,0.6848958333333334,0.40625,0.267578125,0.361328125,0.28125,0.3828125,0.3369140625,0.32421875
45.0,1.0546875,0.25,0.359375,0.6158854166666666,0.40625,0.265625,0.3359375,0.283203125,0.291015625,0.359375,0.291015625
45.5,1.36328125,0.7109375,0.4799107142857143,0.546875,0.40625,0.31640625,0.41796875,0.4609375,0.314453125,0.3818359375,0.3056640625
46.0,1.671875,0.91796875,0.6004464285714286,0.546875,0.40625,0.3671875,0.5,0.638671875,0.337890625,0.404296875,0.3203125
46.5,1.671875,1.087890625,0.7209821428571428,0.546875,0.40625,0.37109375,0.49609375,0.4921875,0.41015625,0.4147135416666667,0.322265625
47.0,1.671875,1.2578125,0.8415178571428572,0.546875,0.40625,0.375,0.4921875,0.345703125,0.482421875,0.4251302083333333,0.32421875
48.0,1.671875,1.3255208333333333,0.9620535714285714,0.546875,0.40625,0.5859375,0.359375,0.529296875,0.53515625,0.435546875,0.326171875
49.0,1.671875,1.3932291666666667,1.0825892857142856,0.546875,0.40625,0.9140625,0.6484375,0.6513671875,0.35546875,0.478515625,0.3212890625
50.0,1.671875,1.4609375,1.203125,0.546875,0.40625,1.150390625,0.6875,0.7734375,0.35546875,0.3671875,0.31640625
52.0,1.671875,1.4609375,1.203125,0.546875,0.40625,1.087890625,0.611328125,0.759765625,0.35546875,0.3671875,0.33984375
55.0,1.671875,1.4609375,1.203125,0.546875,0.40625,1.025390625,0.53515625,0.74609375,0.35546875,0.3671875,0.36328125
56.0,1.671875,1.4609375,1.203125,0.546875,0.40625,1.025390625,0.53515625,0.74609375,0.35546875,0.3671875,0.36328125
