strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-09-17,2021-12-17
3.0,0.25,0.375,0.375,0.3125,0.4375,0.5,0.375,0.421875
6.0,0.25,0.375,0.375,0.3125,0.4375,0.5,0.375,0.421875
7.0,0.25,0.375,0.375,0.3125,0.4375,0.5,0.375,0.421875
8.0,0.25,0.375,0.375,0.3125,0.4375,0.5,0.375,0.421875
9.0,0.25,0.375,0.375,0.3125,0.4375,0.5,0.375,0.421875
10.0,0.25,0.375,0.375,0.3125,0.4375,0.375,0.375,0.328125
10.5,0.25,0.375,0.375,0.3125,0.4375,0.359375,0.375,0.34375
11.0,0.25,0.375,0.375,0.3125,0.4375,0.34375,0.375,0.359375
11.5,0.25,0.375,0.359375,0.3125,0.53125,0.3359375,0.36328125,0.34765625
12.0,0.25,0.375,0.34375,0.296875,0.421875,0.328125,0.3515625,0.3359375
12.5,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.33984375,0.3359375
13.0,0.25,0.28125,0.28125,0.28125,0.296875,0.296875,0.328125,0.3359375
13.5,0.25,0.28125,0.28125,0.2734375,0.28125,0.296875,0.328125,0.3359375
14.0,0.3125,0.28125,0.265625,0.28125,0.28125,0.296875,0.328125,0.3359375
14.5,0.25,0.3125,0.3125,0.28125,0.28125,0.3046875,0.328125,0.33984375
15.0,0.5,0.375,0.3125,0.3125,0.3125,0.3125,0.328125,0.34375
15.5,0.5,0.25,0.375,0.375,0.3125,0.3125,0.3359375,0.337890625
16.0,0.5,0.5,0.25,0.25,0.34375,0.3125,0.34375,0.33203125
16.5,0.75,0.5,0.25,0.4375,0.40625,0.34375,0.34375,0.337890625
17.0,0.5,0.5,0.5,0.25,0.375,0.375,0.34375,0.34375
17.5,1.0,0.5,0.5,0.5,0.4375,0.40625,0.359375,0.33984375
18.0,1.125,0.5,0.5,0.5625,0.5,0.4375,0.375,0.3359375
18.5,1.0,0.5,0.5,0.5,0.59375,0.46875,0.3671875,0.34375
19.0,1.0,0.5,0.5,0.5,0.5625,0.5,0.359375,0.3515625
19.5,1.0,0.5,0.5,0.75,0.625,0.5,0.375,0.35546875
20.0,1.0,0.5,0.5,0.5,0.625,0.5,0.390625,0.359375
20.5,1.0,0.8125,0.5,0.5,0.625,0.5625,0.3828125,0.359375
21.0,1.0,1.125,0.5,0.5,0.625,0.625,0.375,0.359375
22.0,1.0,1.125,0.5,0.5,0.625,0.5,0.40625,0.375
23.0,1.0,1.125,0.5,0.5,0.625,0.5,0.4375,0.3802083333333333
24.0,1.0,1.125,0.5,0.5,0.625,0.5,0.4375,0.3854166666666667
25.0,1.0,1.125,0.5,0.5,0.625,0.5,0.4375,0.390625
26.0,1.0,1.125,0.5,0.5,0.625,0.5,0.5,0.390625
27.0,1.0,1.125,0.5,0.5,0.625,0.5,0.5,0.390625
