strike,2021-05-21,2021-06-18,2021-07-16,2021-10-15
35.0,0.1328125,0.21875,0.1640625,0.1171875
37.5,0.1328125,0.21875,0.1640625,0.1171875
40.0,0.1328125,0.21875,0.1640625,0.1171875
42.5,0.1328125,0.21875,0.1640625,0.1171875
45.0,0.1328125,0.21875,0.1640625,0.1171875
47.5,0.1328125,0.21875,0.1640625,0.1171875
50.0,0.1328125,0.21875,0.1640625,0.1171875
52.5,0.1328125,0.21875,0.1640625,0.1171875
55.0,0.1328125,0.21875,0.1640625,0.1171875
57.5,0.1328125,0.21875,0.1640625,0.1171875
60.0,0.1328125,0.21875,0.1640625,0.1171875
62.5,0.1328125,0.21875,0.1640625,0.1171875
65.0,0.1328125,0.21875,0.1640625,0.1171875
67.5,0.1328125,0.16015625,0.1484375,0.1240234375
70.0,0.1328125,0.166015625,0.13671875,0.130859375
72.5,0.12890625,0.158203125,0.1416015625,0.13671875
75.0,0.171875,0.14453125,0.140625,0.1357421875
77.5,0.171875,0.14453125,0.140625,0.138671875
80.0,0.171875,0.14453125,0.140625,0.13671875
85.0,0.171875,0.14453125,0.140625,0.1484375
