strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-12-17,2021-12-31
19.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
20.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
21.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
22.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
23.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
24.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
25.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
26.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
27.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
28.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
29.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
30.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
31.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
32.0,0.25,0.390625,0.34375,0.21875,0.265625,0.25,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
33.0,0.25,0.390625,0.34375,0.21875,0.265625,0.2767857142857143,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
34.0,0.25,0.390625,0.34375,0.21875,0.265625,0.30357142857142855,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
35.0,0.25,0.390625,0.34375,0.21875,0.265625,0.33035714285714285,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
36.0,0.25,0.390625,0.34375,0.21875,0.265625,0.35714285714285715,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
37.0,0.25,0.390625,0.34375,0.21875,0.265625,0.3839285714285714,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
38.0,0.25,0.390625,0.34375,0.21875,0.265625,0.4107142857142857,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
39.0,0.25,0.390625,0.34375,0.21875,0.265625,0.4375,0.296875,0.3125,0.18359375,0.234375,0.251953125,0.24609375,0.24609375
