strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-16,2021-09-17,2021-10-15,2021-12-17
35.0,0.421875,0.96875,0.4453125,0.44921875,0.4140625,1.18359375,0.26171875,0.80859375,0.529296875,0.384765625,0.1484375
37.5,0.421875,0.96875,0.4453125,0.44921875,0.4140625,1.18359375,0.26171875,0.80859375,0.529296875,0.384765625,0.1484375
40.0,0.421875,0.96875,0.4453125,0.44921875,0.4140625,1.18359375,0.26171875,0.80859375,0.529296875,0.384765625,0.1484375
42.5,0.421875,0.96875,0.4453125,0.44921875,0.4140625,1.18359375,0.26171875,0.80859375,0.529296875,0.384765625,0.1484375
45.0,0.421875,0.96875,0.4453125,0.44921875,0.4140625,1.18359375,0.26171875,0.80859375,0.529296875,0.384765625,0.1484375
47.5,0.421875,0.96875,0.4453125,0.44921875,0.4140625,1.18359375,0.26171875,0.80859375,0.529296875,0.384765625,0.1484375
50.0,0.421875,0.96875,0.4453125,0.44921875,0.4140625,1.1875,0.26171875,0.80859375,0.529296875,0.384765625,0.1484375
52.5,0.421875,0.96875,0.4453125,0.44921875,0.4140625,1.046875,0.26171875,0.583984375,0.529296875,0.384765625,0.1484375
55.0,0.421875,0.96875,0.4453125,0.44921875,0.4140625,0.7734375,0.26171875,0.359375,0.3359375,0.384765625,0.1484375
57.5,0.421875,0.96875,0.4453125,0.44921875,0.4140625,0.8046875,0.26171875,0.431640625,0.35546875,0.384765625,0.1484375
60.0,0.421875,0.96875,0.4453125,0.44921875,0.4140625,0.57421875,0.26171875,0.50390625,0.375,0.384765625,0.1484375
62.5,0.421875,1.27734375,0.4453125,0.44921875,0.4140625,0.5078125,0.26171875,0.44921875,0.3935546875,0.34765625,0.1484375
65.0,0.421875,0.6875,0.4453125,0.44921875,0.4140625,0.515625,0.26171875,0.39453125,0.314453125,0.201171875,0.1787109375
66.0,0.421875,0.6484375,0.4453125,0.44921875,0.4140625,0.490234375,0.26171875,0.396484375,0.33203125,0.24267578125,0.1787109375
66.5,0.421875,0.7421875,0.4453125,0.44921875,0.4140625,0.46484375,0.26171875,0.3984375,0.349609375,0.2841796875,0.1787109375
67.0,0.421875,0.8359375,0.4453125,0.44921875,0.4140625,0.439453125,0.26171875,0.400390625,0.3671875,0.32568359375,0.1787109375
