strike,2021-05-21,2021-06-18,2021-07-16,2021-08-20,2021-11-19
20.0,0.828125,0.59375,0.71875,0.484375,0.4609375
25.0,0.828125,0.59375,0.71875,0.484375,0.4609375
30.0,0.828125,0.59375,0.53125,0.484375,0.4609375
33.0,0.828125,0.59375,0.625,0.484375,0.451171875
34.0,0.828125,0.59375,0.515625,0.484375,0.44140625
35.0,0.828125,0.59375,0.40625,0.5546875,0.431640625
36.0,0.828125,0.5734375,0.3958333333333333,0.37109375,0.4369140625
37.0,0.828125,0.553125,0.3854166666666667,0.3955078125,0.4421875
38.0,0.890625,0.5328125,0.375,0.419921875,0.4474609375
39.0,0.8125,0.5125,0.39453125,0.9375,0.452734375
40.0,0.765625,0.4921875,0.4140625,0.56640625,0.4580078125
41.0,0.7265625,0.48203125,0.41796875,0.509765625,0.464453125
42.0,0.7578125,0.471875,0.421875,0.453125,0.4708984375
43.0,0.71875,0.46171875,0.419921875,0.283203125,0.47734375
44.0,0.6953125,0.4515625,0.41796875,0.41015625,0.4837890625
45.0,0.6640625,0.44140625,0.416015625,0.248046875,0.490234375
46.0,0.75,0.44140625,0.423828125,0.431640625,0.4703125
47.0,0.6796875,0.44140625,0.431640625,0.2900390625,0.450390625
48.0,0.625,0.44140625,0.4622395833333333,0.1484375,0.43046875
49.0,0.65625,0.44140625,0.4928385416666667,0.2138671875,0.410546875
50.0,0.6875,0.44140625,0.5234375,0.279296875,0.390625
55.0,0.6875,0.44140625,0.5234375,0.3447265625,0.20703125
60.0,0.6875,0.44140625,0.5234375,0.41015625,0.20703125
65.0,0.6875,0.44140625,0.5234375,0.41015625,0.20703125
70.0,0.6875,0.44140625,0.5234375,0.41015625,0.20703125
75.0,0.6875,0.44140625,0.5234375,0.41015625,0.20703125
80.0,0.6875,0.44140625,0.5234375,0.41015625,0.20703125
85.0,0.6875,0.44140625,0.5234375,0.41015625,0.20703125
