strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-16,2021-09-17,2021-12-17
4.0,1.0,1.0625,1.0625,1.0,1.5,1.125,0.9453125,0.8984375,0.8125,0.875
5.0,1.0,1.0625,1.0625,1.0,1.4375,1.125,0.9453125,0.8984375,0.8125,0.875
7.0,1.0,1.0625,1.0625,1.0,1.375,1.125,0.9453125,0.8984375,0.8125,0.8703125
8.0,1.0,1.0625,1.0625,1.0,1.1875,1.0,0.9453125,0.8984375,0.8125,0.865625
9.0,1.0,1.0625,1.0625,1.0,1.1041666666666667,0.96875,0.9453125,0.8984375,0.765625,0.8609375
9.5,1.0,1.0625,1.0625,1.0,1.0208333333333333,0.96875,0.9453125,0.8984375,0.8046875,0.85625
10.0,1.0,1.0625,1.0625,1.0,0.9375,0.96875,0.9453125,0.8984375,0.84375,0.8515625
10.5,1.0,1.0625,1.0,1.125,0.953125,0.9453125,0.9453125,0.8984375,0.84765625,0.84375
11.0,1.0,1.0625,1.0,0.9375,0.96875,0.921875,0.9453125,0.8984375,0.8515625,0.8359375
11.5,1.25,1.0625,1.0,0.953125,0.9296875,0.9296875,0.9453125,0.8984375,0.86328125,0.841796875
12.0,1.375,1.0625,0.90625,1.21875,0.890625,0.9375,0.9453125,0.8984375,0.875,0.84765625
12.5,1.3125,1.09375,1.0,0.9375,0.90625,0.93359375,0.9453125,0.8984375,0.8671875,0.828125
13.0,1.25,1.0625,1.015625,0.90625,0.71875,0.9296875,0.9453125,0.8984375,0.859375,0.80859375
13.5,1.125,1.0,0.984375,0.96875,0.875,0.91796875,0.9453125,0.8984375,0.865234375,0.822265625
14.0,1.1875,1.078125,0.96875,0.84375,0.90625,0.90625,0.9453125,0.8984375,0.87109375,0.8359375
14.5,1.125,1.015625,0.96875,0.875,0.9453125,0.921875,0.9453125,0.8984375,0.892578125,0.84765625
15.0,1.15625,1.078125,1.0,0.953125,0.96875,0.9375,0.9453125,0.8984375,0.9140625,0.859375
15.5,1.21875,1.015625,1.03125,0.875,0.875,0.93359375,0.796875,0.8984375,0.90234375,0.853515625
16.0,1.25,1.078125,1.0,0.921875,0.96875,0.9296875,0.78125,0.8984375,0.890625,0.84765625
