strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-12-17,2021-12-31
19.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
20.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
21.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
22.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
23.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
24.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
25.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
26.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
27.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
28.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
29.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
30.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
31.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
32.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
33.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
34.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.7890625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
35.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.9765625,0.2734375,0.94140625,0.5078125,0.359375,0.265625,0.4296875,0.3037109375,0.26953125
36.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.841796875,0.2734375,0.8890625,0.5078125,0.359375,0.265625,0.4186197916666667,0.3037109375,0.26953125
37.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.70703125,0.2734375,0.83671875,0.5078125,0.359375,0.265625,0.4075520833333333,0.3037109375,0.26953125
38.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.572265625,0.2734375,0.784375,0.5078125,0.359375,0.265625,0.396484375,0.3037109375,0.26953125
39.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.4375,0.2734375,0.73203125,0.5078125,0.359375,0.265625,0.3854166666666667,0.3037109375,0.26953125
40.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.59765625,0.2734375,0.6796875,0.5078125,0.359375,0.42578125,0.3743489583333333,0.3037109375,0.26953125
41.0,0.921875,1.2890625,0.34375,0.4296875,0.3125,0.7578125,0.2734375,0.63671875,0.5078125,0.359375,0.34765625,0.36328125,0.3037109375,0.26953125
42.0,0.921875,1.224609375,0.34375,0.4296875,0.3125,0.6953125,0.2734375,0.59375,0.5078125,0.359375,0.26953125,0.35221354166666663,0.3037109375,0.26953125
43.0,0.921875,1.16015625,0.34375,0.4296875,0.3125,0.625,0.2734375,0.5765625,0.5078125,0.359375,0.37890625,0.3411458333333333,0.3037109375,0.26953125
43.5,0.921875,1.095703125,0.34375,0.4296875,0.3125,0.544921875,0.2734375,0.559375,0.5078125,0.359375,0.3818359375,0.330078125,0.3037109375,0.26953125
44.0,0.921875,1.03125,0.34375,0.4296875,0.3125,0.46484375,0.2734375,0.5421875,0.5078125,0.359375,0.384765625,0.31901041666666663,0.3037109375,0.26953125
44.5,0.921875,0.921875,0.34375,0.4296875,0.3125,0.419921875,0.2734375,0.525,0.439453125,0.359375,0.3671875,0.3079427083333333,0.3037109375,0.26953125
45.0,0.921875,0.8125,0.34375,0.4296875,0.3125,0.375,0.2734375,0.5078125,0.37109375,0.359375,0.349609375,0.296875,0.3037109375,0.26953125
45.5,0.921875,0.65625,0.34375,0.4296875,0.3125,0.37890625,0.2734375,0.5,0.369140625,0.359375,0.3564453125,0.3004557291666667,0.3037109375,0.2412109375
46.0,0.921875,0.5,0.34375,0.4296875,0.3125,0.3828125,0.2734375,0.4921875,0.3671875,0.359375,0.36328125,0.3040364583333333,0.3037109375,0.212890625
46.5,0.921875,0.640625,0.34375,0.4296875,0.3125,0.3785807291666667,0.2734375,0.435546875,0.359375,0.359375,0.3271484375,0.3076171875,0.3037109375,0.1845703125
47.0,0.921875,0.78125,0.34375,0.4296875,0.3125,0.3743489583333333,0.2734375,0.37890625,0.3515625,0.359375,0.291015625,0.3111979166666667,0.3037109375,0.15625
47.5,0.921875,0.6015625,0.34375,0.4296875,0.3125,0.3701171875,0.2734375,0.390625,0.37109375,0.359375,0.2998046875,0.3147786458333333,0.29638671875,0.2255859375
48.0,0.921875,0.625,0.34375,0.4296875,0.3125,0.3658854166666667,0.2734375,0.40234375,0.390625,0.359375,0.30859375,0.318359375,0.2890625,0.294921875
48.5,0.921875,0.859375,0.34375,0.234375,0.3125,0.3616536458333333,0.279296875,0.39453125,0.357421875,0.359375,0.3125,0.3076171875,0.28857421875,0.29345703125
49.0,0.921875,0.5234375,0.34375,0.4453125,0.3125,0.357421875,0.28515625,0.38671875,0.32421875,0.359375,0.31640625,0.296875,0.2880859375,0.2919921875
49.5,0.8125,0.59375,0.34375,0.45703125,0.42578125,0.3531901041666667,0.291015625,0.361328125,0.310546875,0.330078125,0.31640625,0.306640625,0.27880859375,0.2900390625
50.0,0.59375,0.5719401041666666,0.3203125,0.390625,0.390625,0.3489583333333333,0.296875,0.3359375,0.296875,0.30078125,0.31640625,0.31640625,0.26953125,0.2880859375
50.5,0.59375,0.5501302083333334,0.39453125,0.359375,0.4375,0.3447265625,0.3095703125,0.3427734375,0.2919921875,0.29296875,0.30419921875,0.3037109375,0.28173828125,0.29052734375
51.0,0.421875,0.5283203125,0.34375,0.3984375,0.2421875,0.3404947916666667,0.322265625,0.349609375,0.287109375,0.28515625,0.2919921875,0.291015625,0.2939453125,0.29296875
51.5,0.453125,0.5065104166666666,0.39453125,0.36328125,0.39453125,0.3362630208333333,0.3349609375,0.326171875,0.2861328125,0.2880859375,0.2926432291666667,0.29638671875,0.2939453125,0.28125
52.0,0.40625,0.48470052083333337,0.3515625,0.3984375,0.33984375,0.33203125,0.34765625,0.302734375,0.28515625,0.291015625,0.2932942708333333,0.3017578125,0.2939453125,0.26953125
52.5,0.359375,0.462890625,0.3515625,0.34765625,0.337890625,0.3277994791666667,0.275390625,0.2958984375,0.2841796875,0.2998046875,0.2939453125,0.29931640625,0.29833984375,0.27099609375
53.0,0.2734375,0.4410807291666667,0.34375,0.34375,0.31640625,0.3235677083333333,0.33203125,0.2890625,0.283203125,0.30859375,0.2945963541666667,0.296875,0.302734375,0.2724609375
53.5,0.4375,0.41927083333333337,0.33984375,0.34375,0.37109375,0.3193359375,0.349609375,0.28515625,0.2861328125,0.3017578125,0.2952473958333333,0.2919921875,0.294921875,0.27392578125
