strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-12-17,2021-12-31
19.0,0.5,1.0,0.34375,0.4375,0.4140625,1.1875,0.3359375,1.1875,0.3828125,0.359375,0.625,1.1953125,0.3515625,0.474609375
20.0,0.5,1.0,0.34375,0.4375,0.4140625,1.1875,0.3359375,1.1875,0.3828125,0.359375,0.625,0.734375,0.3515625,0.474609375
21.0,0.5,1.0,0.34375,0.4375,0.4140625,1.1875,0.3359375,1.14375,0.3828125,0.359375,0.625,0.890625,0.3515625,0.474609375
22.0,0.5,1.0,0.34375,0.4375,0.4140625,1.1875,0.3359375,1.1,0.3828125,0.359375,0.625,0.6875,0.3515625,0.474609375
23.0,0.5,1.0,0.34375,0.4375,0.4140625,1.1875,0.3359375,1.05625,0.3828125,0.359375,0.625,0.640625,0.3515625,0.474609375
24.0,0.5,1.0,0.34375,0.4375,0.4140625,1.0,0.3359375,1.0125,0.3828125,0.359375,0.625,0.78125,0.3515625,0.474609375
25.0,0.5,1.0,0.34375,0.4375,0.4140625,1.0,0.3359375,0.96875,0.3828125,0.359375,0.625,0.640625,0.3515625,0.474609375
26.0,0.5,1.0,0.34375,0.4375,0.4140625,0.5,0.3359375,0.9375,0.3828125,0.359375,0.625,0.6484375,0.3515625,0.474609375
27.0,0.5,1.0,0.34375,0.4375,0.4140625,0.875,0.3359375,0.84375,0.3828125,0.359375,0.734375,0.71875,0.3515625,0.474609375
28.0,0.5,1.0,0.34375,0.4375,0.4140625,0.875,0.3359375,0.796875,0.3828125,0.359375,0.6328125,0.515625,0.3515625,0.474609375
29.0,0.5,1.0,0.34375,0.4375,0.4140625,0.75,0.3359375,0.78125,0.3828125,0.359375,0.5,0.5,0.3515625,0.474609375
30.0,0.5,1.0,0.34375,0.4375,0.4140625,0.875,0.3359375,0.71875,0.3828125,0.359375,0.46875,0.5,0.3515625,0.474609375
31.0,0.5,1.0,0.34375,0.4375,0.4140625,0.9375,0.3359375,1.14453125,0.3828125,0.359375,0.46875,0.578125,0.3515625,0.474609375
32.0,0.5,1.0,0.34375,0.4375,0.4140625,0.625,0.3359375,0.828125,0.3828125,0.359375,0.515625,0.5,0.3515625,0.474609375
33.0,0.5,1.0,0.34375,0.4375,0.4140625,0.78125,0.3359375,0.625,0.3828125,0.359375,0.5078125,0.4609375,0.3515625,0.474609375
34.0,0.5,1.0,0.34375,0.4375,0.4140625,0.6875,0.3359375,0.5625,0.3828125,0.359375,0.45703125,0.5703125,0.3515625,0.474609375
35.0,0.5,1.0,0.34375,0.4375,0.4140625,0.625,0.3359375,0.6484375,0.3828125,0.359375,0.421875,0.63671875,0.3515625,0.474609375
36.0,0.5,1.0,0.34375,0.4375,0.4140625,0.5625,0.3359375,0.6484375,0.3828125,0.359375,0.421875,0.453125,0.3515625,0.474609375
37.0,0.5,0.875,0.34375,0.4375,0.4140625,0.5,0.3359375,0.5625,0.3828125,0.359375,0.4375,0.421875,0.3515625,0.474609375
38.0,0.5,0.9375,0.34375,0.4375,0.4140625,0.609375,0.3359375,0.5,0.3828125,0.359375,0.390625,0.3984375,0.3515625,0.474609375
39.0,0.5,0.5,0.34375,0.4375,0.4140625,0.5,0.3359375,0.46875,0.3828125,0.359375,0.41015625,0.3876953125,0.3515625,0.474609375
40.0,0.5,0.75,0.34375,0.4375,0.4140625,0.46875,0.3359375,0.4375,0.3828125,0.359375,0.376953125,0.376953125,0.376953125,0.474609375
41.0,0.5,0.6875,0.34375,0.4375,0.4140625,0.453125,0.3359375,0.421875,0.3828125,0.359375,0.42578125,0.3662109375,0.435546875,0.474609375
42.0,0.5,0.5,0.34375,0.4375,0.4140625,0.4375,0.3359375,0.53515625,0.3828125,0.359375,0.4296875,0.35546875,0.375,0.474609375
43.0,0.5,0.5,0.34375,0.4375,0.4140625,0.4299172794117647,0.3359375,0.3828125,0.3984375,0.359375,0.34765625,0.357421875,0.37109375,0.474609375
43.5,0.5,0.5,0.34375,0.4375,0.4140625,0.42233455882352944,0.3359375,0.37890625,0.37890625,0.361328125,0.3525390625,0.3642578125,0.3515625,0.474609375
44.0,0.5,0.5,0.34375,0.4375,0.4140625,0.4147518382352941,0.3359375,0.375,0.359375,0.36328125,0.357421875,0.37109375,0.33203125,0.474609375
44.5,0.5,0.5,0.34375,0.4375,0.4140625,0.4071691176470588,0.3359375,0.3671875,0.349609375,0.357421875,0.3486328125,0.35546875,0.330078125,0.4033203125
45.0,0.5,0.5,0.34375,0.4375,0.4140625,0.39958639705882354,0.3359375,0.359375,0.33984375,0.3515625,0.33984375,0.33984375,0.328125,0.33203125
