strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-16,2021-08-20,2021-09-17,2021-10-15,2021-11-19
21.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
22.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
23.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
24.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
25.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
26.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
27.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
28.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
29.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
30.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
31.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.41796875
32.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.375,0.3359375,0.7265625,0.25,0.4140625,0.2265625,0.3125
33.0,0.375,0.8125,0.3125,0.421875,0.4296875,0.71875,0.3359375,0.28125,0.296875,0.50390625,0.234375,0.33203125
33.5,0.375,1.09375,0.3125,0.421875,0.4296875,0.6484375,0.3359375,0.28125,0.296875,0.4873046875,0.2421875,0.3359375
34.0,0.375,1.125,0.3125,0.421875,0.4296875,0.578125,0.3359375,0.28125,0.296875,0.470703125,0.25,0.33984375
34.5,0.375,1.15625,0.3125,0.421875,0.4296875,0.5078125,0.3359375,0.28125,0.2734375,0.3759765625,0.255859375,0.310546875
35.0,0.375,0.875,0.3125,0.421875,0.4296875,0.4375,0.3359375,0.28125,0.25,0.28125,0.26171875,0.28125
35.5,0.375,0.59375,0.3125,0.421875,0.4296875,0.3671875,0.3359375,0.271484375,0.26171875,0.275390625,0.2587890625,0.2734375
36.0,0.375,0.53125,0.3125,0.421875,0.4296875,0.296875,0.3359375,0.26171875,0.2734375,0.26953125,0.255859375,0.265625
36.5,0.375,0.796875,0.3125,0.421875,0.4296875,0.296875,0.27734375,0.263671875,0.2705078125,0.271484375,0.2607421875,0.298828125
37.0,0.375,0.7083333333333334,0.3125,0.421875,0.4296875,0.296875,0.21875,0.265625,0.267578125,0.2734375,0.265625,0.33203125
37.5,0.375,0.6197916666666666,0.3125,0.421875,0.4296875,0.2734375,0.2587890625,0.2568359375,0.2744140625,0.3193359375,0.2578125,0.2998046875
38.0,0.375,0.53125,0.3125,0.2734375,0.4296875,0.25,0.298828125,0.248046875,0.28125,0.365234375,0.25,0.267578125
38.5,0.375,0.4427083333333333,0.3125,0.2890625,0.4296875,0.25,0.3388671875,0.2646484375,0.28125,0.328125,0.2578125,0.2685546875
39.0,0.375,0.35416666666666663,0.3125,0.2578125,0.4296875,0.25,0.37890625,0.28125,0.28125,0.291015625,0.265625,0.26953125
39.5,0.375,0.265625,0.3203125,0.296875,0.484375,0.251953125,0.29296875,0.2734375,0.2763671875,0.27734375,0.263671875,0.2646484375
40.0,0.375,0.2734375,0.265625,0.25,0.2578125,0.25390625,0.26171875,0.265625,0.271484375,0.263671875,0.26171875,0.259765625
40.5,0.40625,0.265625,0.296875,0.296875,0.25,0.25,0.26171875,0.265625,0.26953125,0.267578125,0.2841796875,0.26171875
41.0,0.375,0.265625,0.2734375,0.2578125,0.25390625,0.24609375,0.26171875,0.265625,0.267578125,0.271484375,0.306640625,0.263671875
41.5,0.28125,0.265625,0.2890625,0.2578125,0.2578125,0.248046875,0.25390625,0.265625,0.271484375,0.271484375,0.2880859375,0.259765625
42.0,0.296875,0.265625,0.2734375,0.25,0.24609375,0.25,0.25,0.265625,0.275390625,0.271484375,0.26953125,0.255859375
42.5,0.296875,0.2734375,0.265625,0.25,0.2578125,0.251953125,0.25390625,0.263671875,0.267578125,0.2666015625,0.26953125,0.2568359375
43.0,0.3125,0.2734375,0.265625,0.26171875,0.25390625,0.25390625,0.2578125,0.26171875,0.259765625,0.26171875,0.26953125,0.2578125
43.5,0.34375,0.2890625,0.265625,0.25,0.2421875,0.251953125,0.234375,0.26171875,0.26171875,0.259765625,0.2646484375,0.2587890625
44.0,0.375,0.28125,0.2734375,0.25390625,0.25390625,0.25,0.24609375,0.26171875,0.263671875,0.2578125,0.259765625,0.259765625
44.5,0.375,0.28125,0.2734375,0.265625,0.26171875,0.2578125,0.24609375,0.26171875,0.265625,0.26171875,0.263671875,0.26171875
45.0,0.4375,0.3125,0.2890625,0.265625,0.25,0.265625,0.267578125,0.26171875,0.267578125,0.265625,0.267578125,0.263671875
45.5,0.5,0.3125,0.296875,0.28125,0.2578125,0.26171875,0.2890625,0.2646484375,0.2607421875,0.2578125,0.2705078125,0.26171875
46.0,0.5,0.3125,0.296875,0.2734375,0.28125,0.2578125,0.26953125,0.267578125,0.25390625,0.25,0.2734375,0.259765625
46.5,0.5625,0.375,0.34375,0.265625,0.25,0.26171875,0.2734375,0.2646484375,0.2587890625,0.2548828125,0.2666015625,0.2578125
47.0,0.625,0.375,0.328125,0.3125,0.265625,0.265625,0.296875,0.26171875,0.263671875,0.259765625,0.259765625,0.255859375
48.0,0.5,0.4375,0.34375,0.328125,0.296875,0.2734375,0.2890625,0.265625,0.28515625,0.28515625,0.267578125,0.265625
48.5,0.5,0.46875,0.375,0.34375,0.3125,0.27734375,0.2890625,0.265625,0.2734375,0.28515625,0.2705078125,0.265625
49.0,0.5,0.5,0.390625,0.359375,0.328125,0.28125,0.30078125,0.265625,0.26171875,0.28515625,0.2734375,0.265625
50.0,0.5,0.5,0.40625,0.375,0.34375,0.28125,0.3125,0.265625,0.26953125,0.26171875,0.27734375,0.265625
55.0,0.5,0.78125,0.40625,0.375,0.34375,0.25,0.3125,0.28125,0.296875,0.296875,0.28125,0.2734375
