strike,2021-06-18,2021-09-17
32.5,0.0390625,0.033203125
35.0,0.0390625,0.033203125
37.5,0.0390625,0.033203125
40.0,0.0390625,0.033203125
42.5,0.0390625,0.033203125
45.0,0.0390625,0.033203125
47.5,0.0390625,0.033203125
50.0,0.0390625,0.033203125
52.5,0.0390625,0.033203125
55.0,0.0390625,0.033203125
57.5,0.0390625,0.033203125
60.0,0.0390625,0.033203125
62.5,0.0390625,0.033203125
65.0,0.0390625,0.033203125
67.5,0.0390625,0.033203125
70.0,0.0390625,0.033203125
72.5,0.0390625,0.033203125
75.0,0.0390625,0.033203125
80.0,0.166015625,0.107421875
85.0,0.2734375,0.166015625
90.0,0.2890625,0.1796875
95.0,0.4140625,0.1796875
