strike,2021-06-18,2021-09-17
32.5,1.828125,1.19921875
35.0,1.828125,1.072265625
37.5,1.828125,1.0859375
40.0,1.8671875,1.1171875
42.5,1.89453125,1.15625
45.0,1.98828125,1.16796875
47.5,1.98828125,1.18359375
50.0,1.98828125,1.189453125
52.5,1.98828125,1.306640625
55.0,1.98828125,1.5830078125
57.5,1.98828125,1.6943359375
60.0,1.98828125,1.609375
62.5,1.98828125,1.681640625
65.0,1.98828125,1.447265625
67.5,1.98828125,1.9267578125
70.0,1.98828125,1.8447265625
72.5,1.98828125,1.7626953125
75.0,1.98828125,1.6806640625
80.0,1.98828125,1.5986328125
85.0,1.98828125,1.5166015625
90.0,1.98828125,1.5166015625
95.0,1.98828125,1.5166015625
