strike,2021-05-21,2021-07-16
25.0,0.875,0.2578125
30.0,0.875,0.2578125
33.0,0.875,0.2578125
34.0,0.875,0.2578125
35.0,0.875,0.2578125
36.0,0.875,0.2578125
37.0,0.875,0.2578125
38.0,0.875,0.2578125
40.0,0.875,0.2578125
41.0,0.875,0.525390625
42.0,0.875,0.79296875
43.0,0.875,0.7005208333333334
44.0,0.875,0.6080729166666666
45.0,0.875,0.515625
46.0,1.109375,0.576171875
47.0,1.34375,0.63671875
50.0,1.15625,0.44921875
55.0,1.3255208333333333,0.94921875
60.0,1.4947916666666667,0.59765625
65.0,1.6640625,0.6875
70.0,1.6640625,0.71875
