strike,2021-06-18,2021-06-30,2021-09-30
22.0,1.8125,1.85546875,1.0625
23.0,1.8125,1.85546875,1.04296875
24.0,1.8125,1.85546875,1.2421875
25.0,1.78125,1.85546875,1.05078125
26.0,1.796875,1.85546875,1.173828125
27.0,1.796875,1.85546875,1.296875
28.0,1.8828125,1.85546875,1.34765625
29.0,1.8828125,1.85546875,1.109375
30.0,1.96484375,1.85546875,1.1328125
31.0,1.984375,1.85546875,1.1796875
32.0,1.984375,1.8125,1.203125
33.0,1.984375,1.8984375,1.177734375
34.0,1.984375,1.94921875,1.541015625
35.0,1.984375,1.9453125,1.529296875
36.0,1.984375,1.9453125,1.291015625
37.0,1.984375,1.9453125,1.4375
38.0,1.984375,1.9453125,1.583984375
39.0,1.984375,1.9453125,1.578125
40.0,1.984375,1.9453125,1.605078125
41.0,1.984375,1.9453125,1.63203125
42.0,1.984375,1.9453125,1.658984375
43.0,1.984375,1.9453125,1.6859375
44.0,1.984375,1.9453125,1.712890625
45.0,1.984375,1.9453125,1.533203125
46.0,1.984375,1.9453125,1.533203125
47.0,1.984375,1.9453125,1.533203125
48.0,1.984375,1.9453125,1.533203125
49.0,1.984375,1.9453125,1.533203125
50.0,1.984375,1.9453125,1.533203125
