strike,2021-06-18
80.0,0.98046875
85.0,0.9609375
90.0,1.103515625
94.0,0.94921875
95.0,0.94921875
96.0,0.9453125
97.0,0.861328125
99.0,0.939453125
101.0,0.791015625
102.0,0.8330078125
105.0,0.875
106.0,0.9169921875
107.0,0.958984375
108.0,0.9293619791666666
109.0,0.8997395833333334
110.0,0.8701171875
111.0,0.9132486979166666
112.0,0.9563802083333334
113.0,0.99951171875
114.0,1.0426432291666667
115.0,1.0857747395833333
117.0,1.12890625
118.0,1.12890625
120.0,1.12890625
121.0,1.12890625
125.0,1.12890625
130.0,1.12890625
140.0,1.12890625
145.0,1.12890625
150.0,1.12890625
