strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-16,2021-08-20,2021-09-17,2021-10-15,2021-11-19
21.0,0.5,1.5,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.4375,0.46875,0.37109375
22.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.4375,0.46875,0.37109375
23.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.4375,0.46875,0.37109375
24.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.4375,0.46875,0.37109375
25.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.4375,0.4505208333333333,0.37109375
26.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.4375,0.4322916666666667,0.37109375
27.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.4296875,0.4140625,0.37109375
28.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.4375,0.375,0.37109375
29.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.46875,0.38671875,0.421875,0.390625,0.37109375
30.0,0.5,1.0,0.359375,0.390625,0.390625,0.5,0.3984375,0.453125,0.38671875,0.42578125,0.390625,0.37109375
31.0,0.5,0.875,0.359375,0.390625,0.390625,0.5,0.3984375,0.4453125,0.38671875,0.3984375,0.37109375,0.37109375
32.0,0.5,0.875,0.359375,0.390625,0.390625,0.46875,0.3984375,0.421875,0.38671875,0.375,0.359375,0.3671875
33.0,0.5,0.75,0.359375,0.390625,0.390625,0.4375,0.3984375,0.40625,0.390625,0.359375,0.390625,0.361328125
33.5,0.5,0.6875,0.359375,0.390625,0.390625,0.421875,0.3984375,0.3984375,0.38671875,0.361328125,0.37109375,0.357421875
34.0,0.5,0.6875,0.359375,0.390625,0.390625,0.40625,0.3984375,0.390625,0.3828125,0.36328125,0.3515625,0.353515625
34.5,0.5,0.625,0.359375,0.390625,0.390625,0.390625,0.3984375,0.3828125,0.3671875,0.3603515625,0.34765625,0.3505859375
35.0,0.5,0.5625,0.359375,0.390625,0.390625,0.375,0.3984375,0.375,0.3515625,0.357421875,0.34375,0.34765625
35.5,0.5,0.5625,0.359375,0.390625,0.390625,0.375,0.404296875,0.369140625,0.3466796875,0.349609375,0.341796875,0.341796875
36.0,0.5,0.5625,0.359375,0.390625,0.390625,0.375,0.41015625,0.36328125,0.341796875,0.341796875,0.33984375,0.3359375
36.5,0.5,0.5,0.359375,0.375,0.390625,0.3671875,0.3125,0.3515625,0.3349609375,0.33984375,0.341796875,0.337890625
