strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-09-17,2021-12-17
8.0,1.5,1.71875,1.0,1.03125,1.2109375,1.4375,0.92578125,0.90625,1.1328125
9.0,1.5,1.71875,1.0,1.03125,1.2109375,1.4375,0.92578125,0.90625,1.1328125
10.0,1.5,1.71875,1.0,1.03125,1.2109375,1.4375,0.92578125,0.90625,1.1328125
11.0,1.5,1.71875,1.0,1.03125,1.2109375,1.4375,0.92578125,0.90625,1.1328125
12.0,1.5,1.71875,1.0,1.03125,1.2109375,1.625,0.92578125,0.90625,1.1328125
13.0,1.5,1.71875,1.0,1.03125,1.2109375,1.7265625,0.92578125,0.90625,1.1328125
14.0,1.5,1.71875,1.0,1.03125,1.2109375,1.828125,0.92578125,0.90625,1.1328125
15.0,1.5,1.71875,1.0,1.03125,1.2109375,1.5234375,0.92578125,0.90625,1.1328125
16.0,1.5,1.71875,1.0,1.03125,1.2109375,1.3359375,0.92578125,0.89453125,1.0794270833333333
17.0,1.5,1.6510416666666667,1.0,1.03125,1.2109375,1.453125,0.92578125,0.8828125,1.0260416666666667
17.5,1.5,1.5833333333333333,1.3046875,1.03125,1.2109375,1.1171875,0.92578125,0.87109375,0.97265625
18.0,1.5,1.515625,1.609375,1.03125,1.2109375,0.78125,0.92578125,0.859375,0.9140625
19.0,1.5,1.09375,1.0,1.03125,1.2109375,0.859375,0.92578125,0.84765625,0.85546875
20.0,1.5,1.0,1.1015625,1.03125,1.2109375,0.984375,0.92578125,0.8359375,0.796875
21.0,1.375,1.109375,1.078125,1.03125,1.2109375,0.9375,0.92578125,0.8385416666666666,0.8037109375
21.5,1.28125,1.1171875,1.09375,1.03125,1.2109375,0.9375,0.9296875,0.8411458333333334,0.810546875
22.0,1.1875,1.125,1.109375,1.03125,1.2109375,0.9375,0.953125,0.84375,0.8173828125
22.5,1.21875,1.09375,1.09765625,1.03125,1.2109375,0.947265625,0.9375,0.8463541666666666,0.82421875
23.0,1.25,1.109375,1.0859375,1.03125,1.2109375,0.95703125,0.859375,0.8489583333333334,0.822265625
23.5,1.3125,1.140625,1.078125,1.03125,1.2109375,0.955078125,0.9921875,0.8515625,0.8203125
24.0,1.375,1.140625,1.109375,1.03125,1.2109375,0.953125,0.9296875,0.8541666666666666,0.818359375
24.5,1.5,1.1484375,1.1015625,1.03125,1.2109375,0.96484375,0.921875,0.8567708333333334,0.81640625
25.0,1.625,1.15625,1.09375,1.03125,1.2109375,0.9765625,0.94921875,0.859375,0.814453125
25.5,1.6875,1.1875,1.09375,1.015625,1.2109375,0.97265625,0.953125,0.859375,0.8162109375
26.0,1.75,1.21875,1.09375,1.0234375,1.2109375,0.96875,1.140625,0.859375,0.81796875
26.5,1.75,1.21875,1.125,1.0,1.1953125,0.96875,0.9296875,0.859375,0.8197265625
27.0,1.75,1.265625,1.109375,1.0546875,1.0,0.96875,0.9140625,0.859375,0.821484375
27.5,1.75,1.265625,1.1875,1.0625,1.015625,0.975,1.0859375,0.859375,0.8232421875
28.0,1.75,1.3125,1.15625,1.09375,1.0,0.98125,0.953125,0.859375,0.825
28.5,1.75,1.34375,1.125,1.078125,1.1796875,0.9875,1.03125,0.859375,0.8267578125
29.0,1.75,1.40625,1.1875,1.0625,1.203125,0.99375,0.9609375,0.859375,0.828515625
29.5,1.75,1.4375,1.265625,1.09375,1.0390625,1.0,0.98046875,0.859375,0.8302734375
30.0,1.75,1.4375,1.234375,1.109375,1.03125,1.00625,1.0,0.859375,0.83203125
30.5,1.75,1.4375,1.328125,1.21875,1.59375,1.0125,0.984375,0.8640625,0.83125
31.0,1.75,1.46875,1.265625,1.1875,1.0625,1.01875,1.0,0.86875,0.83046875
31.5,1.75,1.53125,1.40625,1.296875,1.1484375,1.025,1.0,0.8734375,0.8296875
32.0,1.75,1.53125,1.28125,1.1875,1.234375,1.03125,1.0,0.878125,0.82890625
32.5,1.75,1.5625,1.484375,1.171875,1.1875,1.0375,1.0,0.8828125,0.828125
33.0,1.75,1.625,1.3125,1.15625,1.140625,1.04375,1.0,0.8875,0.82734375
33.5,1.75,1.65625,1.34375,1.1875,1.0,1.05,1.0,0.8921875,0.8265625
34.0,1.75,1.625,1.34375,1.1875,1.1875,1.05625,1.0,0.896875,0.82578125
34.5,1.75,1.625,1.34375,1.1953125,1.21875,1.0625,1.0,0.9015625,0.825
35.0,1.75,1.75,1.375,1.203125,1.1875,1.06875,1.0,0.90625,0.82421875
35.5,1.75,1.75,1.40625,1.2171875,1.196875,1.075,1.0,0.90703125,0.827734375
36.0,1.75,1.75,1.5,1.23125,1.20625,1.08125,1.0,0.9078125,0.83125
36.5,1.75,1.75,1.53125,1.2453125,1.215625,1.0875,1.0,0.90859375,0.834765625
37.0,1.75,1.75,1.46875,1.259375,1.225,1.09375,1.0,0.909375,0.83828125
37.5,1.75,1.7708333333333333,1.59375,1.2734375,1.234375,1.1015625,1.0,0.91015625,0.841796875
