strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-16,2021-08-20,2021-09-17,2021-12-17
4.0,1.375,1.3125,1.1875,1.609375,1.640625,0.75,1.0,0.953125,1.359375,0.953125,1.65625
5.0,1.375,1.3125,1.1875,1.609375,1.640625,0.75,1.0,0.953125,1.359375,0.953125,1.65625
6.0,1.375,1.3125,1.1875,1.609375,1.640625,0.75,1.0,0.953125,1.359375,0.953125,1.5625
7.0,1.375,1.3125,1.1875,1.609375,1.640625,0.75,1.0,0.953125,1.359375,0.953125,1.46875
8.0,1.375,1.3125,1.1875,1.609375,1.640625,0.75,1.0,0.953125,1.359375,1.125,1.375
9.0,1.375,1.3125,1.1875,1.609375,1.640625,1.03125,1.0,0.953125,1.359375,1.296875,1.28125
9.5,1.375,1.3125,1.1875,1.609375,1.640625,0.984375,1.0,0.953125,1.359375,1.07421875,1.1875
10.0,1.375,1.3125,1.1875,1.609375,1.640625,0.9375,1.0,0.953125,1.359375,0.8515625,1.09375
10.5,1.375,1.3125,0.9375,1.3359375,1.640625,0.953125,1.0,0.953125,1.359375,0.869140625,1.0859375
11.0,1.375,1.3125,0.6875,1.0625,1.640625,0.96875,1.0,0.953125,1.359375,0.88671875,1.078125
11.5,1.375,1.3125,0.84375,1.046875,1.640625,0.9921875,1.0,0.953125,1.359375,0.873046875,0.955078125
12.0,1.375,1.21875,1.0,1.03125,1.640625,1.015625,1.0,0.953125,1.359375,0.859375,0.83203125
12.5,1.375,1.0,1.03125,1.03125,1.03125,1.0078125,1.0,0.953125,1.359375,0.8671875,0.826171875
13.0,1.375,1.1875,1.09375,1.0625,1.015625,1.0,1.0,0.953125,1.359375,0.875,0.8203125
13.5,1.25,1.140625,1.09375,1.015625,1.015625,0.9921875,1.0,0.953125,1.314453125,0.8828125,0.83984375
14.0,1.3125,1.15625,1.140625,1.0,1.015625,0.984375,1.0,0.953125,1.26953125,0.890625,0.859375
14.5,1.375,1.15625,1.0625,1.0,1.0,0.9921875,1.0,0.953125,1.224609375,0.89453125,0.845703125
15.0,1.5,1.1875,1.125,1.046875,1.03125,1.0,1.0,0.953125,1.1796875,0.8984375,0.83203125
