strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-09-17,2021-12-17
0.5,1.875,1.0,0.875,1.0,0.9375,1.5,1.53125,1.125,1.6875
1.0,1.875,1.0,0.875,1.0,0.9375,1.5,1.53125,1.125,1.6875
1.5,1.875,1.0,0.875,1.0,0.9375,1.5,1.53125,1.125,1.34375
2.0,1.875,1.0,0.875,1.0,0.9375,1.5,1.53125,1.125,1.0
2.5,1.875,1.0,0.875,1.0,0.9375,1.0,1.53125,1.140625,1.21875
3.0,1.875,1.0,0.875,1.0,0.9375,0.5,1.53125,1.15625,1.4375
3.5,1.875,1.0,0.875,1.0,0.9375,0.875,1.53125,1.28125,1.4453125
4.0,1.875,1.0,0.875,1.375,0.9375,1.25,1.125,1.40625,1.453125
4.5,1.875,1.5625,1.5,1.4375,1.21875,1.40625,1.40625,1.484375,1.5234375
5.0,1.875,1.75,1.5625,1.625,1.53125,1.5625,1.46875,1.5625,1.59375
5.5,1.875,1.96875,1.8125,1.625,1.625,1.640625,1.5,1.6171875,1.59375
6.0,1.875,1.96875,1.9375,1.84375,1.75,1.71875,1.71875,1.671875,1.59375
6.5,1.875,1.96875,1.75,1.9375,1.75,1.8125,1.84375,1.640625,1.6484375
7.0,1.875,1.96875,1.75,1.9375,1.984375,1.90625,1.75,1.609375,1.703125
7.5,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.8125,1.671875,1.6640625
8.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.9375,1.734375,1.625
8.5,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.7890625,1.71484375
9.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.84375,1.8046875
9.5,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.84375,1.8203125
10.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.84375,1.8359375
10.5,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.8671875,1.8359375
11.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.890625,1.8359375
11.5,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.8828125,1.8359375
12.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.875,1.8359375
13.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.984375,1.8359375
14.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.953125,1.8359375
15.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.890625,1.8359375
16.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.96875,1.8359375
17.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.96875,1.8359375
18.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.96875,1.8359375
19.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.98046875,1.8359375
20.0,1.875,1.96875,1.75,1.9375,1.9375,1.90625,1.96875,1.9921875,1.8359375
