contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
MSFT210514C00175000,2021-05-14 17:43:31,7.0,175.0,71.25,75.3,73.44,call,2021-05-14,0.0,
MSFT210514C00185000,2021-05-14 14:32:21,1.0,185.0,61.85,65.3,61.81,call,2021-05-14,0.0,
MSFT210514C00190000,2021-05-14 19:34:14,30.0,190.0,57.7,60.2,58.4,call,2021-05-14,0.0,
MSFT210514C00195000,2021-05-14 14:18:49,1.0,195.0,52.65,55.3,52.37,call,2021-05-14,0.0,
MSFT210514C00200000,2021-05-14 19:00:34,11.0,200.0,46.6,49.9,48.82,call,2021-05-14,0.0,
MSFT210514C00205000,2021-05-10 15:05:02,5.0,205.0,41.6,45.5,45.03,call,2021-05-14,0.0,
MSFT210514C00210000,2021-05-13 18:13:47,30.0,210.0,37.9,40.25,33.65,call,2021-05-14,0.0,
MSFT210514C00212500,2021-05-13 13:46:23,5.0,212.5,34.65,38.0,30.15,call,2021-05-14,0.0,
MSFT210514C00215000,2021-05-14 15:34:55,20.0,215.0,33.0,35.15,32.45,call,2021-05-14,0.0,
MSFT210514C00217500,2021-05-13 13:33:47,1.0,217.5,29.75,32.8,24.95,call,2021-05-14,0.0,
MSFT210514C00220000,2021-05-14 17:30:49,20.0,220.0,27.9,30.25,28.53,call,2021-05-14,0.0,
MSFT210514C00222500,2021-05-10 18:10:23,1.0,222.5,24.4,27.8,26.2,call,2021-05-14,0.0,
MSFT210514C00225000,2021-05-14 13:59:12,40.0,225.0,22.35,25.25,22.46,call,2021-05-14,0.0,
MSFT210514C00227500,2021-05-14 18:07:04,4.0,227.5,19.55,22.75,22.0,call,2021-05-14,0.0,
MSFT210514C00230000,2021-05-14 19:39:29,81.0,230.0,17.9,19.1,18.8,call,2021-05-14,0.0,
MSFT210514C00232500,2021-05-14 19:41:32,8.0,232.5,15.35,17.8,15.9,call,2021-05-14,0.0,
MSFT210514C00235000,2021-05-14 19:30:52,41.0,235.0,12.85,15.0,13.55,call,2021-05-14,0.0,
MSFT210514C00237500,2021-05-14 19:41:41,42.0,237.5,9.95,12.3,11.35,call,2021-05-14,0.0,
MSFT210514C00240000,2021-05-14 19:57:01,592.0,240.0,7.5,8.75,8.5,call,2021-05-14,0.0,
MSFT210514C00242500,2021-05-14 19:58:54,1052.0,242.5,5.05,6.15,5.7,call,2021-05-14,0.0,
MSFT210514C00257500,2021-05-14 19:52:08,745.0,257.5,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00260000,2021-05-14 19:44:14,1401.0,260.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00262500,2021-05-14 19:43:44,208.0,262.5,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00265000,2021-05-14 19:47:26,206.0,265.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00267500,2021-05-14 19:52:18,273.0,267.5,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00270000,2021-05-14 19:58:06,27.0,270.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00272500,2021-05-14 19:23:55,37.0,272.5,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00275000,2021-05-14 18:56:31,4.0,275.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00277500,2021-05-13 19:38:01,4.0,277.5,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00280000,2021-05-14 18:37:42,15.0,280.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00282500,2021-05-14 17:02:42,2.0,282.5,0.01,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00285000,2021-05-12 19:46:01,56.0,285.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00290000,2021-05-13 15:49:16,2.0,290.0,0.0,0.01,0.03,call,2021-05-14,0.0,
MSFT210514C00295000,2021-05-14 16:17:46,1.0,295.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00300000,2021-05-14 19:48:01,1.0,300.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00305000,2021-05-14 19:53:45,1.0,305.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00310000,2021-05-07 14:31:23,10.0,310.0,0.0,0.47,0.01,call,2021-05-14,0.0,
MSFT210514C00315000,2021-05-11 14:59:15,1.0,315.0,0.0,0.01,0.07,call,2021-05-14,0.0,
MSFT210514C00320000,2021-05-10 13:30:16,2.0,320.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514C00325000,2021-05-13 15:20:49,10.0,325.0,0.0,0.01,0.01,call,2021-05-14,0.0,
MSFT210514P00165000,2021-05-12 19:15:24,8.0,165.0,0.0,2.07,0.01,put,2021-05-14,0.0,
MSFT210514P00170000,2021-05-12 19:56:21,64.0,170.0,0.0,0.01,0.01,put,2021-05-14,0.0,
MSFT210514P00175000,2021-05-11 19:43:47,75.0,175.0,0.0,0.01,0.01,put,2021-05-14,0.0,
