strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-09-17,2021-12-17
9.0,1.875,1.5,1.03125,1.4296875,1.5,1.00390625,0.9609375,0.85546875
10.0,1.875,1.5,1.03125,1.4296875,1.375,1.00390625,0.9609375,0.85546875
11.0,1.875,1.5,1.03125,1.4296875,1.3125,1.00390625,0.9609375,0.85546875
12.0,1.875,1.5,1.03125,1.4296875,1.34375,1.00390625,0.9609375,0.85546875
13.0,1.875,1.5,1.03125,1.4296875,1.21875,1.00390625,0.9609375,0.85546875
14.0,1.875,1.5,1.03125,1.4296875,1.15625,1.00390625,0.9609375,0.85546875
15.0,1.875,1.5,1.03125,1.4296875,1.125,1.00390625,0.9609375,0.85546875
16.0,1.8125,1.40625,1.03125,1.4296875,1.078125,1.00390625,0.9479166666666666,0.8528645833333334
17.0,1.625,1.375,1.03125,1.4296875,1.046875,1.00390625,0.9348958333333334,0.8502604166666666
17.5,1.5625,1.3125,1.03125,1.4296875,1.03125,1.00390625,0.921875,0.84765625
18.0,1.5,1.25,1.03125,1.4296875,1.015625,1.00390625,0.9088541666666666,0.84765625
19.0,1.4375,1.1875,1.03125,1.4296875,1.0,1.00390625,0.8958333333333334,0.84765625
20.0,1.3125,1.171875,1.03125,1.4296875,0.96875,1.00390625,0.8828125,0.84765625
21.0,1.25,1.125,1.03125,1.4296875,0.9609375,1.00390625,0.8802083333333334,0.841796875
21.5,1.2109375,1.10546875,1.03125,1.4296875,0.95703125,1.00390625,0.8776041666666666,0.8359375
22.0,1.171875,1.0859375,1.03125,1.4296875,0.953125,0.98828125,0.875,0.830078125
22.5,1.15625,1.06640625,1.03125,1.4296875,0.94140625,1.3046875,0.8723958333333334,0.82421875
23.0,1.125,1.046875,1.03125,1.4296875,0.9296875,0.8359375,0.8697916666666666,0.8265625
23.5,1.09375,1.015625,1.03125,1.4296875,0.92578125,1.0234375,0.8671875,0.82890625
24.0,1.078125,1.0625,1.03125,1.4296875,0.921875,0.890625,0.8645833333333334,0.83125
24.5,1.078125,1.04296875,1.03125,1.4296875,0.92578125,0.9609375,0.8619791666666666,0.83359375
25.0,1.078125,1.0234375,1.03125,1.4296875,0.9296875,0.9609375,0.859375,0.8359375
25.5,1.09375,1.0390625,0.9609375,1.4296875,0.92578125,0.921875,0.8603515625,0.8337890625
26.0,1.109375,1.0546875,0.90625,0.84375,0.921875,1.0078125,0.861328125,0.831640625
26.5,1.125,1.078125,1.03125,1.2578125,0.9375,1.609375,0.8623046875,0.8294921875
27.0,1.125,1.015625,1.1640625,1.53125,0.953125,0.81640625,0.86328125,0.82734375
27.5,1.140625,1.125,1.2109375,1.8671875,0.953125,0.916015625,0.8642578125,0.8251953125
28.0,1.1875,1.0859375,0.953125,1.5703125,0.953125,1.015625,0.865234375,0.823046875
28.5,1.203125,1.15625,1.5546875,1.0859375,0.9616477272727273,1.11328125,0.8662109375,0.8208984375
29.0,1.609375,1.375,1.125,1.44140625,0.9701704545454546,1.2109375,0.8671875,0.81875
29.5,1.890625,1.40234375,0.859375,1.796875,0.9786931818181818,1.91796875,0.8681640625,0.8166015625
30.0,1.203125,1.4296875,0.921875,1.03125,0.9872159090909091,0.91015625,0.869140625,0.814453125
30.5,1.671875,0.8125,1.3515625,1.1236979166666667,0.9957386363636364,0.91015625,0.8775390625,0.8115234375
31.0,1.6979166666666667,1.921875,1.78125,1.2161458333333333,1.0042613636363635,0.91015625,0.8859375,0.80859375
31.5,1.7239583333333333,1.296875,1.15625,1.30859375,1.0127840909090908,0.91015625,0.8943359375,0.8056640625
32.0,1.75,1.0703125,1.9140625,1.4010416666666667,1.0213068181818181,0.91015625,0.902734375,0.802734375
32.5,1.8125,0.84375,1.54296875,1.4934895833333335,1.0298295454545454,0.91015625,0.9111328125,0.7998046875
33.0,1.734375,1.203125,1.171875,1.5859375,1.0383522727272727,0.91015625,0.91953125,0.796875
