strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-12-17,2021-12-31
19.0,1.0,0.359375,0.484375,0.33984375,1.25,0.453125,1.21875,0.47265625,0.44140625,0.640625,1.2109375,0.3671875,0.4755859375
20.0,1.0,0.359375,0.484375,0.33984375,1.25,0.453125,1.21875,0.47265625,0.44140625,0.640625,0.75,0.3671875,0.4755859375
21.0,1.0,0.359375,0.484375,0.33984375,1.25,0.453125,1.175,0.47265625,0.44140625,0.640625,0.8984375,0.3671875,0.4755859375
22.0,1.0,0.359375,0.484375,0.33984375,1.25,0.453125,1.13125,0.47265625,0.44140625,0.640625,0.703125,0.3671875,0.4755859375
23.0,1.0,0.359375,0.484375,0.33984375,1.25,0.453125,1.0875,0.47265625,0.44140625,0.640625,0.65625,0.3671875,0.4755859375
24.0,1.0,0.359375,0.484375,0.33984375,1.125,0.453125,1.04375,0.47265625,0.44140625,0.640625,0.7265625,0.3671875,0.4755859375
25.0,1.0,0.359375,0.484375,0.33984375,1.0,0.453125,1.0,0.47265625,0.44140625,0.640625,0.640625,0.3671875,0.4755859375
26.0,1.0,0.359375,0.484375,0.33984375,0.75,0.453125,0.96875,0.47265625,0.44140625,0.640625,0.671875,0.3671875,0.4755859375
27.0,1.0,0.359375,0.484375,0.33984375,0.9375,0.453125,0.875,0.47265625,0.44140625,0.7421875,0.7265625,0.3671875,0.4755859375
28.0,1.0,0.359375,0.484375,0.33984375,0.875,0.453125,0.8125,0.47265625,0.44140625,0.640625,0.53125,0.3671875,0.4755859375
29.0,1.0,0.359375,0.484375,0.33984375,0.8125,0.453125,0.8125,0.47265625,0.44140625,0.5,0.5703125,0.3671875,0.4755859375
30.0,1.0,0.359375,0.484375,0.33984375,0.8125,0.453125,0.75,0.47265625,0.44140625,0.53125,0.5,0.3671875,0.4755859375
31.0,1.0,0.359375,0.484375,0.33984375,0.96875,0.453125,1.1875,0.47265625,0.44140625,0.484375,0.5859375,0.3671875,0.4755859375
32.0,1.0,0.359375,0.484375,0.33984375,0.75,0.453125,0.859375,0.47265625,0.44140625,0.5234375,0.5,0.3671875,0.4755859375
33.0,1.0,0.359375,0.484375,0.33984375,0.8125,0.453125,0.65625,0.47265625,0.44140625,0.484375,0.46484375,0.3671875,0.4755859375
34.0,1.0,0.359375,0.484375,0.33984375,0.625,0.453125,0.59375,0.47265625,0.44140625,0.4609375,0.57421875,0.3671875,0.4755859375
35.0,1.0,0.359375,0.484375,0.33984375,0.625,0.453125,0.59375,0.47265625,0.44140625,0.45703125,0.64453125,0.3671875,0.4755859375
36.0,1.0,0.359375,0.484375,0.33984375,0.6875,0.453125,0.671875,0.47265625,0.44140625,0.4296875,0.4609375,0.3671875,0.4755859375
37.0,1.125,0.359375,0.484375,0.33984375,0.59375,0.453125,0.578125,0.47265625,0.44140625,0.4453125,0.421875,0.3671875,0.4755859375
38.0,1.125,0.359375,0.484375,0.33984375,0.53125,0.453125,0.578125,0.47265625,0.44140625,0.4140625,0.3984375,0.3671875,0.4755859375
39.0,1.0,0.359375,0.484375,0.33984375,0.5,0.453125,0.46875,0.47265625,0.44140625,0.4140625,0.4052734375,0.3671875,0.4755859375
40.0,0.5,0.359375,0.484375,0.33984375,0.5,0.453125,0.4375,0.47265625,0.44140625,0.3984375,0.412109375,0.37890625,0.4755859375
41.0,0.875,0.359375,0.484375,0.33984375,0.484375,0.453125,0.4921875,0.47265625,0.44140625,0.3828125,0.4189453125,0.37109375,0.4755859375
42.0,0.5,0.359375,0.484375,0.33984375,0.453125,0.453125,0.50390625,0.47265625,0.44140625,0.3828125,0.42578125,0.365234375,0.4755859375
43.0,0.5,0.359375,0.484375,0.33984375,0.44485294117647056,0.453125,0.390625,0.4609375,0.3828125,0.421875,0.416015625,0.37109375,0.4755859375
43.5,0.625,0.359375,0.484375,0.33984375,0.4365808823529412,0.453125,0.3984375,0.455078125,0.3857421875,0.4130859375,0.39453125,0.3740234375,0.4755859375
44.0,0.75,0.359375,0.484375,0.33984375,0.42830882352941174,0.453125,0.40625,0.44921875,0.388671875,0.404296875,0.373046875,0.376953125,0.4755859375
44.5,0.6875,0.359375,0.484375,0.33984375,0.42003676470588236,0.453125,0.431640625,0.412109375,0.3837890625,0.3857421875,0.373046875,0.3662109375,0.43408203125
45.0,0.5,0.359375,0.484375,0.33984375,0.4117647058823529,0.453125,0.45703125,0.375,0.37890625,0.3671875,0.373046875,0.35546875,0.392578125
45.5,0.5625,0.359375,0.484375,0.33984375,0.40349264705882354,0.4765625,0.412109375,0.375,0.380859375,0.36474609375,0.3818359375,0.3330078125,0.39697265625
46.0,0.5,0.359375,0.484375,0.33984375,0.3952205882352941,0.42578125,0.3671875,0.375,0.3828125,0.3623046875,0.390625,0.310546875,0.4013671875
46.5,0.5,0.359375,0.5,0.33984375,0.3869485294117647,0.375,0.365234375,0.36328125,0.3720703125,0.35986328125,0.3642578125,0.3291015625,0.37255859375
47.0,0.5,0.359375,0.453125,0.33984375,0.3786764705882353,0.36328125,0.36328125,0.3515625,0.361328125,0.357421875,0.337890625,0.34765625,0.34375
47.5,0.4375,0.359375,0.3671875,0.33984375,0.3704044117647059,0.3671875,0.361328125,0.3515625,0.3603515625,0.35498046875,0.36328125,0.3671875,0.36328125
48.0,0.4375,0.359375,0.34375,0.33984375,0.36213235294117646,0.3671875,0.359375,0.3515625,0.359375,0.3525390625,0.388671875,0.38671875,0.3828125
48.5,0.40625,0.359375,0.328125,0.4453125,0.3538602941176471,0.45703125,0.3525390625,0.349609375,0.357421875,0.35009765625,0.38427734375,0.3662109375,0.3837890625
49.0,0.390625,0.3515625,0.328125,0.3359375,0.34558823529411764,0.36328125,0.345703125,0.34765625,0.35546875,0.34765625,0.3798828125,0.345703125,0.384765625
49.5,0.3860677083333333,0.3359375,0.34375,0.4296875,0.3373161764705882,0.41796875,0.3408203125,0.3466796875,0.3564453125,0.34521484375,0.39404296875,0.341796875,0.39404296875
50.0,0.3815104166666667,0.328125,0.3125,0.3203125,0.3290441176470588,0.388671875,0.3359375,0.345703125,0.357421875,0.3427734375,0.408203125,0.337890625,0.4033203125
50.5,0.376953125,0.328125,0.3125,0.30859375,0.32077205882352944,0.34375,0.34375,0.34765625,0.35546875,0.34033203125,0.40234375,0.3505859375,0.380859375
51.0,0.3723958333333333,0.34765625,0.3046875,0.3125,0.3125,0.341796875,0.3515625,0.349609375,0.353515625,0.337890625,0.396484375,0.36328125,0.3583984375
51.5,0.3678385416666667,0.3125,0.3046875,0.44921875,0.310546875,0.33984375,0.34765625,0.3447265625,0.34765625,0.3369140625,0.412109375,0.37548828125,0.37353515625
52.0,0.36328125,0.30859375,0.3125,0.31640625,0.30859375,0.349609375,0.34375,0.33984375,0.341796875,0.3359375,0.427734375,0.3876953125,0.388671875
52.5,0.3587239583333333,0.30078125,0.48046875,0.3046875,0.310546875,0.45703125,0.3603515625,0.33984375,0.3408203125,0.33837890625,0.3994140625,0.365234375,0.38623046875
53.0,0.3541666666666667,0.30859375,0.3671875,0.30078125,0.3125,0.33984375,0.376953125,0.33984375,0.33984375,0.3408203125,0.37109375,0.3427734375,0.3837890625
