strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-16,2021-08-20,2021-09-17,2021-10-15,2021-11-19
22.5,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.78125,0.376953125,0.591796875,1.537109375,0.40625
25.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.78125,0.376953125,0.591796875,1.537109375,0.40625
30.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.78125,0.376953125,0.591796875,1.537109375,0.40625
35.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.78125,0.376953125,0.591796875,1.537109375,0.40625
40.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.71484375,0.376953125,0.591796875,1.537109375,0.40625
45.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.6484375,0.376953125,0.591796875,1.40234375,0.40625
50.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.5234375,0.376953125,0.591796875,1.087890625,0.40625
55.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.0703125,0.376953125,0.591796875,0.625,0.40625
60.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.04296875,0.376953125,0.591796875,1.181640625,0.40625
65.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.015625,0.376953125,0.591796875,0.7607421875,0.40625
68.75,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.015625,0.376953125,0.591796875,0.72509765625,0.40625
70.0,1.09375,0.609375,0.583984375,0.52734375,1.1796875,0.876953125,0.25390625,1.015625,0.376953125,0.591796875,0.689453125,0.40625
71.25,1.09375,0.609375,0.583984375,0.52734375,1.1953125,0.876953125,0.25390625,0.9609375,0.376953125,0.591796875,0.65380859375,0.40625
